"Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Year","Month","Day","Date","Unique_ID","Years_sinceStart","Latitude","Longitude","Orthometric_Height","Distance_to_Water","Total unvegetated","Bare","Dead","Rock","Wood","Wrack","Water","Other Unvegetated","Total live veg","A-Algae","B-Brackish","F-Freshwater","H-Halophyte","U-Upland","Other live vegetation","EIR","Richness","SWdiv","Invasive_Cover","Unveg_to_veg","Salt_to_Total","Spartina alterniflora","Spartina patens","Juncus roemerianus","Salicornia pacifica","Overstory","NA","ResSite"
"ACE","EIN","T5","3","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT5320121112",0.0464,32.50571,-80.3251,0.635,72,70.73,70.73,,,,,,,29.28,,,,29.28,,,0.29277,2,0.241127848304821,,2.41564207650273,1,27.37,,1.91,,,,"ACE EIN"
"ACE","EIN","T5","4","T-Transition",2012,11,12,2012.86338797814,"ACEEINT5420121112",0.0464,32.50564,-80.32517,0.583,62,88.07,88.07,,,,,,,11.93,,,,11.93,,,0.1193,1,0,,7.38222967309304,1,11.93,,0,,,,"ACE EIN"
"ACE","EIN","T5","5","T-Transition",2012,11,12,2012.86338797814,"ACEEINT5520121112",0.0464,32.50555,-80.32525,0.563,50,88.07,88.07,,,,,,,11.93,,,,11.93,,,0.1193,1,0,,7.38222967309304,1,11.93,,0,,,,"ACE EIN"
"ACE","EIN","T5","6","T-Transition",2012,11,12,2012.86338797814,"ACEEINT5620121112",0.0464,32.50543,-80.32537,0.636,32,82.6,82.6,,,,,,,17.4,,,,17.4,,,0.174,1,0,,4.74712643678161,1,17.4,,0,,,,"ACE EIN"
"ACE","EIN","T5","7","L-Low Marsh",2012,11,12,2012.86338797814,"ACEEINT5720121112",0.0464,32.50531,-80.32548,0.743,15,64.86,64.86,,,,,,,35.14,,,,35.14,,,0.3514,1,0,,1.84575981787137,1,35.14,,0,,,,"ACE EIN"
"ACE","EIN","T5","8","L-Low Marsh",2012,11,12,2012.86338797814,"ACEEINT5820121112",0.0464,32.5052446113,-80.3255492378,0.677,5,84.01,84.01,,,,,,,15.99,,,,15.99,,,0.1599,1,0,,5.25390869293308,1,15.99,,0,,,,"ACE EIN"
"ACE","EIN","T6","1","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT6120121112",0.0464,32.5060220717,-80.3252203122,,96,84.01,84.01,,,,,,,15.99,,,,15.99,,,0.1599,1,0,,5.25390869293308,1,15.99,,0,,,,"ACE EIN"
"ACE","EIN","T6","2","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT6220121112",0.0464,32.50597,-80.32527,0.642,88,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T6","3","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT6320121112",0.0464,32.50589,-80.32535,0.604,76,22.72,22.72,,,,,,,77.28,,,,77.28,,,0.7728,1,0,,0.29399585921325,1,0,,77.28,,,,"ACE EIN"
"ACE","EIN","T6","4","T-Transition",2012,11,12,2012.86338797814,"ACEEINT6420121112",0.0464,32.50578,-80.32546,0.627,61,85.39,85.39,,,,,,,14.61,,,,14.61,,,0.1461,1,0,,5.84462696783025,1,14.61,,0,,,,"ACE EIN"
"ACE","EIN","T6","5","T-Transition",2012,11,12,2012.86338797814,"ACEEINT6520121112",0.0464,32.5057,-80.32554,0.62,49,93.12,93.12,,,,,,,6.88,,,,6.88,,,0.0688,1,0,,13.5348837209302,1,6.88,,0,,,,"ACE EIN"
"ACE","EIN","T6","6","T-Transition",2012,11,12,2012.86338797814,"ACEEINT6620121112",0.0464,32.50558,-80.32566,0.681,31,85.39,85.39,,,,,,,14.61,,,,14.61,,,0.1461,1,0,,5.84462696783025,1,14.61,,0,,,,"ACE EIN"
"ACE","EIN","T6","7","L-Low Marsh",2012,11,12,2012.86338797814,"ACEEINT6720121112",0.0464,32.50547,-80.32577,0.806,15,63.02,63.02,,,,,,,36.98,,,,36.98,,,0.3698,1,0,,1.70416441319632,1,36.98,,0,,,,"ACE EIN"
"ACE","EIN","T6","8","L-Low Marsh",2012,11,12,2012.86338797814,"ACEEINT6820121112",0.0464,32.5058447915,-80.3249689999,0.737,5,90.29,90.29,,,,,,,9.7,,,,9.7,,,0.06111,2,0.659010525599349,,9.30824742268041,1,6.11,,0,,,,"ACE EIN"
"ACE","EIN","T4","1","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT412013101",0.931,32.50537,-80.3245,,84,94.32,94.32,,,,,,,5.68,,,,5.68,,,0.0568,1,0,,16.6056338028169,1,5.68,,0,,,,"ACE EIN"
"ACE","EIN","T4","2","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT422013101",0.931,32.50532,-80.32459,0.635,74,7.66,7.66,,,,,,,92.33,,,,92.33,,,0.92339,2,0.559310715829657,,0.082963283873064,1,22.83,,69.5,,,,"ACE EIN"
"ACE","EIN","T4","3","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT432013101",0.931,32.50526,-80.32468,0.545,63,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T4","4","T-Transition",2013,10,1,2013.74794520548,"ACEEINT442013101",0.931,32.5052,-80.32476,0.521,53,31.58,31.58,,,,,,,68.42,,,,68.42,,,0.6842,1,0,,0.461560947091494,1,68.42,,0,,,,"ACE EIN"
"ACE","EIN","T4","5","T-Transition",2013,10,1,2013.74794520548,"ACEEINT452013101",0.931,32.50515,-80.32485,0.523,43,48.74,48.74,,,,,,,51.26,,,,51.26,,,0.5126,1,0,,0.950838860710105,1,51.26,,0,,,,"ACE EIN"
"ACE","EIN","T4","6","T-Transition",2013,10,1,2013.74794520548,"ACEEINT462013101",0.931,32.50509,-80.32495,0.595,31,36.83,36.83,,,,,,,63.17,,,,63.17,,,0.6317,1,0,,0.583029919265474,1,63.17,,0,,,,"ACE EIN"
"ACE","EIN","T4","7","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT472013101",0.931,32.50503,-80.32505,0.717,19,23.11,23.11,,,,,,,76.89,,,,76.89,,,0.7689,1,0,,0.300559240473404,1,76.89,,0,,,,"ACE EIN"
"ACE","EIN","T4","8","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT482013101",0.931,32.50495,-80.32517,0.765,5,48.74,48.74,,,,,,,51.26,,,,51.26,,,0.5126,1,0,,0.950838860710105,1,51.26,,0,,,,"ACE EIN"
"ACE","EIN","T5","1","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT512013101",0.931,32.5054008942,-80.3258319751,,91,71.83,71.83,,,,,,,28.17,,,,28.17,,,0.2817,1,0,,2.5498757543486,1,28.17,,0,,,,"ACE EIN"
"ACE","EIN","T5","2","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT522013101",0.931,32.50579,-80.32503,0.694,83,0,0,,,,,,,100,,,,100,,,1,2,0.417117969762125,,0,1,14.68,,85.32,,,,"ACE EIN"
"ACE","EIN","T5","3","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT532013101",0.931,32.50571,-80.3251,0.635,72,55.09,55.09,,,,,,,44.9,,,,44.9,,,0.44904,2,0.252311896825533,,1.22694877505568,1,41.78,,3.12,,,,"ACE EIN"
"ACE","EIN","T5","4","T-Transition",2013,10,1,2013.74794520548,"ACEEINT542013101",0.931,32.50564,-80.32517,0.583,62,53.08,53.08,,,,,,,46.92,,,,46.92,,,0.4692,1,0,,1.13128729752771,1,46.92,,0,,,,"ACE EIN"
"ACE","EIN","T5","5","T-Transition",2013,10,1,2013.74794520548,"ACEEINT552013101",0.931,32.50555,-80.32525,0.563,50,44.17,44.17,,,,,,,55.83,,,,55.83,,,0.5583,1,0,,0.791151710549884,1,55.83,,0,,,,"ACE EIN"
"ACE","EIN","T5","6","T-Transition",2013,10,1,2013.74794520548,"ACEEINT562013101",0.931,32.50543,-80.32537,0.636,32,48.74,48.74,,,,,,,51.26,,,,51.26,,,0.5126,1,0,,0.950838860710105,1,51.26,,0,,,,"ACE EIN"
"ACE","EIN","T5","7","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT572013101",0.931,32.50531,-80.32548,0.743,15,28.84,28.84,,,,,,,71.16,,,,71.16,,,0.7116,1,0,,0.405283867341203,1,71.16,,0,,,,"ACE EIN"
"ACE","EIN","T5","8","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT582013101",0.931,32.5052446113,-80.3255492378,0.677,5,17.02,17.02,,,,,,,82.98,,,,82.98,,,0.8298,1,0,,0.205109664979513,1,82.98,,0,,,,"ACE EIN"
"ACE","EIN","T6","1","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT612013101",0.931,32.5060220717,-80.3252203122,,96,90.65,90.65,,,,,,,9.35,,,,9.35,,,0.0935,1,0,,9.6951871657754,1,9.35,,0,,,,"ACE EIN"
"ACE","EIN","T6","2","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT622013101",0.931,32.50597,-80.32527,0.642,88,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T6","3","H-High Marsh",2013,10,1,2013.74794520548,"ACEEINT632013101",0.931,32.50589,-80.32535,0.604,76,0,0,,,,,,,100,,,,100,,,1,2,0.127364811704006,,0,1,2.79,,97.21,,,,"ACE EIN"
"ACE","EIN","T6","4","T-Transition",2013,10,1,2013.74794520548,"ACEEINT642013101",0.931,32.50578,-80.32546,0.627,61,41.79,41.79,,,,,,,58.21,,,,58.21,,,0.5821,1,0,,0.717917883525167,1,58.21,,0,,,,"ACE EIN"
"ACE","EIN","T6","5","T-Transition",2013,10,1,2013.74794520548,"ACEEINT652013101",0.931,32.5057,-80.32554,0.62,49,61.13,61.13,,,,,,,38.87,,,,38.87,,,0.3887,1,0,,1.57267815796244,1,38.87,,0,,,,"ACE EIN"
"ACE","EIN","T6","6","T-Transition",2013,10,1,2013.74794520548,"ACEEINT662013101",0.931,32.50558,-80.32566,0.681,31,46.49,46.49,,,,,,,53.51,,,,53.51,,,0.5351,1,0,,0.86880956830499,1,53.51,,0,,,,"ACE EIN"
"ACE","EIN","T6","7","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT672013101",0.931,32.50547,-80.32577,0.806,15,28.84,28.84,,,,,,,71.16,,,,71.16,,,0.7116,1,0,,0.405283867341203,1,71.16,,0,,,,"ACE EIN"
"ACE","EIN","T6","8","L-Low Marsh",2013,10,1,2013.74794520548,"ACEEINT682013101",0.931,32.5058447915,-80.3249689999,0.737,5,42.37,42.37,,,,,,,57.63,,,,57.63,,,0.4414,2,0.544158821689469,,0.735207357279195,1,44.14,,0,,,,"ACE EIN"
"ACE","EIN","T4","1","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT4120141022",1.9885,32.50537,-80.3245,,84,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T4","2","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT4220141022",1.9885,32.50532,-80.32459,0.635,74,26.57,26.57,,,,,,,73.43,,,,73.43,,,0.7343,2,0.657644800951355,,0.361841209314994,1,26.99,,46.44,,,,"ACE EIN"
"ACE","EIN","T4","3","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT4320141022",1.9885,32.50526,-80.32468,0.545,63,90.65,90.65,,,,,,,9.35,,,,9.35,,,0.0935,1,0,,9.6951871657754,1,9.35,,0,,,,"ACE EIN"
"ACE","EIN","T4","4","T-Transition",2014,10,22,2014.80547945205,"ACEEINT4420141022",1.9885,32.5052,-80.32476,0.521,53,28.84,28.84,,,,,,,71.16,,,,71.16,,,0.7116,1,0,,0.405283867341203,1,71.16,,0,,,,"ACE EIN"
"ACE","EIN","T4","5","T-Transition",2014,10,22,2014.80547945205,"ACEEINT4520141022",1.9885,32.50515,-80.32485,0.523,43,55.17,55.17,,,,,,,44.83,,,,44.83,,,0.4483,1,0,,1.2306491188936,1,44.83,,0,,,,"ACE EIN"
"ACE","EIN","T4","6","T-Transition",2014,10,22,2014.80547945205,"ACEEINT4620141022",1.9885,32.50509,-80.32495,0.595,31,64.86,64.86,,,,,,,35.14,,,,35.14,,,0.3514,1,0,,1.84575981787137,1,35.14,,0,,,,"ACE EIN"
"ACE","EIN","T4","7","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT4720141022",1.9885,32.50503,-80.32505,0.717,19,57.21,57.21,,,,,,,42.79,,,,42.79,,,0.4279,1,0,,1.33699462491236,1,42.79,,0,,,,"ACE EIN"
"ACE","EIN","T4","8","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT4820141022",1.9885,32.50495,-80.32517,0.765,5,68.43,68.43,,,,,,,31.57,,,,31.57,,,0.3157,1,0,,2.1675641431739,1,31.57,,0,,,,"ACE EIN"
"ACE","EIN","T5","1","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT5120141022",1.9885,32.5054008942,-80.3258319751,,91,97.79,97.79,,,,,,,2.21,,,,2.21,,,0.0221,1,0,,44.2488687782805,1,2.21,,0,,,,"ACE EIN"
"ACE","EIN","T5","2","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT5220141022",1.9885,32.50579,-80.32503,0.694,83,44.6,44.6,,,,,,,55.4,,,,55.4,,,0.554,2,0.394135929483081,,0.805054151624549,1,7.43,,47.97,,,,"ACE EIN"
"ACE","EIN","T5","3","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT5320141022",1.9885,32.50571,-80.3251,0.635,72,88.07,88.07,,,,,,,11.93,,,,11.93,,,0.1193,1,0,,7.38222967309304,1,11.93,,0,,,,"ACE EIN"
"ACE","EIN","T5","4","T-Transition",2014,10,22,2014.80547945205,"ACEEINT5420141022",1.9885,32.50564,-80.32517,0.583,62,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T5","5","T-Transition",2014,10,22,2014.80547945205,"ACEEINT5520141022",1.9885,32.50555,-80.32525,0.563,50,76.65,76.65,,,,,,,23.35,,,,23.35,,,0.2335,1,0,,3.28265524625268,1,23.35,,0,,,,"ACE EIN"
"ACE","EIN","T5","6","T-Transition",2014,10,22,2014.80547945205,"ACEEINT5620141022",1.9885,32.50543,-80.32537,0.636,32,68.43,68.43,,,,,,,31.57,,,,31.57,,,0.3157,1,0,,2.1675641431739,1,31.57,,0,,,,"ACE EIN"
"ACE","EIN","T5","7","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT5720141022",1.9885,32.50531,-80.32548,0.743,15,53.08,53.08,,,,,,,46.92,,,,46.92,,,0.4692,1,0,,1.13128729752771,1,46.92,,0,,,,"ACE EIN"
"ACE","EIN","T5","8","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT5820141022",1.9885,32.5052446113,-80.3255492378,0.677,5,41.79,41.79,,,,,,,58.21,,,,58.21,,,0.5821,1,0,,0.717917883525167,1,58.21,,0,,,,"ACE EIN"
"ACE","EIN","T6","1","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT6120141022",1.9885,32.5060220717,-80.3252203122,,96,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T6","2","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT6220141022",1.9885,32.50597,-80.32527,0.642,88,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T6","3","H-High Marsh",2014,10,22,2014.80547945205,"ACEEINT6320141022",1.9885,32.50589,-80.32535,0.604,76,4.85,4.85,,,,,,,95.15,,,,95.15,,,0.9515,2,0.213780944595376,,0.0509721492380452,1,5.26,,89.89,,,,"ACE EIN"
"ACE","EIN","T6","4","T-Transition",2014,10,22,2014.80547945205,"ACEEINT6420141022",1.9885,32.50578,-80.32546,0.627,61,53.08,53.08,,,,,,,46.92,,,,46.92,,,0.4692,1,0,,1.13128729752771,1,46.92,,0,,,,"ACE EIN"
"ACE","EIN","T6","5","T-Transition",2014,10,22,2014.80547945205,"ACEEINT6520141022",1.9885,32.5057,-80.32554,0.62,49,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T6","6","T-Transition",2014,10,22,2014.80547945205,"ACEEINT6620141022",1.9885,32.50558,-80.32566,0.681,31,36.83,36.83,,,,,,,63.17,,,,63.17,,,0.6317,1,0,,0.583029919265474,1,63.17,,0,,,,"ACE EIN"
"ACE","EIN","T6","7","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT6720141022",1.9885,32.50547,-80.32577,0.806,15,48.74,48.74,,,,,,,51.26,,,,51.26,,,0.5126,1,0,,0.950838860710105,1,51.26,,0,,,,"ACE EIN"
"ACE","EIN","T6","8","L-Low Marsh",2014,10,22,2014.80547945205,"ACEEINT6820141022",1.9885,32.5058447915,-80.3249689999,0.737,5,28.24,28.24,,,,,,,71.76,,,,71.76,,,0.5778,2,0.49313141674937,,0.393534002229654,1,57.78,,0,,,,"ACE EIN"
"ACE","EIN","T5","1","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT5120171030",5.0105,32.5054008942,-80.3258319751,,91,100,100,,,,,,,0,,,,0,,,0,0,0,,Inf,,0,,0,,,,"ACE EIN"
"ACE","EIN","T5","2","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT5220171030",5.0105,32.50579,-80.32503,0.694,83,10.17,10.17,,,,,,,89.83,,,,89.83,,,0.8983,2,0.67938301148561,,0.113213848380274,1,52.35,,37.48,,,,"ACE EIN"
"ACE","EIN","T5","3","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT5320171030",5.0105,32.50571,-80.3251,0.635,72,61.4,61.4,,,,,,,38.61,,,,38.61,,,0.38606,2,0.121125862748416,,1.59026159026159,1,37.6,,1.01,,,,"ACE EIN"
"ACE","EIN","T5","4","T-Transition",2017,10,30,2017.82739726027,"ACEEINT5420171030",5.0105,32.50564,-80.32517,0.583,62,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T5","5","T-Transition",2017,10,30,2017.82739726027,"ACEEINT5520171030",5.0105,32.50555,-80.32525,0.563,50,50.94,50.94,,,,,,,49.06,,,,49.06,,,0.4906,1,0,,1.03832042397065,1,49.06,,0,,,,"ACE EIN"
"ACE","EIN","T5","6","T-Transition",2017,10,30,2017.82739726027,"ACEEINT5620171030",5.0105,32.50543,-80.32537,0.636,32,50.94,50.94,,,,,,,49.06,,,,49.06,,,0.4906,1,0,,1.03832042397065,1,49.06,,0,,,,"ACE EIN"
"ACE","EIN","T5","7","L-Low Marsh",2017,10,30,2017.82739726027,"ACEEINT5720171030",5.0105,32.50531,-80.32548,0.743,15,20.11,20.11,,,,,,,79.89,,,,79.89,,,0.7989,1,0,,0.251721116535236,1,79.89,,0,,,,"ACE EIN"
"ACE","EIN","T5","8","L-Low Marsh",2017,10,30,2017.82739726027,"ACEEINT5820171030",5.0105,32.5052446113,-80.3255492378,0.677,5,50.94,50.94,,,,,,,49.06,,,,49.06,,,0.4906,1,0,,1.03832042397065,1,49.06,,0,,,,"ACE EIN"
"ACE","EIN","T6","1","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT6120171030",5.0105,32.5060220717,-80.3252203122,,96,81.16,81.16,,,,,,,18.84,,,,18.84,,,0.1884,1,0,,4.30785562632696,1,18.84,,0,,,,"ACE EIN"
"ACE","EIN","T6","2","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT6220171030",5.0105,32.50597,-80.32527,0.642,88,23.11,23.11,,,,,,,76.89,,,,76.89,,,0.7689,1,0,,0.300559240473404,1,76.89,,0,,,,"ACE EIN"
"ACE","EIN","T6","3","H-High Marsh",2017,10,30,2017.82739726027,"ACEEINT6320171030",5.0105,32.50589,-80.32535,0.604,76,4.99,4.99,,,,,,,95.01,,,,95.01,,,0.9501,2,0.129199441803671,,0.0525207872855489,1,2.7,,92.31,,,,"ACE EIN"
"ACE","EIN","T6","4","T-Transition",2017,10,30,2017.82739726027,"ACEEINT6420171030",5.0105,32.50578,-80.32546,0.627,61,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T6","5","T-Transition",2017,10,30,2017.82739726027,"ACEEINT6520171030",5.0105,32.5057,-80.32554,0.62,49,55.17,55.17,,,,,,,44.83,,,,44.83,,,0.4483,1,0,,1.2306491188936,1,44.83,,0,,,,"ACE EIN"
"ACE","EIN","T6","6","T-Transition",2017,10,30,2017.82739726027,"ACEEINT6620171030",5.0105,32.50558,-80.32566,0.681,31,41.79,41.79,,,,,,,58.21,,,,58.21,,,0.5821,1,0,,0.717917883525167,1,58.21,,0,,,,"ACE EIN"
"ACE","EIN","T6","7","L-Low Marsh",2017,10,30,2017.82739726027,"ACEEINT6720171030",5.0105,32.50547,-80.32577,0.806,15,36.83,36.83,,,,,,,63.17,,,,63.17,,,0.6317,1,0,,0.583029919265474,1,63.17,,0,,,,"ACE EIN"
"ACE","EIN","T6","8","L-Low Marsh",2017,10,30,2017.82739726027,"ACEEINT6820171030",5.0105,32.5058447915,-80.3249689999,0.737,5,23.11,23.11,,,,,,,76.89,,,,76.89,,,0.7689,1,0,,0.300559240473404,1,76.89,,0,,,,"ACE EIN"
"ACE","EIN","T4","2","H-High Marsh",2017,10,31,2017.8301369863,"ACEEINT4220171031",5.0132,32.50532,-80.32459,0.635,74,29.18,29.18,,,,,,,70.82,,,,70.82,,,0.7082,2,0.687377895690516,,0.412030499858797,1,31.61,,39.21,,,,"ACE EIN"
"ACE","EIN","T4","3","H-High Marsh",2017,10,31,2017.8301369863,"ACEEINT4320171031",5.0132,32.50526,-80.32468,0.545,63,67.23,67.23,,,,,,,32.77,,,,32.77,,,0.3277,2,0.225605116241604,,2.05157155935307,1,30.82,,1.95,,,,"ACE EIN"
"ACE","EIN","T4","4","T-Transition",2017,10,31,2017.8301369863,"ACEEINT4420171031",5.0132,32.5052,-80.32476,0.521,53,48.74,48.74,,,,,,,51.26,,,,51.26,,,0.5126,1,0,,0.950838860710105,1,51.26,,0,,,,"ACE EIN"
"ACE","EIN","T4","5","T-Transition",2017,10,31,2017.8301369863,"ACEEINT4520171031",5.0132,32.50515,-80.32485,0.523,43,61.13,61.13,,,,,,,38.87,,,,38.87,,,0.3887,1,0,,1.57267815796244,1,38.87,,0,,,,"ACE EIN"
"ACE","EIN","T4","6","T-Transition",2017,10,31,2017.8301369863,"ACEEINT4620171031",5.0132,32.50509,-80.32495,0.595,31,57.21,57.21,,,,,,,42.79,,,,42.79,,,0.4279,1,0,,1.33699462491236,1,42.79,,0,,,,"ACE EIN"
"ACE","EIN","T4","7","L-Low Marsh",2017,10,31,2017.8301369863,"ACEEINT4720171031",5.0132,32.50503,-80.32505,0.717,19,39.34,39.34,,,,,,,60.66,,,,60.66,,,0.6066,1,0,,0.648532805802836,1,60.66,,0,,,,"ACE EIN"
"ACE","EIN","T4","8","L-Low Marsh",2017,10,31,2017.8301369863,"ACEEINT4820171031",5.0132,32.50495,-80.32517,0.765,5,46.49,46.49,,,,,,,53.51,,,,53.51,,,0.5351,1,0,,0.86880956830499,1,53.51,,0,,,,"ACE EIN"
"ACE","EIN","T5","5","T-Transition",2018,10,18,2018.79452054795,"ACEEINT5520181018",5.9776,32.50555,-80.32525,0.563,50,71.83,71.83,,,,,,,28.17,,,,28.17,,,0.2817,1,0,,2.5498757543486,1,28.17,,0,,,,"ACE EIN"
"ACE","EIN","T5","6","T-Transition",2018,10,18,2018.79452054795,"ACEEINT5620181018",5.9776,32.50543,-80.32537,0.636,32,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T5","7","L-Low Marsh",2018,10,18,2018.79452054795,"ACEEINT5720181018",5.9776,32.50531,-80.32548,0.743,15,36.83,36.83,,,,,,,63.17,,,,63.17,,,0.6317,1,0,,0.583029919265474,1,63.17,,0,,,,"ACE EIN"
"ACE","EIN","T6","1","H-High Marsh",2018,10,18,2018.79452054795,"ACEEINT6120181018",5.9776,32.5060220717,-80.3252203122,,96,70.15,70.15,,,,,,,29.85,,,,29.85,,,0.2985,1,0,,2.3500837520938,1,29.85,,0,,,,"ACE EIN"
