Reserve,SiteID,Year,Vegetation_Zone,Region,Geomorphology,tidal_range,salinity,abiotic_cover,live_cover,halophyte,freshwater,EIR,invasive_cover,Richness,SWdiv,salt_ratio
CBM,MB,2011,Low,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,79.5337037,20.46925926,18.34037037,NA,0.359051852,1.937777778,2.888888889,0.567223047,1
CBM,MB,2011,Mid,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,75.88,24.122,21.398,NA,0.431322,2.521,4.5,0.937789446,1
CBM,MB,2015,Low,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,63.94291667,36.05625,30.61208333,NA,0.22091375,2.627083333,3.125,0.715809692,0.998257233
CBM,MB,2015,Mid,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,66.61142857,33.38571429,26.01714286,NA,0.453218571,3.89,3.571428571,0.701499639,0.998257367
CBM,MB,2017,Low,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,58.45708333,41.54291667,38.92791667,NA,0.124347083,1.2675,3,0.537650592,0.998397941
CBM,MB,2017,Mid,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,28.23333333,71.77,54.10666667,NA,0.417526667,13.955,3,0.515682857,1
CBM,MB,2019,Low,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,51.30421053,48.69684211,39.99210526,NA,0.049199474,3.044210526,4.210526316,0.938019159,0.998162581
CBM,MB,2019,Mid,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,56.875,43.12833333,29.41833333,NA,0.608813333,5.203333333,3.666666667,0.863162618,1
CBM,OPC,2008,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,66.99703704,33.00222222,NA,32.82888889,0.00983,0.982962963,3.407407407,0.788330466,0.00447774
CBM,OPC,2008,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,60.67340426,39.32829787,NA,36.84978723,0.050098085,0.449574468,6,1.273210336,0.021917691
CBM,OPC,2009,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,70.69814815,29.30222222,NA,28.65333333,0.027299259,2.73,3.37037037,0.817938135,0.015760187
CBM,OPC,2009,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,66.81425532,33.18723404,NA,31.08787234,0.047463617,0.128297872,6.340425532,1.325703084,0.029831224
CBM,OPC,2011,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,68.41074074,31.59037037,NA,31.15888889,0.093735926,9.373703704,3.777777778,0.951659575,0.012214597
CBM,OPC,2011,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,73.00468085,26.99829787,NA,25.05510638,0.035088085,0.394680851,5.893617021,1.241403056,0.052282723
CBM,OPC,2012,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,47.62409091,52.37727273,NA,51.49681818,0.018827273,1.882727273,3.636363636,0.780084295,0.013825677
CBM,OPC,2012,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,40.32525,59.675,NA,55.2745,0.096671,0.1975,6.65,1.354658308,0.038481723
CBM,OPC,2014,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,19.76916667,80.23125,NA,77.81166667,0.12753375,12.75375,3.75,0.928032902,0.012630738
CBM,OPC,2014,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,39.21615385,60.78128205,NA,56.39102564,0.110664872,0.808974359,5.641025641,1.262543676,0.044399215
CBM,OPC,2018,Low,Mid-Atlantic,Riverine,Microtidal,Oligohaline,46.46259259,53.53888889,NA,51.56111111,0.134457407,13.44592593,4.037037037,0.938127123,0.025709331
CBM,OPC,2018,Mid,Mid-Atlantic,Riverine,Microtidal,Oligohaline,46.95333333,53.04555556,NA,49.19888889,0.096825778,2.672444444,7.022222222,1.458866579,0.053996239
DEL,SJR,2012,Low,Mid-Atlantic,Riverine,Microtidal,Mesohaline,15.43,84.57,84.57,NA,0.1543,0,1.375,0.143668501,1
DEL,SJR,2012,Mid,Mid-Atlantic,Riverine,Microtidal,Mesohaline,17.01190476,82.98809524,66.02666667,NA,0.370861905,16.96142857,1.380952381,0.200431889,1
DEL,SJR,2012,Up,Mid-Atlantic,Riverine,Microtidal,Mesohaline,90,10,0,NA,0,0,2,0.693147181,0
DEL,SJR,2014,Low,Mid-Atlantic,Riverine,Microtidal,Mesohaline,34.375,65.625,65.625,NA,0.34375,0,1,0,1
DEL,SJR,2014,Mid,Mid-Atlantic,Riverine,Microtidal,Mesohaline,10.95238095,89.04761905,70.71428571,NA,0.335714286,17.61904762,1.428571429,0.118479233,1
DEL,SJR,2014,Up,Mid-Atlantic,Riverine,Microtidal,Mesohaline,85,15,0,NA,0,0,2,0.636514168,0
DEL,SJR,2016,Low,Mid-Atlantic,Riverine,Microtidal,Mesohaline,19.375,80.625,80.625,NA,0.19375,0,1,0,1
DEL,SJR,2016,Mid,Mid-Atlantic,Riverine,Microtidal,Mesohaline,11.66666667,88.33333333,74.04761905,NA,0.411904762,12.38095238,1.19047619,0.129151532,1
DEL,SJR,2016,Up,Mid-Atlantic,Riverine,Microtidal,Mesohaline,100,0,0,NA,0,0,0,0,NA
DEL,SJR,2018,Low,Mid-Atlantic,Riverine,Microtidal,Mesohaline,35.625,64.375,64.375,NA,0.35625,0,1,0,1
DEL,SJR,2018,Mid,Mid-Atlantic,Riverine,Microtidal,Mesohaline,28.57142857,71.42857143,63.33333333,NA,0.383333333,6.666666667,1.142857143,0.072446812,1
DEL,SJR,2018,Up,Mid-Atlantic,Riverine,Microtidal,Mesohaline,100,0,0,NA,0,0,0,0,NA
ELK,Lower,2016,Low,West Coast,Riverine,Mesotidal,Polyhaline,25.25722222,74.74277778,0,NA,0.252572222,NA,1.055555556,0.07052386,0
ELK,Lower,2016,Mid,West Coast,Riverine,Mesotidal,Polyhaline,0,99.99,0,NA,0.05071,NA,4,1.228327552,0
ELK,Lower,2016,Up,West Coast,Riverine,Mesotidal,Polyhaline,0,100,0,NA,0.166633333,NA,3.666666667,0.948340412,0
ELK,Lower,2017,Low,West Coast,Riverine,Mesotidal,Polyhaline,23.15111111,76.84888889,0,NA,0.231511111,NA,0.944444444,0,0
ELK,Lower,2017,Up,West Coast,Riverine,Mesotidal,Polyhaline,0,99.995,0,NA,0.064705,NA,3,0.884286196,0
ELK,Lower,2021,Low,West Coast,Riverine,Mesotidal,Polyhaline,34.90805556,65.09194444,0,NA,0.284554722,NA,1.138888889,0.091606613,0
ELK,Lower,2021,Mid,West Coast,Riverine,Mesotidal,Polyhaline,44.61,55.39,0,NA,0.0219,NA,5,1.382057517,0
ELK,Lower,2021,Up,West Coast,Riverine,Mesotidal,Polyhaline,0,100.0033333,0,NA,0.29648,NA,3.666666667,0.891330305,0
ELK,Upper,2016,Low,West Coast,Riverine,Mesotidal,Polyhaline,16.10333333,83.89666667,0,NA,0.161033333,NA,1.133333333,0.084937645,0
ELK,Upper,2016,Mid,West Coast,Riverine,Mesotidal,Polyhaline,0,100,0,NA,1,NA,1,0,0
ELK,Upper,2016,Up,West Coast,Riverine,Mesotidal,Polyhaline,0,100.005,10.965,NA,0.366125,NA,3,0.949633295,0.10965
ELK,Upper,2017,Low,West Coast,Riverine,Mesotidal,Polyhaline,13.20066667,86.79933333,0,NA,0.132006667,NA,1.066666667,0.043697428,0
ELK,Upper,2017,Mid,West Coast,Riverine,Mesotidal,Polyhaline,0,100,0,NA,1,NA,1,0,0
ELK,Upper,2017,Up,West Coast,Riverine,Mesotidal,Polyhaline,0,100,26.455,NA,0.5024,NA,3,0.96603532,0.26455
ELK,Upper,2021,Low,West Coast,Riverine,Mesotidal,Polyhaline,20.03933333,79.96133333,0,NA,0.194446667,NA,1.2,0.156096165,0
ELK,Upper,2021,Mid,West Coast,Riverine,Mesotidal,Polyhaline,0,100,0,NA,1,NA,1,0,0
ELK,Upper,2021,Up,West Coast,Riverine,Mesotidal,Polyhaline,42.02,57.98,35.69,NA,0.5365,NA,2.5,0.816730554,0.549096742
GND,clmaj,2016,Up,Gulf Coast,Riverine,Microtidal,Oligohaline,63.96666667,36.03333333,0,35.5,0,0,1.133333333,0.048341261,0.014858917
GND,clmaj,2017,Up,Gulf Coast,Riverine,Microtidal,Oligohaline,47.35,52.65,0,27.33333333,0,2.533333333,5.3,1.215001625,0.233023027
GND,clmaj,2018,Up,Gulf Coast,Riverine,Microtidal,Oligohaline,66.5,33.5,0,17.83333333,0,1.416666667,5.2,1.266524791,0.263788799
GND,clmaj,2019,Up,Gulf Coast,Riverine,Microtidal,Oligohaline,50.41666667,49.58333333,0,27.41666667,0,1.083333333,7,1.443203878,0.223273784
GND,clmaj,2020,Up,Gulf Coast,Riverine,Microtidal,Oligohaline,54.33333333,45.66666667,0,19.25,0,0,4.666666667,1.124763452,0.324830653
GND,juro high,2015,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,81.5,18.5,0,0,0.82,0,2,0.645708385,1
GND,juro high,2015,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,41.26315789,58.73684211,0.526315789,1.052631579,0.412631579,0,1.315789474,0.131970976,0.960938331
GND,juro high,2016,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,78,22,0.5,0,0.785,0,2.5,0.801027958,1
GND,juro high,2016,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,35.21052632,64.78947368,0.526315789,4,0.352105263,0.105263158,2.736842105,0.345542583,0.883553863
GND,juro high,2017,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,78.75,21.25,1.25,0,0.8,0,2.5,0.754364304,1
GND,juro high,2017,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,54.47368421,45.52631579,0.263157895,1.710526316,0.546052632,0.263157895,2.894736842,0.526871628,0.888182251
GND,juro high,2018,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,82.5,17.5,1.25,0,0.8375,1.25,3,1.007538588,0.954545455
GND,juro high,2018,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,74.88095238,25.11904762,0.119047619,2.142857143,0.75,0.595238095,2.619047619,0.626362756,0.749043062
GND,juro high,2019,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,81.25,18.75,1.25,0,0.825,0,3,0.899634081,1
GND,juro high,2019,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,69.07894737,30.92105263,0.394736842,1.578947368,0.692105263,0.394736842,3.526315789,0.7431634,0.892375169
GND,juro high,2020,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,78.75,21.25,2.5,1.25,0.8,0,4,1.229553918,0.958333334
GND,juro high,2020,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,65.92105263,34.07894737,0.131578947,2.894736842,0.660526316,0,3.526315789,0.774227253,0.88109781
GND,juro low,2015,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,41.66666667,58.33333333,0,0,0.416666667,0,1.5,0.157973096,0.780392157
GND,juro low,2015,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,25.17241379,74.82758621,0,0,0.282758621,0,1.206896552,0.096624361,0.932384187
GND,juro low,2016,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,36.66666667,63.33333333,0,0,0.366666667,0,1.5,0.21760551,0.662815126
GND,juro low,2016,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,31.86206897,68.13793103,0,0,0.353448276,0,1.103448276,0.04263016,0.899929421
GND,juro low,2017,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,70,30,0,0,0.7,0,1.666666667,0.238737413,0.596581197
GND,juro low,2017,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,61.55172414,38.44827586,0,0,0.643965517,0,1.206896552,0.08573928,0.887348954
GND,juro low,2018,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,75.41666667,24.58333333,0,0,0.754166667,0,1.833333333,0.326747882,0.572150072
GND,juro low,2018,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,81.03448276,18.96551724,0,0,0.825,0,1.24137931,0.104806325,0.876489028
GND,juro low,2019,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,71.66666667,28.33333333,0,0,0.716666667,0,1.833333333,0.388524314,0.417806268
GND,juro low,2019,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,67.5,32.5,0,0,0.703448276,0,1.24137931,0.072755158,0.886313146
GND,juro low,2020,Low,Gulf Coast,Bay Front,Microtidal,Mesohaline,63.75,36.25,0,0,0.6375,0,1.833333333,0.423343064,0.408796296
GND,juro low,2020,Mid,Gulf Coast,Bay Front,Microtidal,Mesohaline,60.77586207,39.22413793,0,0,0.637068966,0,1.448275862,0.113194195,0.881765938
GND,juro mid,2015,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,83.33333333,16.66666667,0,0,0.916666667,0,0.666666667,0.23104906,1
GND,juro mid,2015,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,41.83823529,58.16176471,0.029411765,0.147058824,0.418382353,0,2.205882353,0.37362821,0.994222689
GND,juro mid,2015,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,26,74,0,51.66666667,0.186666667,0,2.666666667,0.457488007,0.306010929
GND,juro mid,2016,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,77.66666667,22.33333333,0.333333333,0,0.943333333,0,1.333333333,0.226330857,1
GND,juro mid,2016,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,24.52941176,75.47058824,0.029411765,0.147058824,0.245294118,0.029411765,2.941176471,0.458249902,0.99359476
GND,juro mid,2016,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,18.66666667,81.33333333,0,58.33333333,0.173333333,0,3,0.56525489,0.227347214
GND,juro mid,2017,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,91.66666667,8.333333333,0.833333333,0,0.95,0,1.333333333,0.321654308,1
GND,juro mid,2017,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,71.39705882,28.60294118,0.073529412,1.764705882,0.713970588,0.220588235,3.235294118,0.798669971,0.967952773
GND,juro mid,2017,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,81.66666667,18.33333333,0,3.333333333,0.108333333,0,3.333333333,1.033173345,0.514285714
GND,juro mid,2018,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,90,10,2.5,0,0.933333333,0,2,0.397849868,1
GND,juro mid,2018,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,69.70588235,30.29411765,0.073529412,1.764705882,0.697058824,0.220588235,3.441176471,0.772591101,0.92776748
GND,juro mid,2018,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,71.66666667,28.33333333,0,10.83333333,0.108333333,0.833333333,4.666666667,1.346254938,0.402116402
GND,juro mid,2019,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,82.5,17.5,3.333333333,0,0.891666667,0.833333333,2.333333333,0.407422308,0.980392157
GND,juro mid,2019,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,66.47058824,33.52941176,0,2.720588235,0.664705882,0.220588235,3.147058824,0.687692044,0.897223855
GND,juro mid,2019,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,58.33333333,41.66666667,0,28.33333333,0.083333333,0.833333333,5.333333333,1.228563453,0.244755245
GND,juro mid,2020,Low,Gulf Coast,Riverine,Microtidal,Mesohaline,81.66666667,18.33333333,5,0,0.883333333,0,2,0.353652717,1
GND,juro mid,2020,Mid,Gulf Coast,Riverine,Microtidal,Mesohaline,57.20588235,42.79411765,0.147058824,1.470588235,0.572058824,0.073529412,3.029411765,0.619076758,0.953170501
GND,juro mid,2020,Up,Gulf Coast,Riverine,Microtidal,Mesohaline,60.83333333,39.16666667,0.833333333,19.16666667,0.091666667,0,6.333333333,1.506589655,0.244444445
GND,spalt,2015,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,39.6875,60.3125,0,0,0.396875,0,1.4375,0.180976232,0.1581137
GND,spalt,2015,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,25.45454545,74.54545455,0,0,0.35,0,1.272727273,0.125763978,0.859074259
GND,spalt,2016,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,52.4375,47.5625,0,0,0.524375,0,1.5,0.234295006,0.247890423
GND,spalt,2016,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,38.18181818,61.81818182,0,0,0.445454545,0,1.545454545,0.23141768,0.897047397
GND,spalt,2017,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,49.21875,50.78125,0,0,0.4921875,0,1.4375,0.186154245,0.237906849
GND,spalt,2017,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,45,55,0,0,0.5,0,1.636363636,0.241733694,0.903519297
GND,spalt,2018,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,66.875,33.125,0,0,0.66875,0,1.5,0.27188592,0.344207212
GND,spalt,2018,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,72.5,27.5,0,0,0.75,0,1.727272727,0.285241757,0.901412476
GND,spalt,2019,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,64.21875,35.78125,0,0,0.6421875,0,1.5,0.27503563,0.363068182
