Reserve,SiteID,Total.unvegetated_slope,Bare_slope,Total.live.veg_slope,H.Halophyte_slope,EIR_slope,Richness_slope,SWdiv_slope,Salt_to_Total_slope,Spartina.alterniflora_slope,Juncus.roemerianus_slope,Wrack_slope,Other.Unvegetated_slope,B.Brackish_slope,F.Freshwater_slope,U.Upland_slope,Invasive_Cover_slope,Spartina.patens_slope,Dead_slope,Other.live.vegetation_slope,Water_slope,Salicornia.pacifica_slope,Rock_slope,Wood_slope,A.Algae_slope,tide_range_slope,temp_avg_slope,precip_sum_slope,Geomorphology,Tidal_Range,Salinity_category,SLR_since_1970,SLR_last19yrs,Latitude,NERR_Region,Region,NERRS_MARS,NERRs_Landscape_resiliency_condition_sum_quantile,NERRs_Landscape_resiliency_vulnerability_sum_quantile,NERRs_Landscape_UnvegVegEdge_ratio,NERRs_Landscape_Core_edge_ratio,NERRs_Landscape_%_Natural,NERRs_Landscape_tidal_range,NERRs_Landscape_Pct_MUC_below_MHHW,Criteria_for_site_not_met,SET_change,SET_minus_SLR_1970,SET_minus_SLR_19yrs,proportion_low,proportion_midToHigh,proportion_uplandOrFresh,siteAvg_distance_to_water,siteAvg_orthometric_height
GND,juro high,6.442994444,,-6.442994444,-0.024579061,0.06486683,0.38490314,0.129886083,-0.014209719,0,-5.424537474,,6.442994444,-6.426873854,0.098211871,-0.093165251,0.034835098,-1.599763677,,0.003411851,,,,,,-0.002368421,0.060099415,0.179751462,Riverine,Microtidal,Mesohaline,4.36,10.98,30.398975,Gulf Coast,NA25,2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,1.12,-3.24,-9.86,0.095238095,0.904761905,0,500,0.45450619
GND,juro mid,5.364629524,,-5.364629524,0.100573995,0.045312989,0.203104623,0.064346317,-0.014369261,0,-4.854214041,,5.364629524,-5.456731241,-0.161778537,0.15330626,0.035200586,-0.746710357,,0,,,,,,-0.002368421,0.060099415,0.179751462,Riverine,Microtidal,Mesohaline,4.36,10.98,30.397993,Gulf Coast,NA25,2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.99,-1.37,-7.99,0.075,0.85,0.075,458.7,0.37219425
GND,clmaj,-1.515456191,,1.515456191,0,0,0.849290399,0.23154136,0.05234495,0,0.375356448,,-1.515456191,2.958279996,-3.288106286,1.845282481,-0.186772408,2.326844143,,0,,,,,,-0.002368421,0.060099415,0.179751462,Riverine,Microtidal,Oligohaline,4.36,10.98,30.409709,Gulf Coast,NA25,2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.63,-1.73,-8.35,0,0,1,448.6333333,0.777764
GRB,SP,-0.255005449,0.54463548,0.255082578,0.050274247,0.015542876,-0.019940469,-0.005460114,0.002768395,0.223595159,,-0.364395874,0.011354396,0.260421269,-0.199651528,-0.020430261,-0.072650719,-0.292081322,-0.425131906,0.050128223,,,-0.021467546,0,0.114340627,0.001754386,0.102163743,-0.125321637,Bay Front,Mesotidal,Polyhaline,3.38,3.62,43.056383,Northeast,NA10,3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,3.2,-0.18,-0.42,0.133333333,0.733333333,0.133333333,41.03111111,
GRB,GBF,0.100190175,0.133381925,-0.100107829,0.072368094,0.008621039,-0.049411992,-0.015470462,0.000576994,0.725212385,,0.071897493,0,-0.038850915,-0.211312373,0.144265638,-0.002399585,-0.432574543,-0.097764073,-0.006441565,,,-0.007325171,0,-0.060136706,0.001754386,0.102163743,-0.125321637,Riverine,Mesotidal,Polyhaline,3.38,3.62,43.061085,Northeast,NA10,3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,2.87,-0.51,-0.75,0.175,0.675,0.15,21.9225,
GRB,BC,0.983245283,0.996317075,-0.983240751,-0.467316496,0.012859405,-0.062519142,-0.013393782,0.002387037,0.077375136,,-0.214732224,0,-0.218847109,-0.298324401,0.030335394,0.001903148,-0.45613356,0.201660432,-0.047466169,,,0,0,0.01837803,0.001754386,0.102163743,-0.125321637,Riverine,Mesotidal,Polyhaline,3.38,3.62,43.135955,Northeast,NA10,3.83,5,-4,0.48,0.23,68.1,1.45,0.35,,,,,0.333333333,0.466666667,0.2,33.19,
GTM,22,-0.554090045,,0.554090045,0.554090045,-0.0055409,0.040415592,0.02826222,3.01E-18,-0.889676953,0,,-0.554090045,0,0,0,0,0,,,,,,,,0.001491228,0.158362573,0.066950292,Riverine,Microtidal,Oligohaline,3.84,8.25,29.821681,Southeast,NA25,,5,-4,2.23,1.12,48.98,1.49,0.68,,7.97,4.13,-0.28,1,0,0,6.4,0.387642857
GTM,0,0.21270789,,-0.21270789,-0.21270789,0.002127079,-0.030330968,0.004129448,-4.34E-17,-0.406870869,0,,0.21270789,0,0,0,0,0,,,,,,,,0.001491228,0.158362573,0.066950292,Back Barrier,Microtidal,Oligohaline,3.84,8.25,29.978118,Southeast,NA25,,5,-4,2.78,0.73,68.67,1.48,0.89,,-0.58,-4.42,-8.83,1,0,0,6.4,0.321866667
GTM,40,-1.316911533,,1.316911533,1.316911533,-0.013169115,-0.027111386,-3.64E-05,-1.93E-17,1.317229155,0,,-1.316911533,0,0,0,0,0,,,,,,,,0.001491228,0.158362573,0.066950292,Riverine,Microtidal,Oligohaline,3.84,8.25,30.085513,Southeast,NA25,,7,-2,1.41,0.89,92.19,1.53,0.74,,-0.79,-4.63,-9.04,1,0,0,6.4,0.239733333
GTM,1,0.635281724,,-0.635324079,-0.635324079,0.0063529,0.111921862,0.055749666,-6.56E-17,0.577873408,0,,0.635281724,0,0,0,0,0,,,,,,,,0.001491228,0.158362573,0.066950292,Riverine,Microtidal,Oligohaline,3.84,8.25,29.628969,Southeast,NA25,,5,-5,1.9,0.55,67.53,0.9,0.49,,1.72,-2.12,-6.53,1,0,0,6.4,0.078211333
GTM,46,1.355397859,,-1.355389628,-1.850140814,0.013553979,-0.093414716,-0.012372329,-3.74E-17,-0.029267264,0.494751186,,1.355397859,0.494751186,0,0,0,0,,,,,,,,0.001491228,0.158362573,0.066950292,Riverine,Microtidal,Oligohaline,3.84,8.25,29.65862,Southeast,NA25,,9,-1,0.33,0.45,95.18,0.9,0.36,,3.85,0.01,-4.4,0.678571429,0.053571429,0.267857143,50.82142857,0.268571695
JAC,Central Segment,-1.684925041,,1.685031888,1.685031888,-0.016596962,-0.011426775,-0.009134672,0,1.888048228,,-0.02528226,-1.659642781,,,0,0,-0.054014349,,,,,,,,0.001526316,0.024795322,0.015406433,Bay Front,Microtidal,Oligohaline,4.79,5.55,39.537998,Mid-Atlantic,NA25,,5,-4,7.98,2.5,64.92,1.15,0.66,,,,,1,0,0,,0.458275862
JAC,South Segment,-0.520899664,,0.520953062,0.520953062,-0.003793833,-0.005994859,-0.00715082,-1.95E-18,0.65598299,,-0.14153768,-0.379361984,,,0,0,-0.002415128,,,,,,,,0.001526316,0.024795322,0.015406433,Bay Front,Microtidal,Oligohaline,4.79,5.55,39.521132,Mid-Atlantic,NA25,,5,-4,7.98,2.5,64.92,1.15,0.66,,,,,1,0,0,,0.509764706
KAC,FR,-1.078621703,,1.078601378,0.780695274,-7.52E-05,0.06655917,0.014230579,-0.001758177,,,,-1.078621703,0.144207832,0.104624424,0.049073847,,,,,,,,,,0.003517544,-0.016578947,-0.014163743,Bay Front,Macrotidal,Mesohaline,-9.62,-7.87,59.803232,West Coast,NA4,,,,,,,,,,,,,0.20212766,0.765957447,0.031914894,,4.624667586
KAC,BS,-1.021905524,,1.02181078,1.111220039,0.002572186,0.099958268,0.033976043,-0.001376656,,,,-1.021905524,-0.236153073,0.180817879,-0.034074065,,,,,,,,,,0.003517544,-0.016578947,-0.014163743,Back Barrier,Macrotidal,Oligohaline,-9.62,-7.87,59.638519,West Coast,NA4,,,,,,,,,,,,,0.931034483,0.034482759,0.034482759,,4.341727414
KAC,CP,-0.156338221,,0.156329034,0.199777992,0.001946059,-0.062073163,-0.005121014,0.000162937,,,,-0.156338221,-0.046283107,-0.00778324,0.010617388,,,,,,,,,,0.003517544,-0.016578947,-0.014163743,Bay Front,Macrotidal,Mesohaline,-9.62,-7.87,59.556792,West Coast,NA4,,,,,,,,,,,,,0.318181818,0.681818182,0,,3.922902785
KAC,SC,-0.586028883,,0.586112763,1.040723248,0.008024522,0.01986998,-0.006566297,0.002026087,,,,-0.586028883,-0.258145844,0,-0.196464642,,,,,,,,,,0.003517544,-0.016578947,-0.014163743,Bay Front,Macrotidal,Mesohaline,-9.62,-7.87,59.460128,West Coast,NA4,,,,,,,,,,,,,0.515151515,0.484848485,0,,3.823659677
MAR,MI-W,0.286434759,,-0.286642924,-0.294783385,-0.020220126,-0.108790356,-0.033854645,2.94E-05,-0.604223037,,0.282651942,0.003782817,0.00957293,,0,,,,-0.001432469,,,,,0,-0.000278638,0.059853801,-0.000657895,Bay Front,Microtidal,Polyhaline,7.18,10.66,27.937523,Gulf Coast,NA27,,7,-4,2.72,0.67,86.26,0.2,0.13,,5.49,-1.69,-5.17,1,0,0,10,
MAR,HF1,11.38679476,,-11.37441768,-11.41391341,0.042080172,-0.258376021,-0.068832467,-3.03E-05,0,,-1.288479105,12.67527386,0.006633041,,0,,,,0.001317197,,,,,0.031545489,-0.000278638,0.059853801,-0.000657895,Bay Front,Microtidal,Polyhaline,7.18,10.66,28.305117,Gulf Coast,NA27,,8,-6,1.5,1.83,82.92,0.12,0.12,,6.19,-0.99,-4.47,1,0,0,10,
MAR,HF2,9.843372854,,-9.843372854,-9.997399664,0.041895249,-0.249999945,-0.084494733,4.27E-05,0,,-0.659808026,10.50318088,0.001965887,,0,,,,0.001288704,,,,,0.15077222,-0.000278638,0.059853801,-0.000657895,Bay Front,Microtidal,Polyhaline,7.18,10.66,28.304803,Gulf Coast,NA27,,8,-6,1.5,1.83,82.92,0.12,0.12,,-2.18,-9.36,-12.84,1,0,0,20,
MAR,HF3,8.929946149,,-8.929946149,-9.012896781,0.052853888,-0.201462911,-0.054465144,-0.000514396,0.002455188,,-0.272406369,9.202352518,-0.00062694,,0,,,,0.007934537,,,,,0.075643035,-0.000278638,0.059853801,-0.000657895,Bay Front,Microtidal,Polyhaline,7.18,10.66,28.304229,Gulf Coast,NA27,,8,-6,1.5,1.83,82.92,0.12,0.12,,-2.02,-9.2,-12.68,1,0,0,10,
NAR,Nag,1.510397716,1.456122032,-1.510496082,-1.432377178,0.016725686,-0.025855,-0.014571501,7.48E-05,0.499646512,,0.054275684,0,-0.070521486,,-0.007597419,0,-1.266691521,,,,,0,,,0.001614035,0.091052632,-0.241403509,Bay Front,Microtidal,Polyhaline,3.35,4.38,41.62639,Northeast,NA10,1.12,3,-6,1.82,0.2,74.79,1.31,0.5,,2.1,-1.25,-2.28,0.208333333,0.666666667,0.125,45.31529167,0.616475188
NAR,Coggeshall,1.962568566,1.942112448,-1.962616315,-2.038466646,0.008964878,-0.044808235,-0.023607712,0,-0.068850733,,0.058090169,0,0.075850331,,0,0.075850331,-1.160804473,,,,,-0.037634051,,,0.001614035,0.091052632,-0.241403509,Bay Front,Microtidal,Polyhaline,3.35,4.38,41.65078,Northeast,NA10,1.12,3,-6,1.82,0.2,74.79,1.31,0.5,,1.08,-2.27,-3.3,0.333333333,0.523809524,0.142857143,56.37180952,0.60363281
NIW,Segment A,-0.712625324,,0.662827098,0.894031568,-0.010012956,-0.016336984,-0.002217927,4.19E-05,0.912421693,-0.589477975,0.111666294,-0.824291618,-0.253645647,0.039576508,-0.016650727,,0.036980161,,-0.000484605,,,,,,0.001816305,0.082818713,0.061491228,Riverine,Microtidal,Polyhaline,3.03,8.56,33.34537724,Southeast,NA25,,9,-5,2.85,1.88,87.42,1.58,0.95,,1.02,-2.01,-7.54,0.52,0.4,0.08,127.5614604,0.525556
NIW,Segment B,-0.64803544,,0.621397318,0.875128468,-0.007563961,-0.018579193,-0.00302818,0.001834854,1.06648509,-0.1395051,0.44399461,-1.09203005,-0.141205797,-0.087594093,-0.02493126,,0.092359366,,0,,,,,,0.001816305,0.082818713,0.061491228,Riverine,Microtidal,Polyhaline,3.03,8.56,33.34067163,Southeast,NA25,,9,-5,2.85,1.88,87.42,1.58,0.95,,0.71,-2.32,-7.85,0.769230769,0.230769231,0,44.27326926,0.387355769
NOC,MI,-0.837081106,,0.837042458,0.837042458,-0.00614905,-0.008833413,0.004142223,-6.56E-18,1.068461495,,-0.344545082,-0.492536024,,,,,-0.14325393,,,,,,,,0.000929825,0.101608187,0.084619883,Back Barrier,Microtidal,Polyhaline,4.22,9,34.165934,Southeast,NA25,1.13,3,-8,4.56,0.88,54.91,1.37,0.92,,4.46,0.24,-4.54,0.858695652,0.141304348,0,30.29347826,-0.035755556
NOC,MM,4.766222166,,-4.766099388,-4.863344365,0.036977214,0.002577338,0.001299333,-2.27E-17,-4.870649302,,0.188175425,4.57804674,,,,,0,,,,,,,0.097244978,0.000929825,0.03325731,0.036476901,Back Barrier,Microtidal,Polyhaline,4.22,9,34.690962,Southeast,NA25,1.13,3,-8,6.83,0.49,48.66,1,0.84,,8.2,3.98,-0.8,1,0,0,18.10526316,-0.110606712
SOS,DM,0,0,-0.000639002,0.75565419,0.001852924,0.005954753,0.011567099,-0.000779721,,,,0,-0.824662387,0.075873427,0,0,,,0.002105069,,,,0,-0.009609302,-0.002849123,0.114298246,-0.047690058,Riverine,Mesotidal,Mesohaline,0.97,1.41,43.283017,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.97,1,0.56,0.35,0.65,0,16.7,2.018038339
SOS,MM,-0.15008751,0.08730135,0.150362583,-0.079742465,0.001246189,0.040827565,0.015128394,1.71E-06,,,,0,0.230275626,0,0,0,,,-0.000170578,,,,-0.23738886,0,-0.002849123,0.114298246,-0.047690058,Bay Front,Mesotidal,Polyhaline,0.97,1.41,43.335179,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.03,1.06,0.62,0.5,0.5,0,21.2,2.094864563
SOS,HC,0.009469506,0.009469506,-0.009937686,1.024103254,-0.001750326,0.016745069,0.026342366,-0.001712335,,,,0,-1.205276892,0.171235952,0,0.000245453,,,0,,,,0,0,-0.002849123,0.114298246,-0.047690058,Riverine,Mesotidal,Mesohaline,0.97,1.41,43.292522,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.32,1.35,0.91,0.268292683,0.731707317,0,73.7804878,2.165239372
SOS,VM,0.528463056,0.538141032,-0.528812879,-0.258607981,0.006294919,0.021118801,0.025547677,-4.28E-05,,,,0,-0.393714664,0.00306516,0,0,,,0.001222217,,,,-0.009677976,0.119222389,-0.002849123,0.114298246,-0.047690058,Riverine,Mesotidal,Polyhaline,0.97,1.41,43.310851,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.96,1.99,1.55,0.6,0.4,0,5.45,2.120377613
SOS,VI,0.025004442,0.025004442,-0.025213223,1.023153914,0.000250044,-0.005783393,0.02125097,-2.02E-05,,,,0,-1.050391439,0,0,0,,,0.002024301,,,,0,0,-0.002849123,0.114298246,-0.047690058,Riverine,Mesotidal,Polyhaline,0.97,1.41,43.309601,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.49,0.52,0.08,0.9,0.1,0,15.325,2.0016667
SOS,MI,0.390630019,0.390630019,-0.391100269,2.194624832,0.003906437,0.14436434,0.025357064,-2.68E-05,,,,0,-2.62839501,0,0,0,,,0.002677043,,,,0,0.039992867,-0.002849123,0.114298246,-0.047690058,Bay Front,Mesotidal,Polyhaline,0.97,1.41,43.335221,West Coast,NA15,1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.82,0.85,0.41,1,0,0,0,1.999508905
TJR,McCoy North,-0.360608312,,0.360729476,0.393907509,0,0.025459757,-0.012778712,0.041857021,,,,-0.404114008,,,-0.032572455,,,0.043505696,-0.000605578,,-0.20488423,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.570532,West Coast,NA31,3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,,0,0.8,0.2,50.2,2.085
TJR,McCoy South,1.590082118,,-1.59004929,-0.721716542,0.001210677,-0.098488826,-0.018657567,-0.002073604,,,,-0.71693042,,,-0.55923133,,,2.307012538,-0.309101418,,-0.494411351,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.567451,West Coast,NA31,3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,,0.25,0.375,0.375,51.33333333,2.0725125
TJR,South Beach,0.384208972,,-0.38409642,-0.609710978,-0.003167018,-0.012123829,-0.001076564,0.004663207,,,,-2.051257194,,,0.222280309,,,2.435466167,0.003334249,,-0.590175882,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.547729,West Coast,NA31,3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,,0,0.857142857,0.142857143,66.26190476,2.098428571
TJR,V1,1.303194226,,-1.303126887,-1.300635071,-0.002466015,0.006056986,0.000612249,2.90E-05,,,,1.221820072,,,0,,,0.081374155,-0.002491816,,-1.389051522,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.550214,West Coast,NA31,3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,,0.148148148,0.592592593,0.259259259,30.25925926,1.888362963
TJR,V3,-0.743621954,,0.743639622,0.61148309,-0.000955427,-0.00025893,0.01099763,-0.001316899,,,,-1.390670134,,,0.020225499,,,0.647048181,0.111931033,,-0.018780344,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.565256,West Coast,NA31,3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,,0,1,0,50.85416667,1.817295833
TJR,V4,-0.834248898,,0.834062036,0.836436159,0.00066289,-0.123493279,-0.017475765,2.41E-05,,,,-0.859807678,,,0.000126221,,,0.02555878,-0.002500345,,0.042899414,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.574838,West Coast,NA31,3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,1.33,-1.38,-3.86,0.041666667,0.958333333,0,29.525,1.63895
TJR,Brazo Creek,-2.551357288,,2.55060738,1.978941414,-0.017626852,0.066657908,0.068201027,-0.005947105,,,,-0.07874719,,,0.571665966,,,-2.472610098,0,,-2.841294625,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.5465,West Coast,NA31,3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,,0,0.833333333,0.166666667,,
TJR,Horse Trail,-0.934559754,,0.934559754,0.92055524,-0.000198203,-0.026662774,-0.014703615,-0.000147416,,,,-0.519935767,,,0.014004514,,,-0.414623987,0,,0.566637188,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.5446,West Coast,NA31,3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,,0,1,0,,
TJR,Model Marsh,-2.389543063,,2.38945973,2.38945973,-0.019907077,-0.037503891,-0.00512241,9.52E-17,,,,-2.971613162,,,0,,,0.582070099,0,,2.402559901,,,,-0.003666667,0.127017544,0.005900585,Back Barrier,Mesotidal,Polyhaline,2.71,5.19,32.5458,West Coast,NA31,3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,6.59,3.88,1.4,0.125,0.875,0,,
WEL,WB,-0.093521741,-0.194726654,0.093429697,-0.206765094,0.001882298,-0.02859494,-0.006827036,-0.0007199,,,-0.005495319,0,0.067779854,0.001480049,0.010207158,-0.032653513,-0.766872189,0.106700231,0.063093867,,,,,0.157633861,0.001385965,0.159321637,-0.120923977,Back Barrier,Mesotidal,Polyhaline,1.57,2.52,43.32330483,Northeast,NA10,,3,-4,2.77,2.16,39.44,2.9,0.66,,4.4468,2.8768,1.9268,0.2,0.6,0.2,58.23,1.39975
WQB,Section 2,0.008247806,0.121420669,-0.008048158,-0.146537518,0.00860569,-0.014072742,-0.021166111,-0.000128713,0.73941437,,-0.055145622,,-0.01806786,0,0.01016442,-0.003892902,-0.423639446,-0.058027241,-6.92E-05,,,,,0.146461997,0.002333333,0.153684211,-0.25877193,Back Barrier,Microtidal,Polyhaline,3.59,5.1,41.554168,Northeast,NA25,1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,3.35,-0.24,-1.75,0.510638298,0.425531915,0.063829787,73.76595745,0.162043478
WQB,Section 1,0.183725513,0.175212253,-0.183565431,-1.112445651,0.005992042,0.096815976,0.016630602,-0.00359399,-0.669031383,,0.519109281,,0.017736214,0.155053877,0.112724352,0,-0.205949407,-0.510596021,-0.002869465,,,,,0.646235243,0.002333333,0.153684211,-0.25877193,Back Barrier,Microtidal,Polyhaline,3.59,5.1,41.552199,Northeast,NA25,1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,2.39,-1.2,-2.71,0.815789474,0.105263158,0.078947368,59.78947368,0.060816789
WQB,Section 3,-0.158189049,0.32808173,0.158502545,-0.223655298,0.014820343,0.005911903,-0.007704182,0.001266968,0.164968212,,-0.018583822,,0.017140868,-0.049942028,-0.007982193,0.005139649,-0.190201535,-0.467686957,-0.013353338,,,,,0.436294535,0.002333333,0.153684211,-0.25877193,Back Barrier,Microtidal,Polyhaline,3.59,5.1,41.553776,Northeast,NA25,1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,2.02,-1.57,-3.08,0.282051282,0.58974359,0.128205128,56.76923077,0.13505353
