"Reserve","SiteID","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height"
"GND","juro low",8.20403933019901,,-8.20403933019902,0,0.0811093368698098,0.0531735549730585,0.0138988039430245,-0.0203425848464487,0.204676643233968,-8.49752226579845,,8.20403933019901,-8.40871597343299,0,0.204676643233968,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Mesohaline",4.36,10.98,30.375463,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,6.88,-2.52,0.171428571428571,0.828571428571429,0,82.5714285714286,0.202596
"GND","juro high",6.44299444430297,,-6.44299444430297,-0.0245790607652265,0.0648668295455095,0.384903139661055,0.129886082785465,-0.014209719482548,0,-5.42453747353955,,6.44299444430297,-6.42687385416975,0.0982118709924042,-0.0931652513519683,0.0348350977484529,-1.59976367709818,,0.00341185099156505,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.398975,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,1.12,3.24,0.0952380952380952,0.904761904761905,0,500,0.454506190476191
"GND","juro mid",5.36462952413958,,-5.36462952413959,0.100573994729336,0.0453129893782889,0.203104623213223,0.0643463166298578,-0.0143692613266417,0,-4.85421404068788,,5.36462952413958,-5.45673124148002,-0.161778536997681,0.15330625960878,0.0352005863799376,-0.746710356935267,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.397993,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.99,1.37,0.075,0.85,0.075,458.7,0.37219425
"GND","clmaj",-1.51545619144554,,1.51545619144554,0,0,0.8492903988644,0.231541360306823,0.0523449501673083,0,0.375356448478142,,-1.51545619144554,2.9582799964245,-3.28810628559119,1.84528248061223,-0.186772408391559,2.32684414342907,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Oligohaline",4.36,10.98,30.409709,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.63,1.73,0,0,1,448.633333333333,0.777764
"GRB","SP",-0.255005449296344,0.544635479951452,0.255082577708594,0.0502742468551797,0.015542876230509,-0.0199404689731364,-0.00546011384405088,0.00276839463728977,0.223595159140853,,-0.364395874471073,0.0113543963295212,0.260421269391051,-0.199651527918546,-0.0204302606616358,-0.0726507191548159,-0.29208132176915,-0.425131905569404,0.0501282229823616,,,-0.0214675455368407,0,0.114340627060184,0.00175438596491229,0.102163742690059,-0.125321637426899,"Bay Front","Mesotidal","Polyhaline",3.38,3.62,43.056383,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,3.2,0.18,0.133333333333333,0.733333333333333,0.133333333333333,41.0311111111111,
"GRB","GBF",0.100190174861545,0.133381925303037,-0.100107828547714,0.0723680935453889,0.00862103919995132,-0.0494119920359089,-0.0154704622520625,0.000576994009804376,0.725212385221932,,0.0718974930060552,0,-0.0388509153829125,-0.211312373212333,0.144265637864293,-0.00239958497366883,-0.432574543268108,-0.0977640729005206,-0.00644156507126988,,,-0.00732517054702616,0,-0.0601367062908806,0.00175438596491229,0.102163742690059,-0.125321637426899,"Riverine","Mesotidal","Polyhaline",3.38,3.62,43.061085,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,2.87,0.51,0.175,0.675,0.15,21.9225,
"GRB","BC",0.983245283141585,0.996317075144054,-0.983240751120483,-0.467316496320812,0.0128594046884189,-0.0625191417407532,-0.0133937824356548,0.00238703739745267,0.0773751358589041,,-0.214732223879313,0,-0.218847108578152,-0.298324401495786,0.0303353941420159,0.00190314833893895,-0.456133559624283,0.201660431876844,-0.0474661693427861,,,0,0,0.0183780304750372,0.00175438596491229,0.102163742690059,-0.125321637426899,"Riverine","Mesotidal","Polyhaline",3.38,3.62,43.135955,"Northeast","NA10",3.83,5,-4,0.48,0.23,68.1,1.45,0.35,,,,0.333333333333333,0.466666666666667,0.2,33.19,
"GTM","22",-0.554090044602037,,0.554090044602037,0.554090044602037,-0.00554090044602037,0.0404155917594155,0.0282622203320453,3.01485694099249e-18,-0.889676952709395,0,,-0.554090044602037,0,0,0,0,0,,,,,,,,0.00149122807017539,0.158362573099412,0.0669502923976602,"Riverine","Microtidal","Oligohaline",3.84,8.25,29.821681,"Southeast","NA25",,5,-4,2.23,1.12,48.98,1.49,0.68,,7.97,-4.13,1,0,0,6.4,0.387642857142857
"GTM","00",0.212707890060756,,-0.212707890060757,-0.212707890060757,0.00212707890060756,-0.0303309679904359,0.00412944816412394,-4.33534715388391e-17,-0.40687086920977,0,,0.212707890060756,0,0,0,0,0,,,,,,,,0.00149122807017539,0.158362573099412,0.0669502923976602,"Back barrier","Microtidal","Oligohaline",3.84,8.25,29.978118,"Southeast","NA25",,5,-4,2.78,0.73,68.67,1.48,0.89,,-0.58,4.42,1,0,0,6.4,0.321866666666667
"GTM","40",-1.31691153343899,,1.31691153343899,1.31691153343899,-0.0131691153343899,-0.0271113858887604,-3.6420221894974e-05,-1.93286695434666e-17,1.3172291554881,0,,-1.31691153343899,0,0,0,0,0,,,,,,,,0.00149122807017539,0.158362573099412,0.0669502923976602,"Riverine","Microtidal","Oligohaline",3.84,8.25,30.085513,"Southeast","NA25",,7,-2,1.41,0.89,92.19,1.53,0.74,,-0.79,4.63,1,0,0,6.4,0.239733333333333
"GTM","01",0.63528172428017,,-0.635324078512276,-0.635324078512276,0.00635290039259015,0.111921861671033,0.0557496656613767,-6.55548496280215e-17,0.577873407938938,0,,0.63528172428017,0,0,0,0,0,,,,,,,,0.00149122807017539,0.158362573099412,0.0669502923976602,"Riverine","Microtidal","Oligohaline",3.84,8.25,29.628969,"Southeast","NA25",,5,-5,1.9,0.55,67.53,0.9,0.49,,1.72,2.12,1,0,0,6.4,0.0782113333333333
"GTM","46",1.35539785934551,,-1.35538962782231,-1.85014081394858,0.0135539785934551,-0.0934147163830893,-0.0123723288518464,-3.7413577723738e-17,-0.0292672644108351,0.494751186126269,,1.35539785934551,0.494751186126269,0,0,0,0,,,,,,,,0.00149122807017539,0.158362573099412,0.0669502923976602,"Riverine","Microtidal","Oligohaline",3.84,8.25,29.65862,"Southeast","NA25",,9,-1,0.33,0.45,95.18,0.9,0.36,,3.85,-0.0100000000000002,0.678571428571429,0.0535714285714286,0.267857142857143,50.8214285714286,0.268571694805195
"JAC","Central Segment",-1.68492504087858,,1.68503188762181,1.68503188762181,-0.0165969617481087,-0.011426775341656,-0.0091346719404934,0,1.88804822801794,,-0.0252822595188618,-1.65964278135972,,,0,0,-0.0540143494871408,,,,,,,,0.00152631578947363,0.0247953216374279,0.0154064327485378,"Bay Front","Microtidal","Oligohaline",4.79,5.55,39.537998,"Mid-Atlantic","NA25",,5,-4,7.98,2.5,64.92,1.15,0.66,,,,1,0,0,,0.458275862068966
"JAC","South Segment",-0.520899664403588,,0.520953061981438,0.520953061981438,-0.00379383343267367,-0.00599485924374588,-0.00715081987569886,-1.9492539154997e-18,0.655982990163857,,-0.141537680167361,-0.379361984236227,,,0,0,-0.00241512794718791,,,,,,,,0.00152631578947363,0.0247953216374279,0.0154064327485378,"Bay Front","Microtidal","Oligohaline",4.79,5.55,39.521132,"Mid-Atlantic","NA25",,5,-4,7.98,2.5,64.92,1.15,0.66,,,,1,0,0,,0.509764705882353
"KAC","FR",-1.07862170267776,,1.07860137840438,0.780695274389151,-7.51812867904749e-05,0.0665591702759197,0.014230578716797,-0.0017581770980081,,,,-1.07862170267776,0.144207832328197,0.104624424335969,0.0490738473510615,,,,,,,,,,0.00351754385964901,-0.0165789473684209,-0.0141637426900576,"Bay Front","Macrotidal","Mesohaline",-9.62,-7.87,59.803232,"West Coast","NA4",,,,,,,,,,,,0.202127659574468,0.765957446808511,0.0319148936170213,,4.6246675862069
"KAC","BS",-1.02190552422567,,1.02181077991812,1.1112200388474,0.00257218591533259,0.09995826757968,0.0339760433304687,-0.00137665623819768,,,,-1.02190552422567,-0.236153073273136,0.18081787917395,-0.0340740648300932,,,,,,,,,,0.00351754385964901,-0.0165789473684209,-0.0141637426900576,"Back Barrier","Macrotidal","Oligohaline",-9.62,-7.87,59.638519,"West Coast","NA4",,,,,,,,,,,,0.931034482758621,0.0344827586206897,0.0344827586206897,,4.3417274137931
"KAC","CP",-0.156338221442042,,0.156329034243861,0.199777992285681,0.00194605940899951,-0.0620731627377551,-0.00512101417359645,0.000162936666621346,,,,-0.156338221442042,-0.0462831068543751,-0.00778323967792477,0.0106173884904799,,,,,,,,,,0.00351754385964901,-0.0165789473684209,-0.0141637426900576,"Bay Front","Macrotidal","Mesohaline",-9.62,-7.87,59.556792,"West Coast","NA4",,,,,,,,,,,,0.318181818181818,0.681818181818182,0,,3.92290278481013
"KAC","SC",-0.586028883138051,,0.58611276294609,1.04072324842738,0.00802452168010189,0.019869979681131,-0.00656629745274456,0.00202608747838213,,,,-0.586028883138051,-0.258145843936291,0,-0.196464641544996,,,,,,,,,,0.00351754385964901,-0.0165789473684209,-0.0141637426900576,"Bay Front","Macrotidal","Mesohaline",-9.62,-7.87,59.460128,"West Coast","NA4",,,,,,,,,,,,0.515151515151515,0.484848484848485,0,,3.82365967741935
"MAR","MI-W",0.286434758698053,,-0.286642924113475,-0.294783384965294,-0.0202201260106886,-0.108790355949181,-0.0338546453323916,2.93753346612263e-05,-0.604223036569388,,0.282651941867227,0.00378281683082537,0.00957293012049521,,0,,,,-0.00143246926867597,,,,,0,-0.000278637770897839,0.0598538011695924,-0.000657894736844035,"Bay Front","Microtidal","Polyhaline",7.18,10.66,27.937523,"Gulf Coast","NA27",,7,-4,2.72,0.67,86.26,0.2,0.13,,5.49,1.69,1,0,0,10,
"MAR","HF1",11.3867947586998,,-11.3744176839547,-11.4139134097361,0.0420801719563782,-0.258376020545245,-0.0688324673579979,-3.02848352034006e-05,0,,-1.28847910516803,12.6752738638678,0.00663304051021602,,0,,,,0.00131719677109459,,,,,0.0315454885000206,-0.000278637770897839,0.0598538011695924,-0.000657894736844035,"Bay Front","Microtidal","Polyhaline",7.18,10.66,28.305117,"Gulf Coast","NA27",,8,-6,1.5,1.83,82.92,0.12,0.12,,6.19,0.989999999999999,1,0,0,10,
"MAR","HF2",9.84337285371641,,-9.84337285371641,-9.99739966411244,0.0418952487463968,-0.249999944555953,-0.0844947333748192,4.26545051314906e-05,0,,-0.659808025916133,10.5031808796325,0.00196588656807265,,0,,,,0.00128870399178538,,,,,0.150772219836174,-0.000278637770897839,0.0598538011695924,-0.000657894736844035,"Bay Front","Microtidal","Polyhaline",7.18,10.66,28.304803,"Gulf Coast","NA27",,8,-6,1.5,1.83,82.92,0.12,0.12,,-2.18,9.36,1,0,0,20,
"MAR","HF3",8.92994614875273,,-8.92994614875273,-9.01289678099208,0.052853888448479,-0.201462910944851,-0.0544651443018112,-0.000514395986411815,0.00245518763302031,,-0.272406369312491,9.20235251806522,-0.000626939739038441,,0,,,,0.00793453692787715,,,,,0.0756430350505156,-0.000278637770897839,0.0598538011695924,-0.000657894736844035,"Bay Front","Microtidal","Polyhaline",7.18,10.66,28.304229,"Gulf Coast","NA27",,8,-6,1.5,1.83,82.92,0.12,0.12,,-2.02,9.2,1,0,0,10,
"NAR","Nag",1.51039771619155,1.4561220318253,-1.51049608166246,-1.43237717757652,0.016725685774961,-0.0258549996125407,-0.0145715012617641,7.4807283200831e-05,0.499646512324388,,0.0542756843662571,0,-0.0705214855600351,,-0.007597418525901,0,-1.2666915207014,,,,,0,,,0.00161403508771926,0.0910526315789482,-0.241403508771929,"Bay Front","Microtidal","Polyhaline",3.35,4.38,41.62639,"Northeast","NA10",1.12,3,-6,1.82,0.2,74.79,1.31,0.5,,2.1,1.25,0.208333333333333,0.666666666666667,0.125,45.3152916666667,0.6164751875
"NAR","Coggeshall",1.96256856649383,1.94211244835922,-1.96261631521981,-2.03846664631545,0.00896487823809759,-0.0448082351753273,-0.0236077118648778,0,-0.0688507330657318,,0.058090169148716,0,0.0758503310956344,,0,0.0758503310956344,-1.16080447289598,,,,,-0.0376340510141011,,,0.00161403508771926,0.0910526315789482,-0.241403508771929,"Bay Front","Microtidal","Polyhaline",3.35,4.38,41.65078,"Northeast","NA10",1.12,3,-6,1.82,0.2,74.79,1.31,0.5,,1.08,2.27,0.333333333333333,0.523809523809524,0.142857142857143,56.3718095238095,0.603632809523809
"NIW","Segment A",-0.712625323592119,,0.662827097746931,0.894031568396126,-0.0100129555321586,-0.0163369835036713,-0.0022179272439929,4.18952669671681e-05,0.912421693069107,-0.589477975307311,0.111666294137165,-0.824291617729284,-0.253645646775971,0.0395765079293266,-0.0166507268734341,,0.0369801610324606,,-0.000484604929116846,,,,,,0.00181630546955624,0.0828187134502919,0.0614912280701724,"Riverine","Microtidal","Polyhaline",3.03,8.56,33.34537724,"Southeast","NA25",,9,-5,2.85,1.88,87.42,1.58,0.95,,1.02,2.01,0.52,0.4,0.08,122.099358414762,0.525556
"NIW","Segment B",-0.648035439504914,,0.621397318303987,0.875128468384868,-0.00756396125335479,-0.0185791930690028,-0.00302818041356487,0.00183485396771094,1.06648508964872,-0.139505100377768,0.443994610062326,-1.09203004956724,-0.141205797494781,-0.087594092908815,-0.0249312596772852,,0.0923593658908875,,0,,,,,,0.00181630546955624,0.0828187134502919,0.0614912280701724,"Riverine","Microtidal","Polyhaline",3.03,8.56,33.34067163,"Southeast","NA25",,9,-5,2.85,1.88,87.42,1.58,0.95,,0.71,2.32,0.769230769230769,0.230769230769231,0,39.6920298079701,0.387355769230769
"NOC-MI","MI",-0.837081106388979,,0.837042458311371,0.837042458311371,-0.00614905040105502,-0.00883341251745115,0.00414222309957226,-6.56427178430827e-18,1.06846149549573,,-0.344545082469965,-0.492536023919014,,,,,-0.143253929927615,,,,,,,,0.000929824561403529,0.101608187134501,0.084619883040934,"Back barrier","Microtidal","Polyhaline",4.22,9,34.165934,"Southeast","NA25",1.13,3,-8,4.56,0.88,54.91,1.37,0.92,,4.46,-0.24,0.858695652173913,0.141304347826087,0,30.2934782608696,-0.0357555555555556
"NOC-RC","MM",4.76622216559756,,-4.7660993878258,-4.86334436548882,0.0369772138775786,0.00257733833219067,0.00129933330889689,-2.27355636799275e-17,-4.87064930166237,,0.18817542542581,4.57804674017175,,,,,0,,,,,,,0.097244977663021,0.000929824561403529,0.0332573099415217,0.0364769005847921,"Back barrier","Microtidal","Polyhaline",4.22,9,34.690962,"Southeast","NA25",1.13,3,-8,6.83,0.49,48.66,1,0.84,,8.2,-3.98,1,0,0,18.1052631578947,-0.110606712482143
"SOS","DM",0,0,-0.000639002318319543,0.755654190152237,0.00185292442059309,0.00595475318695721,0.0115670986538762,-0.000779720602939374,,,,0,-0.824662386579131,0.0758734274171846,0,0,,,0.00210506901999544,,,,0,-0.00960930232860437,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Riverine","Mesotidal","Mesohaline",0.97,1.41,43.283017,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.97,-1,0.35,0.65,0,16.7,2.01803833928571
"SOS","MM",-0.15008750960732,0.0873013500365379,0.150362582592154,-0.0797424649286426,0.00124618916623982,0.0408275651274167,0.0151283939416018,1.7056102514884e-06,,,,0,0.230275625602054,0,0,0,,,-0.000170578081256726,,,,-0.237388859643858,0,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Bay Front","Mesotidal","Polyhaline",0.97,1.41,43.335179,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.03,-1.06,0.5,0.5,0,21.2,2.0948645625
"SOS","HC",0.00946950571511521,0.00946950571511521,-0.00993768574583293,1.02410325440014,-0.00175032613515821,0.0167450685068792,0.026342366017438,-0.00171233484043317,,,,0,-1.2052768919197,0.171235951773723,0,0.000245453105591078,,,0,,,,0,0,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Riverine","Mesotidal","Mesohaline",0.97,1.41,43.292522,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.32,-1.35,0.268292682926829,0.731707317073171,0,73.780487804878,2.16523937195122
"SOS","VM",0.52846305565552,0.538141032114024,-0.528812879074224,-0.258607980693868,0.00629491882571074,0.0211188010026028,0.0255476771429266,-4.28275463786323e-05,,,,0,-0.393714663926339,0.00306515998888451,0,0,,,0.00122221701439771,,,,-0.00967797645850392,0.119222388542701,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Riverine","Mesotidal","Polyhaline",0.97,1.41,43.310851,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,2.96,-1.99,0.6,0.4,0,5.45,2.1203776125
"SOS","VI",0.0250044421818429,0.0250044421818429,-0.0252132232617281,1.02315391379008,0.000250044421818429,-0.00578339297873191,0.0212509701990624,-2.0243014613445e-05,,,,0,-1.05039143851315,0,0,0,,,0.00202430146134428,,,,0,0,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Riverine","Mesotidal","Polyhaline",0.97,1.41,43.309601,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.49,-0.52,0.9,0.1,0,15.325,2.0016667
"SOS","MI",0.390630018706355,0.390630018706355,-0.391100268792168,2.19462483162771,0.0039064374196183,0.144364340138737,0.0253570640426171,-2.67731071712738e-05,,,,0,-2.62839501022726,0,0,0,,,0.0026770429860555,,,,0,0.0399928668213252,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Bay Front","Mesotidal","Polyhaline",0.97,1.41,43.335221,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,1.82,-0.85,1,0,0,0,1.9995089047619
"SOS","WM",0.053012975474958,0.053012975474958,-0.0524332232184402,0.0671317371108867,-0.0319578657850563,0.0476470794457696,0.0124930727794467,-0.0317778344438573,,,,0,-3.2627365022243,3.13674338163967,0,0.185566995519239,,,0.00642816025530608,,,,0,0,-0.00284912280701754,0.11429824561403,-0.0476900584795322,"Riverine","Mesotidal","Fresh",0.97,1.41,43.268985,"West Coast","NA15",1.95,6,-7,3.75,0.05,84.74,2.29,0.73,,11.06,-10.09,0,0,1,24.9,2.445024525
"TJR","McCoy North",-0.36060831225859,,0.360729475994826,0.393907509415634,0,0.0254597567998045,-0.0127787116794105,0.0418570213436239,,,,-0.404114007882785,,,-0.032572455372428,,,0.043505695624195,-0.000605578048379084,,-0.204884229940523,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.570532,"West Coast","NA31",3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,0,0.8,0.2,50.2,2.085
"TJR","McCoy South",1.59008211770898,,-1.59004928961409,-0.721716541942797,0.00121067729617772,-0.0984888260068321,-0.0186575669293215,-0.0020736036431836,,,,-0.716930420363671,,,-0.559231329885137,,,2.30701253807265,-0.309101417786158,,-0.494411351464037,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.567451,"West Coast","NA31",3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,0.25,0.375,0.375,51.3333333333333,2.0725125
"TJR","South Beach",0.384208972080428,,-0.384096419960337,-0.609710978397737,-0.0031670177485332,-0.0121238285224884,-0.0010765635743972,0.00466320712903606,,,,-2.05125719444639,,,0.222280309240243,,,2.43546616652682,0.00333424919715809,,-0.590175881622506,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.547729,"West Coast","NA31",3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,0,0.857142857142857,0.142857142857143,66.2619047619048,2.09842857142857
