"Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height","plotOrthometric_height","plotDistance_to_water"
"ACE-EIN","EIN","T5","3","Mid",1.6246835050586,1.6246835050586,-1.62453035332256,-1.62453035332256,-0.0162467475709253,-0.108273107928287,-0.0311985360182448,-4.52211847414096e-17,-1.30996010930016,-0.3145702440224,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.635,72
"ACE-EIN","EIN","T5","4","Mid",1.96000862409122,1.96000862409122,-1.96000862409122,-1.96000862409122,-0.0196000862409122,-4.52211847414096e-17,0,-4.52211847414096e-17,-1.96000862409122,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.583,62
"ACE-EIN","EIN","T5","5","Mid",-0.582248577707391,-0.582248577707391,0.582248577707387,0.582248577707387,0.00582248577707386,-4.52300718234575e-17,0,-4.52300718234575e-17,0.582248577707387,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.563,50
"ACE-EIN","EIN","T5","6","Mid",-1.4595579742855,-1.4595579742855,1.45955797428549,1.45955797428549,0.014595579742855,-4.52300718234575e-17,0,-4.52300718234575e-17,1.45955797428549,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.636,32
"ACE-EIN","EIN","T5","7","Low",-1.84752553376318,-1.84752553376318,1.84752553376317,1.84752553376317,0.0184752553376317,-4.52300718234575e-17,0,-4.52300718234575e-17,1.84752553376317,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.743,15
"ACE-EIN","EIN","T5","8","Low",5.23026808238797,5.23026808238797,-5.23026808238797,-5.23026808238797,-0.0523026808238797,-0.117582810277725,0,0,-5.23026808238797,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.677,5
"ACE-EIN","EIN","T6","1","Mid",-4.54092473922665,-4.54092473922665,4.54092473922665,4.54092473922665,0.0454092473922664,0.0362712900501526,0,4.80318272516484e-17,4.54092473922665,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,,96
"ACE-EIN","EIN","T6","2","Mid",-11.2991207616095,-11.2991207616095,11.2991207616095,11.2991207616095,0.112991207616095,0.181234159384993,0,0,11.2991207616095,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.642,88
"ACE-EIN","EIN","T6","3","Mid",-1.14214811054149,-1.14214811054149,1.14214811054148,1.14214811054148,0.0114214811054148,-0.0613875446825208,-0.0108857302501426,-4.52300718234575e-17,-0.264163184041061,1.40631129458255,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.604,76
"ACE-EIN","EIN","T6","4","Mid",0.356257104253718,0.356257104253718,-0.356257104253721,-0.356257104253721,-0.00356257104253722,-4.52300718234575e-17,0,-4.52300718234575e-17,-0.356257104253721,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.627,61
"ACE-EIN","EIN","T6","5","Mid",-3.93232222332269,-3.93232222332269,3.93232222332269,3.93232222332269,0.0393232222332269,-4.52300718234575e-17,0,-4.52300718234575e-17,3.93232222332269,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.62,49
"ACE-EIN","EIN","T6","6","Mid",-1.73756256863737,-1.73756256863737,1.73756256863737,1.73756256863737,0.0173756256863737,-4.52300718234575e-17,0,-4.52300718234575e-17,1.73756256863737,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.681,31
"ACE-EIN","EIN","T6","7","Low",0.349280744103178,0.349280744103178,-0.34928074410318,-0.34928074410318,-0.0034928074410318,-4.52300718234575e-17,0,-4.52300718234575e-17,-0.34928074410318,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.806,15
"ACE-EIN","EIN","T6","8","Low",-5.7500241872679,-5.7500241872679,5.75085578142015,5.75085578142015,0.0739011615350322,-0.181234159384993,-0.106320337350498,-4.52300718234575e-17,7.39019931291844,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.737,5
"ACE-EIS","EIS","T1","1","Mid",-0.573018043817574,-0.573018043817574,0.573018043817575,0.573018043817575,0.00573018043817574,0.0358360252543824,0,,0.573018043817575,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,,84
"ACE-EIS","EIS","T1","2","Mid",-1.61176388897949,-1.61176388897949,1.61176388897948,1.61176388897948,0.0161176388897948,-4.55703490016239e-17,0,-4.55703490016239e-17,1.61176388897948,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.817,79
"ACE-EIS","EIS","T1","3","Mid",-2.6946550927588,-2.6946550927588,2.69465509275879,2.69465509275879,0.0269465509275879,0.179642439064363,0.0480008716442767,-4.55703490016239e-17,1.98599299033674,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.792,67
"ACE-EIS","EIS","T1","4","Mid",1.94041093238375,1.94041093238375,-1.94041093238375,-1.94041093238375,-0.0194041093238375,-4.55703490016239e-17,0,-4.55703490016239e-17,-1.94041093238375,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.824,57
"ACE-EIS","EIS","T1","5","Mid",-5.73957796147332,-5.73957796147332,5.73957796147332,5.73957796147332,0.0573957796147332,0.167841323352873,0.0222091104342011,5.92871912162691e-17,5.52775613843638,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.825,47
"ACE-EIS","EIS","T1","6","Mid",-1.10976900970487,-1.10976900970487,1.10976900970487,1.10976900970487,0.0110976900970487,0.263698718047274,0.0229032069106078,0,1.05177017720666,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.834,37
"ACE-EIS","EIS","T1","7","Mid",0.288453651349663,0.288453651349663,-0.288453651349671,-0.288453651349671,-0.0028845365134967,-4.55703490016239e-17,0,-4.55703490016239e-17,0,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.875,27
"ACE-EIS","EIS","T1","8","Mid",0.34366284924302,0.34366284924302,-0.34366284924302,-0.34366284924302,-0.0034366284924302,-0.0597501348270701,-0.0552373729002272,-4.55703490016239e-17,-0.690829690855545,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.938,17
"ACE-EIS","EIS","T1","9","Mid",-6.68910547357143,-6.68910547357143,6.68910547357143,6.68910547357143,0.0668910547357143,0.0358360252543823,0.00526412885121806,-4.55703490016239e-17,0.113241839803848,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.896,1
"ACE-EIS","EIS","T2","1","Mid",-7.85729383034134,-7.85729383034134,7.85729383034134,7.85729383034134,0.0785729383034134,-4.55673174698114e-17,0,-4.55673174698114e-17,7.85729383034134,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.889,51
"ACE-EIS","EIS","T2","2","Mid",4.7052689310937,4.7052689310937,-4.70526893109371,-4.70526893109371,-0.047052689310937,-0.0358834230162046,0.00348341146006595,-4.55673174698114e-17,2.24028992404878,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.872,46
"ACE-EIS","EIS","T2","3","Mid",-3.49147538206445,-3.49147538206445,3.49147538206444,3.49147538206444,0.0349147538206444,0.144252280923352,0.0795554198165385,-4.55673174698114e-17,3.61448089132803,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.851,33
"ACE-EIS","EIS","T2","4","Mid",-3.35633438812555,-3.35633438812555,3.35633438812554,3.35633438812554,0.0335633438812554,0.0956109308839355,0.0418143594902351,-4.55673174698114e-17,1.22606600555852,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.867,22
"ACE-EIS","EIS","T2","5","Mid",-8.9332423277628,-8.9332423277628,8.93383960284147,8.93383960284147,0.089334215102864,0.143756384406058,0.0299868176110498,-4.55673174698114e-17,0.713951783454533,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.912,12
"ACE-EIS","EIS","T2","6","Mid",-8.52734990775345,-8.52734990775345,8.52734990775344,8.52734990775344,0.0852734990775344,0.0607222161907981,-0.0501339049921344,5.83390440192284e-17,8.81616960425117,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.735,1
"ACE-EIS","EIS","T3","1","Mid",-1.21971206848322,-1.21971206848322,1.21971206848322,1.21971206848322,0.0121971206848322,0.11474243353558,0,,1.21971206848322,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,,45
"ACE-EIS","EIS","T3","2","Mid",-5.5077503299354,-5.5077503299354,5.5077503299354,5.5077503299354,0.055077503299354,0.0837352672827172,0,5.92523245239202e-17,5.5077503299354,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.82,38
"ACE-EIS","EIS","T3","3","Mid",0.274690156436136,0.274690156436136,-0.274690156436137,-0.274690156436137,-0.00274690156436137,-4.55432754438653e-17,0,-4.55432754438653e-17,-0.274690156436137,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.786,34
"ACE-EIS","EIS","T3","4","Mid",-3.08098688139789,-3.08098688139789,3.08098688139788,3.08098688139788,0.0308098688139788,-4.55432754438653e-17,0,-4.55432754438653e-17,3.08098688139788,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.786,25
"ACE-EIS","EIS","T3","5","Mid",-5.07093535127667,-5.07093535127667,5.07093535127667,5.07093535127667,0.0507093535127667,4.34505938222736e-17,0,4.34505938222736e-17,5.07093535127667,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.783,14
"ACE-EIS","EIS","T3","6","Low",-0.75871668120152,-0.75871668120152,0.758716681201518,0.758716681201518,0.00749037455066672,-0.1748044948634,-0.0384764284727463,0,0.749037455066671,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,0.704,1
"APA-LSM","LSM","1","1","Low",5.23164879082226,,-5.23306584637798,0,0.0523183259010573,-0.599430765769277,-0.0863522375210255,-0.0224892260127764,0,0,0,5.23164879082226,-2.85671628349215,-2.37634956288583,0,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","1","2","Mid",8.18156303046511,,-8.17970739938464,0,0.081803974013026,0.0232653465203907,0.00232389252914065,-0.126510778652458,0,0,0,8.18156303046511,-10.3310013516729,2.15464078171802,-0.00334682942978302,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","1","3","Mid",4.78637625877214,,-4.78594182063516,0,0.0478608208491246,0.309822753104244,0.0655639422154196,-0.201833202617425,0,0,0,4.78637625877214,-16.6686489570985,11.8240945699263,0.0586125665370989,1.37084181333779,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","1","4","Mid",2.64021173612509,,-2.64321691193464,0,0.026406971013116,0.0515019434386175,0.0149410349518899,-0.141533600508951,0,0,0,2.64021173612509,-11.9709111644717,9.32968500052035,-0.00199074798329799,7.9950334026258,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
