"","Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Region","Geomorphology","tidal_range","salinity","abiotic_cover_change","live_cover_change","halophyte_change","freshwater_change","EIR_change","invasive_cover_change","Richness_change","SWdiv_change","salt_ratio_change"
"21","ACE","EIN","T6","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",-6.66,6.66,6.66,NA,0.07,NA,0,0,0
"22","ACE","EIN","T6","6","Mid","Southeast","Riverine","Microtidal","Polyhaline",-4.62,4.62,4.62,NA,0.05,NA,0,0,0
"23","ACE","EIN","T6","7","Low","Southeast","Riverine","Microtidal","Polyhaline",-2.04,2.04,2.04,NA,0.02,NA,0,0,0
"24","ACE","EIN","T6","8","Low","Southeast","Riverine","Microtidal","Polyhaline",-6.93,6.93,6.93,NA,0.07,NA,-0.14,-0.09,0
"25","ACE","EIS","T1","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",0,0,0,NA,0,NA,0,0,NA
"26","ACE","EIS","T1","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.23,2.23,2.23,NA,0.02,NA,0,0,0
"27","ACE","EIS","T1","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.38,2.38,2.38,NA,0.02,NA,0.14,0.04,0
"28","ACE","EIS","T1","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-0.74,0.74,0.74,NA,0.01,NA,0,0,0
"29","ACE","EIS","T1","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",-4.86,4.86,4.86,NA,0.05,NA,0.29,0.04,NA
"30","ACE","EIS","T1","6","Mid","Southeast","Riverine","Microtidal","Polyhaline",-1.27,1.27,1.27,NA,0.01,NA,0.29,0.04,NA
"31","ACE","EIS","T1","7","Mid","Southeast","Riverine","Microtidal","Polyhaline",1.17,-1.17,-1.17,NA,-0.01,NA,0,0,0
"32","ACE","EIS","T1","8","Mid","Southeast","Riverine","Microtidal","Polyhaline",-0.33,0.33,0.33,NA,0,NA,0,-0.04,0
"33","ACE","EIS","T1","9","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.43,2.43,2.43,NA,0.02,NA,0,0,0
"34","ACE","EIS","T2","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",-10.51,10.51,10.51,NA,0.11,NA,0,0,0
"35","ACE","EIS","T2","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",5.2,-5.2,-5.2,NA,-0.05,NA,0,0.04,0
"36","ACE","EIS","T2","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",-7.11,7.11,7.11,NA,0.07,NA,0.14,0.07,0
"37","ACE","EIS","T2","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-0.67,0.67,0.67,NA,0.01,NA,0,0,0
"38","ACE","EIS","T2","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",-12.12,12.12,12.12,NA,0.12,NA,0.14,0.03,0
"39","ACE","EIS","T2","6","Mid","Southeast","Riverine","Microtidal","Polyhaline",-5.45,5.45,5.45,NA,0.05,NA,0,-0.09,0
"40","ACE","EIS","T3","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",-1.77,1.77,1.77,NA,0.02,NA,0.17,0,NA
"41","ACE","EIS","T3","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",-6.4,6.4,6.4,NA,0.06,NA,0.14,0,NA
"42","ACE","EIS","T3","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.27,2.27,2.27,NA,0.02,NA,0,0,0
"43","ACE","EIS","T3","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-4.03,4.03,4.03,NA,0.04,NA,0,0,0
"44","ACE","EIS","T3","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",-5.47,5.47,5.47,NA,0.05,NA,0,0,0
"45","ACE","EIS","T3","6","Low","Southeast","Riverine","Microtidal","Polyhaline",1.33,-1.33,-1.33,NA,-0.01,NA,-0.29,-0.08,NA
"46","APA","PC","1","1","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",33.33,-33.34,-4.28,0,0.33,0,-1.33,-0.25,NA
"47","APA","PC","1","2","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",9.09,-9.09,-4.09,-5,0.09,0,-0.17,-0.1,0.05
"48","APA","PC","1","3","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",6.25,-6.25,-0.3,-6.25,0.06,0,0,-0.08,0.08
"49","APA","PC","1","4","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",3.51,-3.51,4.75,-10.42,0.04,0,-0.17,0.01,0.13
"50","APA","PC","1","5","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-2.2,2.2,-0.02,-2.5,-0.02,0,-0.33,-0.08,0.03
"51","APA","PC","1","6","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",2.17,-2.17,1.43,0,0.02,0,0.17,0.08,0
"52","APA","PC","1","7","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",0.21,-0.2,0.76,0,0,0,0.17,0.09,0
"53","APA","PC","1","8","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",3.78,-3.78,0.74,0,0,0,-0.17,-0.03,0
"54","APA","PC","1","9","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-7.28,7.28,1.51,0,0,0,0.17,0.12,0
"55","APA","PC","2","1","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",9.38,-9.38,0,0,0.09,0,0,0,0
"56","APA","PC","2","2","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",4.58,-4.58,0,0,0.05,0,0,0.01,0
"57","APA","PC","2","3","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",7.25,-7.25,0,0,0.07,0,0,0,0
"58","APA","PC","2","4","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",1.9,-1.9,0,0,0.02,0,0,0,0
"59","APA","PC","2","5","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",2.08,-2.08,0,0,0.02,0,0,0,0
"60","APA","PC","2","6","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-1.27,1.27,-0.02,0,-0.01,0,-0.17,0,0
"61","APA","PC","2","7","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-0.82,0.82,-2,0,0,0,0.33,-0.01,0
"62","APA","PC","2","8","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",1.12,-1.12,0.77,0,0.01,0,0.17,0.04,0
"63","APA","PC","2","9","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",6.9,-6.89,4.74,0,0.02,0,0,0.2,0
"64","APA","PC","3","1","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",13.1,-13.1,-7.47,0,0.13,0,-0.25,-0.21,0
"65","APA","PC","3","10","Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",0.91,-0.9,-10.9,0,0,0,-0.17,0,0
"66","APA","PC","3","2","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",-2.07,2.07,2.08,0,-0.02,0,-0.17,0,0
"67","APA","PC","3","3","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",-2.86,2.86,0.02,-0.02,-0.03,0,0,0.01,0
"68","APA","PC","3","4","Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",-2.07,2.07,2.07,0,-0.02,0,0,0.03,0
"69","APA","PC","3","5","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-0.42,0.42,-0.93,0,0,0,-0.5,-0.09,0
"70","APA","PC","3","6","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-2.02,2.02,1.55,0,-0.02,0,0,-0.01,0
"71","APA","PC","3","7","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-0.55,0.54,0.78,0,0.01,0,-0.17,-0.04,0
"72","APA","PC","3","8","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",0.33,-0.33,0,0,0,0,-0.17,0,0
"73","APA","PC","3","9","Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",-0.55,0.55,-0.02,0,0,0,-0.17,0,0
"74","CBM","MB","MCHST1","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-3.77,3.77,3.59,NA,0.02,0,0.43,0.06,0
"75","CBM","MB","MCHST1","P2","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-6.95,6.95,5.76,NA,0,0,0.29,0.12,0
"76","CBM","MB","MCHST1","P3","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-4.14,4.14,4.27,NA,0,-0.13,-0.14,-0.04,0
"77","CBM","MB","MCHST1","P4","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.35,2.35,1.6,NA,0,0,0.14,0.05,0
"78","CBM","MB","MCHST1","P5","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.61,2.61,2.61,NA,0.06,0,-0.14,-0.08,0
"79","CBM","MB","MCHST1","P6","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.27,2.27,2.27,NA,0,0,0,0,0
"80","CBM","MB","MCHST2","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",11.92,-11.92,-3.61,NA,0.34,-5.04,-1,-0.17,0
"81","CBM","MB","MCHST2","P2","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",47.52,-47.5,-47.73,NA,0.28,0,3,0.53,0
"82","CBM","MB","MCHST2","P3","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",44.68,-44.68,-27.12,NA,0.35,-17.56,3,0.46,0
"83","CBM","MB","MCHST2","P4","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",4.4,-4.4,-1.49,NA,0.08,-2.91,0,0.04,0
"84","CBM","MB","MCHST2","P5","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",2,-2.01,-2.01,NA,0.04,0,0,-0.07,0
"85","CBM","MB","MCHST2","P6","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.39,0.39,0.39,NA,0.06,0,0,-0.01,0
"86","CBM","MB","MCHST3","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",1.17,-1.17,-1.27,NA,0,0,0.22,0.05,0
"87","CBM","MB","MCHST3","P2","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.25,1.25,0.1,NA,0,0,0.22,0.12,0
"88","CBM","MB","MCHST3","P3","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",0.61,-0.61,-1.51,NA,0.02,0,0.33,0.08,0
"89","CBM","MB","MCHST3","P4","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.82,0.82,0.82,NA,0,0,0.22,0.06,0
"90","CBM","MB","MCHST3","P5","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",1.16,-1.16,-1.24,NA,0.01,0,0.11,0.07,0
"91","CBM","MB","MCHST3","P6","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.06,1.06,-1.02,NA,0,0,0.11,0.03,0
"92","CBM","MB","MCMST1","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.17,2.17,2.06,NA,0.01,0,0,0.02,0
"93","CBM","MB","MCMST1","P2","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.87,0.87,0.66,NA,0,0,0.11,0.02,0
"94","CBM","MB","MCMST1","P3","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.43,0.43,0.38,NA,0,0,0.22,0.01,0
"95","CBM","MB","MCMST1","P4","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.15,1.15,1.03,NA,0,0,0,0.02,0
"96","CBM","MB","MCMST1","P5","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.45,1.45,2.31,NA,0,-0.88,0.11,0.02,0
"97","CBM","MB","MCMST1","P6","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.2,2.2,0.29,NA,0,1.53,0.11,-0.01,0
"98","CBM","MB","MCMST2","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",0.42,-0.42,-0.18,NA,0.05,0,0,0.01,0
"99","CBM","MB","MCMST2","P2","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",0.41,-0.41,-0.84,NA,0.07,0,-0.22,-0.05,0
"100","CBM","MB","MCMST2","P3","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.28,1.28,0,NA,0.05,0,0.11,0.04,0
"101","CBM","MB","MCMST2","P4","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",2.17,-2.17,-4.2,NA,0.01,0,0,0.06,0
"102","CBM","MB","MCMST2","P5","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.2,0.2,-0.98,NA,0.06,1.1,0.11,0.03,0
"103","CBM","MB","MCMST2","P6","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",0.38,-0.38,-0.6,NA,0.04,0.25,-0.22,-0.06,0
"104","CBM","MB","MCMST3","P1","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.42,2.42,2.06,NA,0,0,0.33,0.06,0
"105","CBM","MB","MCMST3","P2","Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.26,2.26,1.39,NA,0,0,0.22,0.02,0
"106","CBM","MB","MCMST3","P3","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.21,2.21,1.2,NA,-0.01,0,-0.22,-0.01,0
"107","CBM","MB","MCMST3","P4","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.69,2.69,1.53,NA,0.01,0,-0.11,0,0
"108","CBM","MB","MCMST3","P5","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-0.29,0.29,0.06,NA,0,0,0,0,0
"109","CBM","MB","MCMST3","P6","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-1.68,1.68,2.04,NA,0,0.54,0,-0.02,0
"110","CBM","MB","MCMST3","P7","Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",-2.84,2.84,0.39,NA,0,0.82,0.22,0.04,0
"111","CBM","OPC","HHT1","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",0.29,-0.29,NA,-0.29,0.02,1.52,-0.2,-0.04,0
"112","CBM","OPC","HHT1","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.21,2.21,NA,1.12,-0.01,-0.6,0.4,0.07,0.02
"113","CBM","OPC","HHT1","P3","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.12,2.12,NA,2.43,0,0,0.2,0.05,-0.01
"114","CBM","OPC","HHT1","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.41,3.41,NA,3.41,0.01,0,0.3,0.07,0
"115","CBM","OPC","HHT1","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.07,2.07,NA,2.31,0.01,-1.44,-0.2,-0.01,0.02
"116","CBM","OPC","HHT2","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-5.54,5.54,NA,5.16,0,0,0.2,0,0
"117","CBM","OPC","HHT2","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.71,3.71,NA,3.71,0.01,0.82,-0.2,-0.01,0
"118","CBM","OPC","HHT2","P3","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.26,2.26,NA,1.36,0,0,0.3,0.02,0.01
"119","CBM","OPC","HHT2","P4","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",2.06,-2.05,NA,-2.05,0,0,0.1,0.02,0
"120","CBM","OPC","HHT2","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.4,0.4,NA,0.4,0,0,0.1,-0.01,0
"121","CBM","OPC","HHT3","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.22,2.22,NA,2.22,0.02,1.71,0.2,0.07,0
"122","CBM","OPC","HHT3","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.54,0.54,NA,0.54,0,0,0.1,0.01,0
"123","CBM","OPC","HHT3","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",1.31,-1.31,NA,-1.53,-0.01,0,0.1,-0.01,0
"124","CBM","OPC","HHT3","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",1.1,-1.09,NA,5.98,0,0,-0.25,0,-0.13
"125","CBM","OPC","HHT4","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.48,2.48,NA,2.48,0.02,1.74,0.2,0.06,0
"126","CBM","OPC","HHT4","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.14,1.14,NA,1.14,0,0,0.2,0.08,0
"127","CBM","OPC","HHT4","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.77,1.77,NA,1.77,0,0,0.1,0.02,0
"128","CBM","OPC","HHT4","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.49,0.49,NA,0.7,0.01,0,0.2,0,0
"129","CBM","OPC","HHT5","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.21,2.21,NA,2.21,0.02,1.58,-0.1,0.02,0
"130","CBM","OPC","HHT5","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",0.3,-0.3,NA,-0.76,0,0,-0.2,-0.03,0.01
"131","CBM","OPC","HHT5","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-4.51,4.5,NA,4.5,-0.01,0,-0.29,-0.03,0
"132","CBM","OPC","HHT5","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.22,1.22,NA,1.22,0.01,0,-0.5,-0.08,0
"133","CBM","OPC","HHT5","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.16,3.16,NA,3.16,0.01,0,0.4,0.07,0
"134","CBM","OPC","HHT5","P6","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-11.48,11.48,NA,11.01,0.02,0,0.5,0.05,0
"135","CBM","OPC","HHT6","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-6.23,6.23,NA,6.23,0.02,1.99,0.2,0.06,0
"136","CBM","OPC","HHT6","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-5.9,5.9,NA,5.9,0.03,2.55,0.1,0.02,0
"137","CBM","OPC","HHT6","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.75,2.75,NA,2.75,0,0,0.1,0.02,0
"138","CBM","OPC","HHT6","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.27,1.27,NA,1.27,0.01,0,0.1,0,0
"139","CBM","OPC","HHT6","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.65,0.65,NA,0.65,0,0,-0.1,-0.08,0
"140","CBM","OPC","WDCT1","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-4.65,4.65,NA,4.65,0,0,0,0,0
"141","CBM","OPC","WDCT1","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.33,1.33,NA,0.24,0,0,0.1,0.01,0.02
"142","CBM","OPC","WDCT1","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.82,0.82,NA,0.82,-0.01,0,0,-0.07,0
"143","CBM","OPC","WDCT1","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.63,1.63,NA,1.92,0.02,0,-0.2,-0.03,-0.01
"144","CBM","OPC","WDCT1","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.73,0.73,NA,-2.05,0,2.24,0.2,0.03,0.07
"145","CBM","OPC","WDCT1","P6","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.45,0.45,NA,0.45,0,0,0.1,-0.03,0
"146","CBM","OPC","WDCT2","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.15,0.15,NA,0.15,0,0,0,0,0
"147","CBM","OPC","WDCT2","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.4,0.4,NA,0.4,0,0,-0.1,-0.03,0
"148","CBM","OPC","WDCT2","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.18,3.18,NA,3.18,0,0,0.3,0.05,0
"149","CBM","OPC","WDCT2","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.25,2.25,NA,0.32,0.01,0,0.3,0.02,0
"150","CBM","OPC","WDCT2","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-4,4,NA,3.85,0,0,0.8,0.12,0
"151","CBM","OPC","WDCT3","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.13,3.13,NA,3.13,0.02,1.87,0.1,0.07,0
"152","CBM","OPC","WDCT3","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.81,0.82,NA,0.82,0,0,0.1,0.04,0
"153","CBM","OPC","WDCT3","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.28,0.28,NA,0.39,0.01,0,-0.1,0.02,0
"154","CBM","OPC","WDCT3","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.88,0.88,NA,0.88,0,0,-0.1,0,0
"155","CBM","OPC","WDCT3","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",0.02,-0.02,NA,-0.15,0,0.2,0.3,0.03,0
"156","CBM","OPC","WDCT3","P6","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.29,2.28,NA,2.02,0,0.82,0.4,0.03,0
"157","CBM","OPC","WDCT4","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.66,1.66,NA,1.66,0.02,2.36,0.1,0.07,0
"158","CBM","OPC","WDCT4","P2","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-4.46,4.46,NA,4.46,0.03,3.37,0.1,0.06,0
"159","CBM","OPC","WDCT4","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.83,1.83,NA,1.83,0,0,0.4,0.06,0
"160","CBM","OPC","WDCT4","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.13,2.13,NA,2.13,0,0,0.2,0.05,0
"161","CBM","OPC","WDCT4","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.67,2.67,NA,2.67,0.02,0,0.3,0.07,0
"162","CBM","OPC","WDCT5","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",0.3,-0.3,NA,-0.3,0,0,0,-0.03,0
"163","CBM","OPC","WDCT5","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.41,2.41,NA,2.41,0,0,0.2,0.04,0
"164","CBM","OPC","WDCT5","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-3.95,3.95,NA,3.82,0,0,0.6,0.1,0
"165","CBM","OPC","WDCT5","P4","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-2.36,2.36,NA,2.08,0.04,0,0.2,0.04,0
"166","CBM","OPC","WDCT5","P5","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.12,1.12,NA,0.48,0.02,0,-0.1,0.01,0.01
"167","CBM","OPC","WRT1","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.97,1.97,NA,0.25,0,0,0,0.06,0.02
"168","CBM","OPC","WRT1","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.05,0.05,NA,0.05,-0.01,0,-0.1,-0.03,0
"169","CBM","OPC","WRT1","P3","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.17,1.17,NA,1.17,0,0,0,0,0
"170","CBM","OPC","WRT1","P4","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-0.67,0.67,NA,0.67,0.02,2.42,-0.1,-0.04,0
"171","CBM","OPC","WRT2","P1","Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-5.78,5.78,NA,5.78,0.08,8.03,0,-0.05,0
"172","CBM","OPC","WRT2","P2","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-5.68,5.68,NA,4.15,0.02,5.9,0,0.01,0
"173","CBM","OPC","WRT2","P3","Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",-1.75,1.75,NA,1.75,0,0,0.4,0.04,0
