"","Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Year","abiotic_cover","live_cover","halophyte","freshwater","EIR","invasive_cover","Richness","SWdiv","salt_ratio","Region","Geomorphology","tidal_range","salinity"
"23","ACE","EIN","T6","7","Low",2012,63.02,36.98,36.98,NA,0.3698,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"24","ACE","EIN","T6","8","Low",2012,90.29,9.7,9.7,NA,0.06111,NA,2,0.659010526,1,"Southeast","Riverine","Microtidal","Polyhaline"
"25","ACE","EIN","T4","1","Mid",2013,94.32,5.68,5.68,NA,0.0568,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"26","ACE","EIN","T4","2","Mid",2013,7.66,92.33,92.33,NA,0.92339,NA,2,0.559310716,1,"Southeast","Riverine","Microtidal","Polyhaline"
"27","ACE","EIN","T4","3","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"28","ACE","EIN","T4","4","Mid",2013,31.58,68.42,68.42,NA,0.6842,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"29","ACE","EIN","T4","5","Mid",2013,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"30","ACE","EIN","T4","6","Mid",2013,36.83,63.17,63.17,NA,0.6317,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"31","ACE","EIN","T4","7","Low",2013,23.11,76.89,76.89,NA,0.7689,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"32","ACE","EIN","T4","8","Low",2013,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"33","ACE","EIN","T5","1","Mid",2013,71.83,28.17,28.17,NA,0.2817,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"34","ACE","EIN","T5","2","Mid",2013,0,100,100,NA,1,NA,2,0.41711797,1,"Southeast","Riverine","Microtidal","Polyhaline"
"35","ACE","EIN","T5","3","Mid",2013,55.09,44.9,44.9,NA,0.44904,NA,2,0.252311897,1,"Southeast","Riverine","Microtidal","Polyhaline"
"36","ACE","EIN","T5","4","Mid",2013,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"37","ACE","EIN","T5","5","Mid",2013,44.17,55.83,55.83,NA,0.5583,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"38","ACE","EIN","T5","6","Mid",2013,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"39","ACE","EIN","T5","7","Low",2013,28.84,71.16,71.16,NA,0.7116,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"40","ACE","EIN","T5","8","Low",2013,17.02,82.98,82.98,NA,0.8298,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"41","ACE","EIN","T6","1","Mid",2013,90.65,9.35,9.35,NA,0.0935,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"42","ACE","EIN","T6","2","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"43","ACE","EIN","T6","3","Mid",2013,0,100,100,NA,1,NA,2,0.127364812,1,"Southeast","Riverine","Microtidal","Polyhaline"
"44","ACE","EIN","T6","4","Mid",2013,41.79,58.21,58.21,NA,0.5821,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"45","ACE","EIN","T6","5","Mid",2013,61.13,38.87,38.87,NA,0.3887,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"46","ACE","EIN","T6","6","Mid",2013,46.49,53.51,53.51,NA,0.5351,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"47","ACE","EIN","T6","7","Low",2013,28.84,71.16,71.16,NA,0.7116,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"48","ACE","EIN","T6","8","Low",2013,42.37,57.63,57.63,NA,0.4414,NA,2,0.544158822,1,"Southeast","Riverine","Microtidal","Polyhaline"
"49","ACE","EIN","T4","1","Mid",2014,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"50","ACE","EIN","T4","2","Mid",2014,26.57,73.43,73.43,NA,0.7343,NA,2,0.657644801,1,"Southeast","Riverine","Microtidal","Polyhaline"
"51","ACE","EIN","T4","3","Mid",2014,90.65,9.35,9.35,NA,0.0935,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"52","ACE","EIN","T4","4","Mid",2014,28.84,71.16,71.16,NA,0.7116,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"53","ACE","EIN","T4","5","Mid",2014,55.17,44.83,44.83,NA,0.4483,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"54","ACE","EIN","T4","6","Mid",2014,64.86,35.14,35.14,NA,0.3514,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"55","ACE","EIN","T4","7","Low",2014,57.21,42.79,42.79,NA,0.4279,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"56","ACE","EIN","T4","8","Low",2014,68.43,31.57,31.57,NA,0.3157,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"57","ACE","EIN","T5","1","Mid",2014,97.79,2.21,2.21,NA,0.0221,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"58","ACE","EIN","T5","2","Mid",2014,44.6,55.4,55.4,NA,0.554,NA,2,0.394135929,1,"Southeast","Riverine","Microtidal","Polyhaline"
"59","ACE","EIN","T5","3","Mid",2014,88.07,11.93,11.93,NA,0.1193,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"60","ACE","EIN","T5","4","Mid",2014,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"61","ACE","EIN","T5","5","Mid",2014,76.65,23.35,23.35,NA,0.2335,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"62","ACE","EIN","T5","6","Mid",2014,68.43,31.57,31.57,NA,0.3157,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"63","ACE","EIN","T5","7","Low",2014,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"64","ACE","EIN","T5","8","Low",2014,41.79,58.21,58.21,NA,0.5821,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"65","ACE","EIN","T6","1","Mid",2014,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"66","ACE","EIN","T6","2","Mid",2014,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"67","ACE","EIN","T6","3","Mid",2014,4.85,95.15,95.15,NA,0.9515,NA,2,0.213780945,1,"Southeast","Riverine","Microtidal","Polyhaline"
"68","ACE","EIN","T6","4","Mid",2014,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"69","ACE","EIN","T6","5","Mid",2014,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"70","ACE","EIN","T6","6","Mid",2014,36.83,63.17,63.17,NA,0.6317,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"71","ACE","EIN","T6","7","Low",2014,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"72","ACE","EIN","T6","8","Low",2014,28.24,71.76,71.76,NA,0.5778,NA,2,0.493131417,1,"Southeast","Riverine","Microtidal","Polyhaline"
"73","ACE","EIN","T5","1","Mid",2017,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"74","ACE","EIN","T5","2","Mid",2017,10.17,89.83,89.83,NA,0.8983,NA,2,0.679383011,1,"Southeast","Riverine","Microtidal","Polyhaline"
"75","ACE","EIN","T5","3","Mid",2017,61.4,38.61,38.61,NA,0.38606,NA,2,0.121125863,1,"Southeast","Riverine","Microtidal","Polyhaline"
"76","ACE","EIN","T5","4","Mid",2017,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"77","ACE","EIN","T5","5","Mid",2017,50.94,49.06,49.06,NA,0.4906,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"78","ACE","EIN","T5","6","Mid",2017,50.94,49.06,49.06,NA,0.4906,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"79","ACE","EIN","T5","7","Low",2017,20.11,79.89,79.89,NA,0.7989,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"80","ACE","EIN","T5","8","Low",2017,50.94,49.06,49.06,NA,0.4906,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"81","ACE","EIN","T6","1","Mid",2017,81.16,18.84,18.84,NA,0.1884,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"82","ACE","EIN","T6","2","Mid",2017,23.11,76.89,76.89,NA,0.7689,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"83","ACE","EIN","T6","3","Mid",2017,4.99,95.01,95.01,NA,0.9501,NA,2,0.129199442,1,"Southeast","Riverine","Microtidal","Polyhaline"
"84","ACE","EIN","T6","4","Mid",2017,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"85","ACE","EIN","T6","5","Mid",2017,55.17,44.83,44.83,NA,0.4483,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"86","ACE","EIN","T6","6","Mid",2017,41.79,58.21,58.21,NA,0.5821,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"87","ACE","EIN","T6","7","Low",2017,36.83,63.17,63.17,NA,0.6317,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"88","ACE","EIN","T6","8","Low",2017,23.11,76.89,76.89,NA,0.7689,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"89","ACE","EIN","T4","2","Mid",2017,29.18,70.82,70.82,NA,0.7082,NA,2,0.687377896,1,"Southeast","Riverine","Microtidal","Polyhaline"
"90","ACE","EIN","T4","3","Mid",2017,67.23,32.77,32.77,NA,0.3277,NA,2,0.225605116,1,"Southeast","Riverine","Microtidal","Polyhaline"
"91","ACE","EIN","T4","4","Mid",2017,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"92","ACE","EIN","T4","5","Mid",2017,61.13,38.87,38.87,NA,0.3887,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"93","ACE","EIN","T4","6","Mid",2017,57.21,42.79,42.79,NA,0.4279,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"94","ACE","EIN","T4","7","Low",2017,39.34,60.66,60.66,NA,0.6066,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"95","ACE","EIN","T4","8","Low",2017,46.49,53.51,53.51,NA,0.5351,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"96","ACE","EIN","T5","5","Mid",2018,71.83,28.17,28.17,NA,0.2817,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"97","ACE","EIN","T5","6","Mid",2018,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"98","ACE","EIN","T5","7","Low",2018,36.83,63.17,63.17,NA,0.6317,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"99","ACE","EIN","T6","1","Mid",2018,70.15,29.85,29.85,NA,0.2985,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"100","ACE","EIN","T6","2","Mid",2018,44.17,55.83,55.83,NA,0.5583,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"101","ACE","EIN","T6","3","Mid",2018,5.12,94.88,94.88,NA,0.9488,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"102","ACE","EIN","T6","4","Mid",2018,71.83,28.17,28.17,NA,0.2817,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"103","ACE","EIN","T6","5","Mid",2018,63.02,36.98,36.98,NA,0.3698,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"104","ACE","EIN","T6","6","Mid",2018,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"105","ACE","EIN","T6","7","Low",2018,61.13,38.87,38.87,NA,0.3887,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"106","ACE","EIN","T6","8","Low",2018,17.02,82.98,82.98,NA,0.8298,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"107","ACE","EIN","T4","1","Mid",2018,94.32,5.68,5.68,NA,0.0568,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"108","ACE","EIN","T4","2","Mid",2018,16.53,83.47,83.47,NA,0.8347,NA,2,0.667039481,1,"Southeast","Riverine","Microtidal","Polyhaline"
"109","ACE","EIN","T4","3","Mid",2018,73.47,26.53,26.53,NA,0.2653,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"110","ACE","EIN","T4","4","Mid",2018,63.02,36.98,36.98,NA,0.3698,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"111","ACE","EIN","T4","5","Mid",2018,91.9,8.1,8.1,NA,0.081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"112","ACE","EIN","T4","6","Mid",2018,82.6,17.4,17.4,NA,0.174,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"113","ACE","EIN","T4","7","Low",2018,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"114","ACE","EIN","T4","8","Low",2018,23.11,76.89,76.89,NA,0.7689,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"115","ACE","EIN","T5","1","Mid",2018,96.66,3.34,3.34,NA,0.0334,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"116","ACE","EIN","T5","2","Mid",2018,23.87,76.12,76.12,NA,0.76128,NA,2,0.640854065,1,"Southeast","Riverine","Microtidal","Polyhaline"
"117","ACE","EIN","T5","3","Mid",2018,81.16,18.84,18.84,NA,0.1884,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"118","ACE","EIN","T5","4","Mid",2018,86.75,13.25,13.25,NA,0.1325,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"119","ACE","EIN","T5","1","Mid",2019,93.12,6.88,6.88,NA,0.0688,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"120","ACE","EIN","T5","2","Mid",2019,19.2,80.8,80.8,NA,0.808,NA,2,0.667046807,1,"Southeast","Riverine","Microtidal","Polyhaline"
"121","ACE","EIN","T5","3","Mid",2019,82.6,17.4,17.4,NA,0.174,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"122","ACE","EIN","T5","4","Mid",2019,86.75,13.25,13.25,NA,0.1325,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"123","ACE","EIN","T5","5","Mid",2019,71.83,28.17,28.17,NA,0.2817,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"124","ACE","EIN","T5","6","Mid",2019,64.86,35.14,35.14,NA,0.3514,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"125","ACE","EIN","T5","7","Low",2019,50.94,49.06,49.06,NA,0.4906,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"126","ACE","EIN","T5","8","Low",2019,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"127","ACE","EIN","T6","1","Mid",2019,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"128","ACE","EIN","T6","2","Mid",2019,39.34,60.66,60.66,NA,0.6066,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"129","ACE","EIN","T6","3","Mid",2019,5.12,94.88,94.88,NA,0.9488,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"130","ACE","EIN","T6","4","Mid",2019,64.86,35.14,35.14,NA,0.3514,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"131","ACE","EIN","T6","5","Mid",2019,46.49,53.51,53.51,NA,0.5351,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"132","ACE","EIN","T6","6","Mid",2019,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"133","ACE","EIN","T6","7","Low",2019,48.74,51.26,51.26,NA,0.5126,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"134","ACE","EIN","T6","8","Low",2019,41.79,58.21,58.21,NA,0.5821,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"135","ACE","EIN","T4","2","Mid",2019,34.25,65.76,65.76,NA,0.65753,NA,2,0.689821674,1,"Southeast","Riverine","Microtidal","Polyhaline"
"136","ACE","EIN","T4","3","Mid",2019,46.49,53.51,53.51,NA,0.5351,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"137","ACE","EIN","T4","4","Mid",2019,53.08,46.92,46.92,NA,0.4692,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"138","ACE","EIN","T4","5","Mid",2019,73.47,26.53,26.53,NA,0.2653,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"139","ACE","EIN","T4","6","Mid",2019,64.86,35.14,35.14,NA,0.3514,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"140","ACE","EIN","T4","7","Low",2019,68.43,31.57,31.57,NA,0.3157,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"141","ACE","EIN","T4","8","Low",2019,34.24,65.76,65.76,NA,0.6576,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"142","ACE","EIN","T4","1","Mid",2019,95.5,4.5,4.5,NA,0.045,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"143","ACE","EIS","T1","1","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"144","ACE","EIS","T1","2","Mid",2012,84.01,15.99,15.99,NA,0.1599,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"145","ACE","EIS","T1","3","Mid",2012,68.43,31.57,31.57,NA,0.3157,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"146","ACE","EIS","T1","4","Mid",2012,71.83,28.17,28.17,NA,0.2817,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"147","ACE","EIS","T1","5","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"148","ACE","EIS","T1","6","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"149","ACE","EIS","T1","7","Mid",2012,67.68,32.32,32.32,NA,0.3232,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"150","ACE","EIS","T1","8","Mid",2012,79.07,20.93,20.93,NA,0.2093,NA,2,0.516145006,1,"Southeast","Riverine","Microtidal","Polyhaline"
"151","ACE","EIS","T1","9","Mid",2012,74.35,25.65,25.65,NA,0.2565,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"152","ACE","EIS","T2","1","Mid",2012,96.66,3.34,3.34,NA,0.0334,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"153","ACE","EIS","T2","2","Mid",2012,10.28,89.72,89.72,NA,0.8972,NA,2,0.375140308,1,"Southeast","Riverine","Microtidal","Polyhaline"
"154","ACE","EIS","T2","3","Mid",2012,69.46,30.54,30.54,NA,0.3054,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"155","ACE","EIS","T2","4","Mid",2012,59.64,40.36,40.36,NA,0.4036,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"156","ACE","EIS","T2","5","Mid",2012,84.81,15.19,15.19,NA,0.1519,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"157","ACE","EIS","T2","6","Mid",2012,90.75,9.25,9.25,NA,0.0925,NA,2,0.691111613,1,"Southeast","Riverine","Microtidal","Polyhaline"
"158","ACE","EIS","T3","1","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"159","ACE","EIS","T3","2","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"160","ACE","EIS","T3","3","Mid",2012,75.07,24.93,24.93,NA,0.2493,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"161","ACE","EIS","T3","4","Mid",2012,96.66,3.34,3.34,NA,0.0334,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"162","ACE","EIS","T3","5","Mid",2012,95.5,4.5,4.5,NA,0.045,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"163","ACE","EIS","T3","6","Low",2012,90.7,9.3,9.3,NA,0.0719,NA,2,0.535480949,1,"Southeast","Riverine","Microtidal","Polyhaline"
"164","ACE","EIS","T1","1","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"165","ACE","EIS","T1","2","Mid",2013,26.02,73.98,73.98,NA,0.7398,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"166","ACE","EIS","T1","3","Mid",2013,44.17,55.83,55.83,NA,0.5583,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"167","ACE","EIS","T1","4","Mid",2013,28.84,71.16,71.16,NA,0.7116,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"168","ACE","EIS","T1","5","Mid",2013,98.91,1.09,1.09,NA,0.0109,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"169","ACE","EIS","T1","6","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"170","ACE","EIS","T1","7","Mid",2013,54.98,45.02,45.02,NA,0.4502,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"171","ACE","EIS","T1","8","Mid",2013,48.89,51.11,51.11,NA,0.5111,NA,2,0.293856129,1,"Southeast","Riverine","Microtidal","Polyhaline"
"172","ACE","EIS","T1","9","Mid",2013,59.64,40.36,40.36,NA,0.4036,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"173","ACE","EIS","T2","1","Mid",2013,75.07,24.93,24.93,NA,0.2493,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"174","ACE","EIS","T2","2","Mid",2013,7.42,92.58,92.58,NA,0.9258,NA,2,0.677834707,1,"Southeast","Riverine","Microtidal","Polyhaline"
"175","ACE","EIS","T2","3","Mid",2013,11.57,88.43,88.43,NA,0.8843,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"176","ACE","EIS","T2","4","Mid",2013,46.97,53.03,53.03,NA,0.5303,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"177","ACE","EIS","T2","5","Mid",2013,46.97,53.03,53.03,NA,0.5303,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"178","ACE","EIS","T2","6","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"179","ACE","EIS","T3","1","Mid",2013,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"180","ACE","EIS","T3","2","Mid",2013,84.01,15.99,15.99,NA,0.1599,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
