"","Reserve","SiteID","abiotic_cover","live_cover","halophyte","freshwater","EIR_slope","invasive_cover","Richness_slope","SWdiv_slope","salt_ratio","Region","Geomorphology","tidal_range","salinity","SLR_last19yrs","NERRs_Landscape_resiliency_condition_sum_quantile"
"29","MAR","HF1",11.38679476,-11.37441768,-11.41391341,NA,0.042080172,NA,-0.258376021,-0.068832467,-3.03e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"30","MAR","HF2",9.843372854,-9.843372854,-9.997399664,NA,0.041895249,NA,-0.249999945,-0.084494733,4.27e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"31","MAR","HF3",8.929946149,-8.929946149,-9.012896781,NA,0.052853888,NA,-0.201462911,-0.054465144,-0.000514396,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"32","NAR","Nag",1.510397716,-1.510496082,-1.432377178,NA,0.016725686,0,-0.025855,-0.014571501,7.48e-05,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"33","NAR","Coggeshall",1.962568566,-1.962616315,-2.038466646,NA,0.008964878,0.075850331,-0.044808235,-0.023607712,0,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"34","NIW","Segment A",-0.712625324,0.662827098,0.894031568,0.039576508,-0.010012956,NA,-0.016336984,-0.002217927,4.19e-05,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"35","NIW","Segment B",-0.64803544,0.621397318,0.875128468,-0.087594093,-0.007563961,NA,-0.018579193,-0.00302818,0.001834854,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"36","NOC","MI",-0.837081106,0.837042458,0.837042458,NA,-0.00614905,NA,-0.008833413,0.004142223,-6.56e-18,"Southeast","Back Barrier","Microtidal","Polyhaline",9,3
"37","NOC","MM",4.766222166,-4.766099388,-4.863344365,NA,0.036977214,NA,0.002577338,0.001299333,-2.27e-17,"Southeast","Back Barrier","Microtidal","Polyhaline",9,3
"38","SOS","DM",0,-0.000639002,0.75565419,0.075873427,0.001852924,0,0.005954753,0.011567099,-0.000779721,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"39","SOS","MM",-0.15008751,0.150362583,-0.079742465,0,0.001246189,0,0.040827565,0.015128394,1.71e-06,"West Coast","Bay Front","Mesotidal","Polyhaline",1.41,6
"40","SOS","HC",0.009469506,-0.009937686,1.024103254,0.171235952,-0.001750326,0.000245453,0.016745069,0.026342366,-0.001712335,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"41","SOS","VM",0.528463056,-0.528812879,-0.258607981,0.00306516,0.006294919,0,0.021118801,0.025547677,-4.28e-05,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"42","SOS","VI",0.025004442,-0.025213223,1.023153914,0,0.000250044,0,-0.005783393,0.02125097,-2.02e-05,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"43","SOS","MI",0.390630019,-0.391100269,2.194624832,0,0.003906437,0,0.14436434,0.025357064,-2.68e-05,"West Coast","Bay Front","Mesotidal","Polyhaline",1.41,6
"44","TJR","McCoy North",-0.360608312,0.360729476,0.393907509,NA,0,NA,0.025459757,-0.012778712,0.041857021,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"45","TJR","McCoy South",1.590082118,-1.59004929,-0.721716542,NA,0.001210677,NA,-0.098488826,-0.018657567,-0.002073604,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"46","TJR","South Beach",0.384208972,-0.38409642,-0.609710978,NA,-0.003167018,NA,-0.012123829,-0.001076564,0.004663207,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"47","TJR","V1",1.303194226,-1.303126887,-1.300635071,NA,-0.002466015,NA,0.006056986,0.000612249,2.9e-05,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"48","TJR","V3",-0.743621954,0.743639622,0.61148309,NA,-0.000955427,NA,-0.00025893,0.01099763,-0.001316899,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"49","TJR","V4",-0.834248898,0.834062036,0.836436159,NA,0.00066289,NA,-0.123493279,-0.017475765,2.41e-05,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"50","TJR","Brazo Creek",-2.551357288,2.55060738,1.978941414,NA,-0.017626852,NA,0.066657908,0.068201027,-0.005947105,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"51","TJR","Horse Trail",-0.934559754,0.934559754,0.92055524,NA,-0.000198203,NA,-0.026662774,-0.014703615,-0.000147416,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"52","TJR","Model Marsh",-2.389543063,2.38945973,2.38945973,NA,-0.019907077,NA,-0.037503891,-0.00512241,9.52e-17,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"53","WEL","WB",-0.093521741,0.093429697,-0.206765094,0.001480049,0.001882298,-0.032653513,-0.02859494,-0.006827036,-0.0007199,"Northeast","Back Barrier","Mesotidal","Polyhaline",2.52,3
"54","WQB","Section 2",0.008247806,-0.008048158,-0.146537518,0,0.00860569,-0.003892902,-0.014072742,-0.021166111,-0.000128713,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"55","WQB","Section 1",0.183725513,-0.183565431,-1.112445651,0.155053877,0.005992042,0,0.096815976,0.016630602,-0.00359399,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"56","WQB","Section 3",-0.158189049,0.158502545,-0.223655298,-0.049942028,0.014820343,0.005139649,0.005911903,-0.007704182,0.001266968,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
