"","Reserve","SiteID","Year","Vegetation_Zone","Region","Geomorphology","tidal_range","salinity","abiotic_cover","live_cover","halophyte","freshwater","EIR","invasive_cover","Richness","SWdiv","salt_ratio"
"63","CBM","OPC",2014,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",19.77,80.23,0,77.81,0.13,12.75,3.75,0.93,0.01
"64","CBM","OPC",2014,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",39.22,60.78,0,56.39,0.11,0.81,5.64,1.26,0.04
"65","CBM","OPC",2018,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",46.46,53.54,0,51.56,0.13,13.45,4.04,0.94,0.03
"66","CBM","OPC",2018,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",46.95,53.05,0,49.2,0.1,2.67,7.02,1.46,0.05
"67","DEL","SJR",2012,"Low","Mid-Atlantic","Riverine","Microtidal","Mesohaline",15.43,84.57,84.57,0,0.15,0,1.38,0.14,1
"68","DEL","SJR",2012,"Mid","Mid-Atlantic","Riverine","Microtidal","Mesohaline",17.01,82.99,66.03,0,0.37,16.96,1.38,0.2,1
"69","DEL","SJR",2012,"Up","Mid-Atlantic","Riverine","Microtidal","Mesohaline",90,10,0,0,0,0,2,0.69,0
"70","DEL","SJR",2014,"Low","Mid-Atlantic","Riverine","Microtidal","Mesohaline",34.38,65.62,65.62,0,0.34,0,1,0,1
"71","DEL","SJR",2014,"Mid","Mid-Atlantic","Riverine","Microtidal","Mesohaline",10.95,89.05,70.71,0,0.34,17.62,1.43,0.12,1
"72","DEL","SJR",2014,"Up","Mid-Atlantic","Riverine","Microtidal","Mesohaline",85,15,0,0,0,0,2,0.64,0
"73","DEL","SJR",2016,"Low","Mid-Atlantic","Riverine","Microtidal","Mesohaline",19.38,80.62,80.62,0,0.19,0,1,0,1
"74","DEL","SJR",2016,"Mid","Mid-Atlantic","Riverine","Microtidal","Mesohaline",11.67,88.33,74.05,0,0.41,12.38,1.19,0.13,1
"75","DEL","SJR",2016,"Up","Mid-Atlantic","Riverine","Microtidal","Mesohaline",100,0,0,0,0,0,0,0,0
"76","DEL","SJR",2018,"Low","Mid-Atlantic","Riverine","Microtidal","Mesohaline",35.62,64.38,64.38,0,0.36,0,1,0,1
"77","DEL","SJR",2018,"Mid","Mid-Atlantic","Riverine","Microtidal","Mesohaline",28.57,71.43,63.33,0,0.38,6.67,1.14,0.07,1
"78","DEL","SJR",2018,"Up","Mid-Atlantic","Riverine","Microtidal","Mesohaline",100,0,0,0,0,0,0,0,0
"79","ELK","Lower",2016,"Low","West Coast","Riverine","Mesotidal","Polyhaline",25.26,74.74,0,0,0.25,0,1.06,0.07,0
"80","ELK","Lower",2016,"Mid","West Coast","Riverine","Mesotidal","Polyhaline",0,99.99,0,0,0.05,0,4,1.23,0
"81","ELK","Lower",2016,"Up","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,0.17,0,3.67,0.95,0
"82","ELK","Lower",2017,"Low","West Coast","Riverine","Mesotidal","Polyhaline",23.15,76.85,0,0,0.23,0,0.94,0,0
"83","ELK","Lower",2017,"Up","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,0.06,0,3,0.88,0
"84","ELK","Lower",2021,"Low","West Coast","Riverine","Mesotidal","Polyhaline",34.91,65.09,0,0,0.28,0,1.14,0.09,0
"85","ELK","Lower",2021,"Mid","West Coast","Riverine","Mesotidal","Polyhaline",44.61,55.39,0,0,0.02,0,5,1.38,0
"86","ELK","Lower",2021,"Up","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,0.3,0,3.67,0.89,0
"87","ELK","Upper",2016,"Low","West Coast","Riverine","Mesotidal","Polyhaline",16.1,83.9,0,0,0.16,0,1.13,0.08,0
"88","ELK","Upper",2016,"Mid","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,1,0,1,0,0
"89","ELK","Upper",2016,"Up","West Coast","Riverine","Mesotidal","Polyhaline",0,100,10.96,0,0.37,0,3,0.95,0.11
"90","ELK","Upper",2017,"Low","West Coast","Riverine","Mesotidal","Polyhaline",13.2,86.8,0,0,0.13,0,1.07,0.04,0
"91","ELK","Upper",2017,"Mid","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,1,0,1,0,0
"92","ELK","Upper",2017,"Up","West Coast","Riverine","Mesotidal","Polyhaline",0,100,26.45,0,0.5,0,3,0.97,0.26
"93","ELK","Upper",2021,"Low","West Coast","Riverine","Mesotidal","Polyhaline",20.04,79.96,0,0,0.19,0,1.2,0.16,0
"94","ELK","Upper",2021,"Mid","West Coast","Riverine","Mesotidal","Polyhaline",0,100,0,0,1,0,1,0,0
"95","ELK","Upper",2021,"Up","West Coast","Riverine","Mesotidal","Polyhaline",42.02,57.98,35.69,0,0.54,0,2.5,0.82,0.55
"96","GND","clmaj",2016,"Up","Gulf Coast","Riverine","Microtidal","Oligohaline",63.97,36.03,0,35.5,0,0,1.13,0.05,0.01
"97","GND","clmaj",2017,"Up","Gulf Coast","Riverine","Microtidal","Oligohaline",47.35,52.65,0,27.33,0,2.53,5.3,1.22,0.23
"98","GND","clmaj",2018,"Up","Gulf Coast","Riverine","Microtidal","Oligohaline",66.5,33.5,0,17.83,0,1.42,5.2,1.27,0.26
"99","GND","clmaj",2019,"Up","Gulf Coast","Riverine","Microtidal","Oligohaline",50.42,49.58,0,27.42,0,1.08,7,1.44,0.22
"100","GND","clmaj",2020,"Up","Gulf Coast","Riverine","Microtidal","Oligohaline",54.33,45.67,0,19.25,0,0,4.67,1.12,0.32
"101","GND","juro high",2015,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",81.5,18.5,0,0,0.82,0,2,0.65,1
"102","GND","juro high",2015,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",41.26,58.74,0.53,1.05,0.41,0,1.32,0.13,0.96
"103","GND","juro high",2016,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",78,22,0.5,0,0.78,0,2.5,0.8,1
"104","GND","juro high",2016,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",35.21,64.79,0.53,4,0.35,0.11,2.74,0.35,0.88
"105","GND","juro high",2017,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",78.75,21.25,1.25,0,0.8,0,2.5,0.75,1
"106","GND","juro high",2017,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",54.47,45.53,0.26,1.71,0.55,0.26,2.89,0.53,0.89
"107","GND","juro high",2018,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",82.5,17.5,1.25,0,0.84,1.25,3,1.01,0.95
"108","GND","juro high",2018,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",74.88,25.12,0.12,2.14,0.75,0.6,2.62,0.63,0.68
"109","GND","juro high",2019,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",81.25,18.75,1.25,0,0.82,0,3,0.9,1
"110","GND","juro high",2019,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",69.08,30.92,0.39,1.58,0.69,0.39,3.53,0.74,0.89
"111","GND","juro high",2020,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",78.75,21.25,2.5,1.25,0.8,0,4,1.23,0.96
"112","GND","juro high",2020,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",65.92,34.08,0.13,2.89,0.66,0,3.53,0.77,0.88
"113","GND","juro low",2015,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",41.67,58.33,0,0,0.42,0,1.5,0.16,0.78
"114","GND","juro low",2015,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",25.17,74.83,0,0,0.28,0,1.21,0.1,0.93
"115","GND","juro low",2016,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",36.67,63.33,0,0,0.37,0,1.5,0.22,0.66
"116","GND","juro low",2016,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",31.86,68.14,0,0,0.35,0,1.1,0.04,0.9
"117","GND","juro low",2017,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",70,30,0,0,0.7,0,1.67,0.24,0.6
"118","GND","juro low",2017,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",61.55,38.45,0,0,0.64,0,1.21,0.09,0.89
"119","GND","juro low",2018,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",75.42,24.58,0,0,0.75,0,1.83,0.33,0.57
"120","GND","juro low",2018,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",81.03,18.97,0,0,0.82,0,1.24,0.1,0.88
"121","GND","juro low",2019,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",71.67,28.33,0,0,0.72,0,1.83,0.39,0.42
"122","GND","juro low",2019,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",67.5,32.5,0,0,0.7,0,1.24,0.07,0.89
"123","GND","juro low",2020,"Low","Gulf Coast","Bay Front","Microtidal","Mesohaline",63.75,36.25,0,0,0.64,0,1.83,0.42,0.41
"124","GND","juro low",2020,"Mid","Gulf Coast","Bay Front","Microtidal","Mesohaline",60.78,39.22,0,0,0.64,0,1.45,0.11,0.88
"125","GND","juro mid",2015,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",83.33,16.67,0,0,0.92,0,0.67,0.23,0.33
"126","GND","juro mid",2015,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",41.84,58.16,0.03,0.15,0.42,0,2.21,0.37,0.99
"127","GND","juro mid",2015,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",26,74,0,51.67,0.19,0,2.67,0.46,0.31
"128","GND","juro mid",2016,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",77.67,22.33,0.33,0,0.94,0,1.33,0.23,0.33
"129","GND","juro mid",2016,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",24.53,75.47,0.03,0.15,0.25,0.03,2.94,0.46,0.99
"130","GND","juro mid",2016,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",18.67,81.33,0,58.33,0.17,0,3,0.57,0.23
"131","GND","juro mid",2017,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",91.67,8.33,0.83,0,0.95,0,1.33,0.32,0.67
"132","GND","juro mid",2017,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",71.4,28.6,0.07,1.76,0.71,0.22,3.24,0.8,0.97
"133","GND","juro mid",2017,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",81.67,18.33,0,3.33,0.11,0,3.33,1.03,0.51
"134","GND","juro mid",2018,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",90,10,2.5,0,0.93,0,2,0.4,1
"135","GND","juro mid",2018,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",69.71,30.29,0.07,1.76,0.7,0.22,3.44,0.77,0.93
"136","GND","juro mid",2018,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",71.67,28.33,0,10.83,0.11,0.83,4.67,1.35,0.4
"137","GND","juro mid",2019,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",82.5,17.5,3.33,0,0.89,0.83,2.33,0.41,0.98
"138","GND","juro mid",2019,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",66.47,33.53,0,2.72,0.66,0.22,3.15,0.69,0.9
"139","GND","juro mid",2019,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",58.33,41.67,0,28.33,0.08,0.83,5.33,1.23,0.24
"140","GND","juro mid",2020,"Low","Gulf Coast","Riverine","Microtidal","Mesohaline",81.67,18.33,5,0,0.88,0,2,0.35,1
"141","GND","juro mid",2020,"Mid","Gulf Coast","Riverine","Microtidal","Mesohaline",57.21,42.79,0.15,1.47,0.57,0.07,3.03,0.62,0.95
"142","GND","juro mid",2020,"Up","Gulf Coast","Riverine","Microtidal","Mesohaline",60.83,39.17,0.83,19.17,0.09,0,6.33,1.51,0.24
"143","GND","spalt",2015,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",39.69,60.31,0,0,0.4,0,1.44,0.18,0.16
"144","GND","spalt",2015,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",25.45,74.55,0,0,0.35,0,1.27,0.13,0.86
"145","GND","spalt",2016,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",52.44,47.56,0,0,0.52,0,1.5,0.23,0.25
"146","GND","spalt",2016,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",38.18,61.82,0,0,0.45,0,1.55,0.23,0.9
"147","GND","spalt",2017,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",49.22,50.78,0,0,0.49,0,1.44,0.19,0.24
"148","GND","spalt",2017,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",45,55,0,0,0.5,0,1.64,0.24,0.9
"149","GND","spalt",2018,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",66.88,33.12,0,0,0.67,0,1.5,0.27,0.34
"150","GND","spalt",2018,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",72.5,27.5,0,0,0.75,0,1.73,0.29,0.9
"151","GND","spalt",2019,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",64.22,35.78,0,0,0.64,0,1.5,0.28,0.36
"152","GND","spalt",2019,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",67.5,32.5,0,0,0.71,0,1.82,0.27,0.89
"153","GND","spalt",2020,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",59.22,40.78,0,0,0.59,0,1.56,0.28,0.24
"154","GND","spalt",2020,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",64.77,35.23,0,0,0.7,0,1.73,0.31,0.77
"155","GRB","BC",2010,"Low","Northeast","Riverine","Mesotidal","Polyhaline",47.78,52.22,51.11,0,0.44,0,1.22,0.12,1
"156","GRB","BC",2010,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",30.25,69.75,60.97,0.14,0.35,0,3,0.45,1
"157","GRB","BC",2010,"Up","Northeast","Riverine","Mesotidal","Polyhaline",42.41,57.6,22.17,23.67,0.28,0.84,9.33,1.55,0.49
"158","GRB","BC",2011,"Low","Northeast","Riverine","Mesotidal","Polyhaline",36.1,63.9,63.9,0,0.33,0,1.2,0.13,1
"159","GRB","BC",2011,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",19.92,80.08,72.33,0.57,0.4,0,3,0.53,0.99
"160","GRB","BC",2011,"Up","Northeast","Riverine","Mesotidal","Polyhaline",43.36,56.64,22.2,20.65,0.5,1,7.33,1.4,0.52
"161","GRB","BC",2013,"Low","Northeast","Riverine","Mesotidal","Polyhaline",36.3,63.7,63.7,0,0.35,0,0.9,0,0.9
"162","GRB","BC",2013,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",17.11,82.89,72.64,0.18,0.42,0,3.79,0.54,1
"163","GRB","BC",2013,"Up","Northeast","Riverine","Mesotidal","Polyhaline",52.67,47.33,26.67,8,0.69,0,6.67,1.29,0.75
"164","GRB","BC",2014,"Low","Northeast","Riverine","Mesotidal","Polyhaline",42.4,57.6,54.6,0,0.4,0,1.3,0.09,1
"165","GRB","BC",2014,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",24.14,75.86,68.57,0.14,0.44,0,3.36,0.54,0.99
"166","GRB","BC",2014,"Up","Northeast","Riverine","Mesotidal","Polyhaline",46.92,53.08,26.33,18.08,0.57,0,6.67,1.39,0.59
"167","GRB","BC",2016,"Low","Northeast","Riverine","Mesotidal","Polyhaline",41.7,58.3,58.3,0,0.41,0,1.2,0.08,1
"168","GRB","BC",2016,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",31.36,68.64,65.29,0.07,0.46,0,3.14,0.45,1
"169","GRB","BC",2016,"Up","Northeast","Riverine","Mesotidal","Polyhaline",51.67,48.33,28.83,12,0.52,0,6.17,1.21,0.63
"170","GRB","BC",2017,"Low","Northeast","Riverine","Mesotidal","Polyhaline",44.5,55.5,55.5,0,0.44,0,1.2,0.11,1
"171","GRB","BC",2017,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",24.68,75.32,69.04,0.14,0.51,0,2.57,0.39,1
"172","GRB","BC",2017,"Up","Northeast","Riverine","Mesotidal","Polyhaline",61.19,38.8,20.54,8.4,0.53,0,5.5,1.07,0.52
"173","GRB","BC",2018,"Low","Northeast","Riverine","Mesotidal","Polyhaline",42.51,57.49,57.24,0,0.42,0,1.4,0.1,1
"174","GRB","BC",2018,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",33.14,66.86,62,0,0.46,0,2.29,0.38,1
"175","GRB","BC",2018,"Up","Northeast","Riverine","Mesotidal","Polyhaline",50.33,49.67,36,6.17,0.66,1.67,6,1.2,0.67
"176","GRB","BC",2019,"Low","Northeast","Riverine","Mesotidal","Polyhaline",46.52,53.49,52.74,0,0.47,0,1.8,0.24,1
"177","GRB","BC",2019,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",31.15,68.85,62.96,0,0.5,0,2.36,0.34,1
"178","GRB","BC",2019,"Up","Northeast","Riverine","Mesotidal","Polyhaline",50.03,49.98,30.49,7.49,0.54,2.42,6.5,1.27,0.65
"179","GRB","BC",2020,"Low","Northeast","Riverine","Mesotidal","Polyhaline",31,69,64.85,0,0.33,0,1.9,0.25,1
"180","GRB","BC",2020,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",39.63,60.37,56.44,0,0.53,0,2.36,0.33,1
"181","GRB","BC",2020,"Up","Northeast","Riverine","Mesotidal","Polyhaline",62.42,37.58,26.08,5.83,0.49,1,6.5,1.15,0.65
"182","GRB","BC",2021,"Low","Northeast","Riverine","Mesotidal","Polyhaline",50.4,49.6,48.3,0,0.51,0,1.8,0.16,1
"183","GRB","BC",2021,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",36.29,63.71,57.39,0,0.58,0,2.64,0.33,1
"184","GRB","BC",2021,"Up","Northeast","Riverine","Mesotidal","Polyhaline",60.12,39.88,25.12,5.42,0.62,0,6.33,1.23,0.67
"185","GRB","BC",2022,"Low","Northeast","Riverine","Mesotidal","Polyhaline",51,49,49,0,0.5,0,1,0.05,0.9
"186","GRB","BC",2022,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",31.93,68.07,65.28,0,0.55,0,2.43,0.27,1
"187","GRB","BC",2022,"Up","Northeast","Riverine","Mesotidal","Polyhaline",54.31,45.69,27.69,5.83,0.6,0,5.67,1.09,0.68
