"","Reserve","SiteID","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue","score"
"25","KAC","CP","Region","West Coast",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"26","KAC","SC","Region","West Coast",161,"Year",0.0065,0.007,0.9353,0.351,0
"27","MAR","MI-W","Region","Gulf Coast",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"28","MAR","HF1","Region","Gulf Coast",548,"Year",0.0431,0.0047,9.1677,0,2
"29","MAR","HF2","Region","Gulf Coast",600,"Year",0.0278,0.0052,5.3971,0,2
"30","MAR","HF3","Region","Gulf Coast",548,"Year",0.0539,0.0057,9.4815,0,2
"31","NAR","Nag","Region","Northeast",273,"Year",0.0183,0.0048,3.8098,2e-04,2
"32","NAR","Coggeshall","Region","Northeast",234,"Year",0.0116,0.0051,2.2898,0.0229,2
"33","NIW","Segment A","Region","Southeast",294,"Year",-0.0085,0.0037,-2.302,0.022,-2
"34","NIW","Segment B","Region","Southeast",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"35","NOC","MI","Region","Southeast",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"36","NOC","MM","Region","Southeast",601,"Year",0.0361,0.0037,9.6477,0,2
"37","SOS","DM","Region","West Coast",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"38","SOS","MM","Region","West Coast",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"39","SOS","HC","Region","West Coast",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"40","SOS","VM","Region","West Coast",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"41","SOS","VI","Region","West Coast",60,"Year",2e-04,2e-04,1.0348,0.305,0
"42","SOS","MI","Region","West Coast",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"43","TJR","McCoy North","Region","West Coast",40,"Year",0,0,NA,1,0
"44","TJR","McCoy South","Region","West Coast",150,"Year",0.0019,0.0083,0.2334,0.8158,0
"45","TJR","South Beach","Region","West Coast",180,"Year",-0.0037,0.0048,-0.7638,0.446,0
"46","TJR","V1","Region","West Coast",200,"Year",-0.0033,0.0039,-0.859,0.3914,0
"47","TJR","V3","Region","West Coast",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"48","TJR","V4","Region","West Coast",240,"Year",7e-04,0.003,0.2225,0.8241,0
"49","TJR","Brazo Creek","Region","West Coast",40,"Year",-0.0212,0.0318,-0.6646,0.5103,0
"50","TJR","Horse Trail","Region","West Coast",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"51","TJR","Model Marsh","Region","West Coast",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"52","WEL","WB","Region","Northeast",212,"Year",0.0029,0.0053,0.5586,0.577,0
"53","WQB","Section 2","Region","Northeast",396,"Year",0.0106,0.0047,2.2533,0.0248,2
"54","WQB","Section 1","Region","Northeast",287,"Year",0.0132,0.0058,2.2734,0.0237,2
"55","WQB","Section 3","Region","Northeast",286,"Year",0.0109,0.006,1.8249,0.0691,1
"56","ACE","EIN","Geomorphology","Riverine",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"57","ACE","EIS","Geomorphology","Riverine",122,"Year",0.0301,0.0086,3.52,6e-04,2
"58","APA","PC","Geomorphology","Bay Front",333,"Year",0.0048,0.0061,0.7866,0.4321,0
"59","CBM","MB","Geomorphology","Bay Front",160,"Year",0,0.0052,9e-04,0.9992,0
"60","CBM","OPC","Geomorphology","Riverine",419,"Year",0.0087,0.0015,5.6721,0,2
"61","DEL","SJR","Geomorphology","Riverine",116,"Year",0.0104,0.0162,0.6413,0.5226,0
"62","ELK","Upper","Geomorphology","Riverine",54,"Year",0.0077,0.027,0.2847,0.777,0
"63","ELK","Lower","Geomorphology","Riverine",92,"Year",0.007,0.0151,0.4657,0.6426,0
"64","GND","spalt","Geomorphology","Bay Front",162,"Year",0.0583,0.0074,7.8617,0,2
"65","GND","juro low","Geomorphology","Bay Front",210,"Year",0.0819,0.0091,9.0293,0,2
"66","GND","juro high","Geomorphology","Riverine",128,"Year",0.0642,0.0106,6.0762,0,2
"67","GND","juro mid","Geomorphology","Riverine",222,"Year",0.052,0.0084,6.1724,0,2
"68","GRB","SP","Geomorphology","Bay Front",429,"Year",0.0154,0.0043,3.5646,4e-04,2
"69","GRB","GBF","Geomorphology","Riverine",363,"Year",0.01,0.0053,1.901,0.0581,1
"70","GRB","BC","Geomorphology","Riverine",263,"Year",0.0128,0.0055,2.3454,0.0198,2
"71","GTM","22","Geomorphology","Riverine",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"72","GTM","0","Geomorphology","Back Barrier",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"73","GTM","40","Geomorphology","Riverine",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"74","GTM","1","Geomorphology","Riverine",375,"Year",0.005,0.0061,0.8196,0.413,0
"75","GTM","46","Geomorphology","Riverine",391,"Year",0.0068,0.0067,1.0173,0.3097,0
"76","JAC","Central Segment","Geomorphology","Bay Front",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"77","JAC","South Segment","Geomorphology","Bay Front",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"78","KAC","FR","Geomorphology","Bay Front",528,"Year",-8e-04,0.0028,-0.2742,0.784,0
"79","KAC","BS","Geomorphology","Back Barrier",334,"Year",0.0019,0.0037,0.5246,0.6002,0
"80","KAC","CP","Geomorphology","Bay Front",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"81","KAC","SC","Geomorphology","Bay Front",161,"Year",0.0065,0.007,0.9353,0.351,0
"82","MAR","MI-W","Geomorphology","Bay Front",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"83","MAR","HF1","Geomorphology","Bay Front",548,"Year",0.0431,0.0047,9.1677,0,2
"84","MAR","HF2","Geomorphology","Bay Front",600,"Year",0.0278,0.0052,5.3971,0,2
"85","MAR","HF3","Geomorphology","Bay Front",548,"Year",0.0539,0.0057,9.4815,0,2
"86","NAR","Nag","Geomorphology","Bay Front",273,"Year",0.0183,0.0048,3.8098,2e-04,2
"87","NAR","Coggeshall","Geomorphology","Bay Front",234,"Year",0.0116,0.0051,2.2898,0.0229,2
"88","NIW","Segment A","Geomorphology","Riverine",294,"Year",-0.0085,0.0037,-2.302,0.022,-2
"89","NIW","Segment B","Geomorphology","Riverine",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"90","NOC","MI","Geomorphology","Back Barrier",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"91","NOC","MM","Geomorphology","Back Barrier",601,"Year",0.0361,0.0037,9.6477,0,2
"92","SOS","DM","Geomorphology","Riverine",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"93","SOS","MM","Geomorphology","Bay Front",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"94","SOS","HC","Geomorphology","Riverine",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"95","SOS","VM","Geomorphology","Riverine",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"96","SOS","VI","Geomorphology","Riverine",60,"Year",2e-04,2e-04,1.0348,0.305,0
"97","SOS","MI","Geomorphology","Bay Front",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"98","TJR","McCoy North","Geomorphology","Back Barrier",40,"Year",0,0,NA,1,0
"99","TJR","McCoy South","Geomorphology","Back Barrier",150,"Year",0.0019,0.0083,0.2334,0.8158,0
"100","TJR","South Beach","Geomorphology","Back Barrier",180,"Year",-0.0037,0.0048,-0.7638,0.446,0
"101","TJR","V1","Geomorphology","Back Barrier",200,"Year",-0.0033,0.0039,-0.859,0.3914,0
"102","TJR","V3","Geomorphology","Back Barrier",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"103","TJR","V4","Geomorphology","Back Barrier",240,"Year",7e-04,0.003,0.2225,0.8241,0
"104","TJR","Brazo Creek","Geomorphology","Back Barrier",40,"Year",-0.0212,0.0318,-0.6646,0.5103,0
"105","TJR","Horse Trail","Geomorphology","Back Barrier",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"106","TJR","Model Marsh","Geomorphology","Back Barrier",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"107","WEL","WB","Geomorphology","Back Barrier",212,"Year",0.0029,0.0053,0.5586,0.577,0
"108","WQB","Section 2","Geomorphology","Back Barrier",396,"Year",0.0106,0.0047,2.2533,0.0248,2
"109","WQB","Section 1","Geomorphology","Back Barrier",287,"Year",0.0132,0.0058,2.2734,0.0237,2
"110","WQB","Section 3","Geomorphology","Back Barrier",286,"Year",0.0109,0.006,1.8249,0.0691,1
"111","ACE","EIN","tidal_range","Microtidal",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"112","ACE","EIS","tidal_range","Microtidal",122,"Year",0.0301,0.0086,3.52,6e-04,2
"113","APA","PC","tidal_range","Microtidal",333,"Year",0.0048,0.0061,0.7866,0.4321,0
"114","CBM","MB","tidal_range","Microtidal",160,"Year",0,0.0052,9e-04,0.9992,0
"115","CBM","OPC","tidal_range","Microtidal",419,"Year",0.0087,0.0015,5.6721,0,2
"116","DEL","SJR","tidal_range","Microtidal",116,"Year",0.0104,0.0162,0.6413,0.5226,0
"117","ELK","Upper","tidal_range","Mesotidal",54,"Year",0.0077,0.027,0.2847,0.777,0
"118","ELK","Lower","tidal_range","Mesotidal",92,"Year",0.007,0.0151,0.4657,0.6426,0
"119","GND","spalt","tidal_range","Microtidal",162,"Year",0.0583,0.0074,7.8617,0,2
"120","GND","juro low","tidal_range","Microtidal",210,"Year",0.0819,0.0091,9.0293,0,2
"121","GND","juro high","tidal_range","Microtidal",128,"Year",0.0642,0.0106,6.0762,0,2
"122","GND","juro mid","tidal_range","Microtidal",222,"Year",0.052,0.0084,6.1724,0,2
"123","GRB","SP","tidal_range","Mesotidal",429,"Year",0.0154,0.0043,3.5646,4e-04,2
"124","GRB","GBF","tidal_range","Mesotidal",363,"Year",0.01,0.0053,1.901,0.0581,1
"125","GRB","BC","tidal_range","Mesotidal",263,"Year",0.0128,0.0055,2.3454,0.0198,2
"126","GTM","22","tidal_range","Microtidal",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"127","GTM","0","tidal_range","Microtidal",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"128","GTM","40","tidal_range","Microtidal",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"129","GTM","1","tidal_range","Microtidal",375,"Year",0.005,0.0061,0.8196,0.413,0
"130","GTM","46","tidal_range","Microtidal",391,"Year",0.0068,0.0067,1.0173,0.3097,0
"131","JAC","Central Segment","tidal_range","Microtidal",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"132","JAC","South Segment","tidal_range","Microtidal",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"133","KAC","FR","tidal_range","Macrotidal",528,"Year",-8e-04,0.0028,-0.2742,0.784,0
"134","KAC","BS","tidal_range","Macrotidal",334,"Year",0.0019,0.0037,0.5246,0.6002,0
"135","KAC","CP","tidal_range","Macrotidal",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"136","KAC","SC","tidal_range","Macrotidal",161,"Year",0.0065,0.007,0.9353,0.351,0
"137","MAR","MI-W","tidal_range","Microtidal",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"138","MAR","HF1","tidal_range","Microtidal",548,"Year",0.0431,0.0047,9.1677,0,2
"139","MAR","HF2","tidal_range","Microtidal",600,"Year",0.0278,0.0052,5.3971,0,2
"140","MAR","HF3","tidal_range","Microtidal",548,"Year",0.0539,0.0057,9.4815,0,2
"141","NAR","Nag","tidal_range","Microtidal",273,"Year",0.0183,0.0048,3.8098,2e-04,2
"142","NAR","Coggeshall","tidal_range","Microtidal",234,"Year",0.0116,0.0051,2.2898,0.0229,2
"143","NIW","Segment A","tidal_range","Microtidal",294,"Year",-0.0085,0.0037,-2.302,0.022,-2
"144","NIW","Segment B","tidal_range","Microtidal",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"145","NOC","MI","tidal_range","Microtidal",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"146","NOC","MM","tidal_range","Microtidal",601,"Year",0.0361,0.0037,9.6477,0,2
"147","SOS","DM","tidal_range","Mesotidal",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"148","SOS","MM","tidal_range","Mesotidal",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"149","SOS","HC","tidal_range","Mesotidal",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"150","SOS","VM","tidal_range","Mesotidal",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"151","SOS","VI","tidal_range","Mesotidal",60,"Year",2e-04,2e-04,1.0348,0.305,0
"152","SOS","MI","tidal_range","Mesotidal",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"153","TJR","McCoy North","tidal_range","Mesotidal",40,"Year",0,0,NA,1,0
"154","TJR","McCoy South","tidal_range","Mesotidal",150,"Year",0.0019,0.0083,0.2334,0.8158,0
"155","TJR","South Beach","tidal_range","Mesotidal",180,"Year",-0.0037,0.0048,-0.7638,0.446,0
"156","TJR","V1","tidal_range","Mesotidal",200,"Year",-0.0033,0.0039,-0.859,0.3914,0
"157","TJR","V3","tidal_range","Mesotidal",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"158","TJR","V4","tidal_range","Mesotidal",240,"Year",7e-04,0.003,0.2225,0.8241,0
"159","TJR","Brazo Creek","tidal_range","Mesotidal",40,"Year",-0.0212,0.0318,-0.6646,0.5103,0
"160","TJR","Horse Trail","tidal_range","Mesotidal",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"161","TJR","Model Marsh","tidal_range","Mesotidal",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"162","WEL","WB","tidal_range","Mesotidal",212,"Year",0.0029,0.0053,0.5586,0.577,0
"163","WQB","Section 2","tidal_range","Microtidal",396,"Year",0.0106,0.0047,2.2533,0.0248,2
"164","WQB","Section 1","tidal_range","Microtidal",287,"Year",0.0132,0.0058,2.2734,0.0237,2
"165","WQB","Section 3","tidal_range","Microtidal",286,"Year",0.0109,0.006,1.8249,0.0691,1
"166","ACE","EIN","salinity","Polyhaline",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"167","ACE","EIS","salinity","Polyhaline",122,"Year",0.0301,0.0086,3.52,6e-04,2
"168","APA","PC","salinity","Polyhaline",333,"Year",0.0048,0.0061,0.7866,0.4321,0
"169","CBM","MB","salinity","Mesohaline",160,"Year",0,0.0052,9e-04,0.9992,0
"170","CBM","OPC","salinity","Oligohaline",419,"Year",0.0087,0.0015,5.6721,0,2
"171","DEL","SJR","salinity","Mesohaline",116,"Year",0.0104,0.0162,0.6413,0.5226,0
"172","ELK","Upper","salinity","Polyhaline",54,"Year",0.0077,0.027,0.2847,0.777,0
"173","ELK","Lower","salinity","Polyhaline",92,"Year",0.007,0.0151,0.4657,0.6426,0
"174","GND","spalt","salinity","Polyhaline",162,"Year",0.0583,0.0074,7.8617,0,2
"175","GND","juro low","salinity","Mesohaline",210,"Year",0.0819,0.0091,9.0293,0,2
"176","GND","juro high","salinity","Mesohaline",128,"Year",0.0642,0.0106,6.0762,0,2
"177","GND","juro mid","salinity","Mesohaline",222,"Year",0.052,0.0084,6.1724,0,2
"178","GRB","SP","salinity","Polyhaline",429,"Year",0.0154,0.0043,3.5646,4e-04,2
"179","GRB","GBF","salinity","Polyhaline",363,"Year",0.01,0.0053,1.901,0.0581,1
"180","GRB","BC","salinity","Polyhaline",263,"Year",0.0128,0.0055,2.3454,0.0198,2
"181","GTM","22","salinity","Oligohaline",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"182","GTM","0","salinity","Oligohaline",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"183","GTM","40","salinity","Oligohaline",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"184","GTM","1","salinity","Oligohaline",375,"Year",0.005,0.0061,0.8196,0.413,0
"185","GTM","46","salinity","Oligohaline",391,"Year",0.0068,0.0067,1.0173,0.3097,0
"186","JAC","Central Segment","salinity","Oligohaline",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"187","JAC","South Segment","salinity","Oligohaline",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"188","KAC","FR","salinity","Mesohaline",528,"Year",-8e-04,0.0028,-0.2742,0.784,0
"189","KAC","BS","salinity","Oligohaline",334,"Year",0.0019,0.0037,0.5246,0.6002,0
"190","KAC","CP","salinity","Mesohaline",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"191","KAC","SC","salinity","Mesohaline",161,"Year",0.0065,0.007,0.9353,0.351,0
"192","MAR","MI-W","salinity","Polyhaline",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"193","MAR","HF1","salinity","Polyhaline",548,"Year",0.0431,0.0047,9.1677,0,2
"194","MAR","HF2","salinity","Polyhaline",600,"Year",0.0278,0.0052,5.3971,0,2
"195","MAR","HF3","salinity","Polyhaline",548,"Year",0.0539,0.0057,9.4815,0,2
"196","NAR","Nag","salinity","Polyhaline",273,"Year",0.0183,0.0048,3.8098,2e-04,2
"197","NAR","Coggeshall","salinity","Polyhaline",234,"Year",0.0116,0.0051,2.2898,0.0229,2
"198","NIW","Segment A","salinity","Polyhaline",294,"Year",-0.0085,0.0037,-2.302,0.022,-2
"199","NIW","Segment B","salinity","Polyhaline",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"200","NOC","MI","salinity","Polyhaline",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"201","NOC","MM","salinity","Polyhaline",601,"Year",0.0361,0.0037,9.6477,0,2
"202","SOS","DM","salinity","Mesohaline",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"203","SOS","MM","salinity","Polyhaline",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"204","SOS","HC","salinity","Mesohaline",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"205","SOS","VM","salinity","Polyhaline",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"206","SOS","VI","salinity","Polyhaline",60,"Year",2e-04,2e-04,1.0348,0.305,0
"207","SOS","MI","salinity","Polyhaline",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"208","TJR","McCoy North","salinity","Polyhaline",40,"Year",0,0,NA,1,0
"209","TJR","McCoy South","salinity","Polyhaline",150,"Year",0.0019,0.0083,0.2334,0.8158,0
"210","TJR","South Beach","salinity","Polyhaline",180,"Year",-0.0037,0.0048,-0.7638,0.446,0
"211","TJR","V1","salinity","Polyhaline",200,"Year",-0.0033,0.0039,-0.859,0.3914,0
"212","TJR","V3","salinity","Polyhaline",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"213","TJR","V4","salinity","Polyhaline",240,"Year",7e-04,0.003,0.2225,0.8241,0
"214","TJR","Brazo Creek","salinity","Polyhaline",40,"Year",-0.0212,0.0318,-0.6646,0.5103,0
"215","TJR","Horse Trail","salinity","Polyhaline",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"216","TJR","Model Marsh","salinity","Polyhaline",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"217","WEL","WB","salinity","Polyhaline",212,"Year",0.0029,0.0053,0.5586,0.577,0
"218","WQB","Section 2","salinity","Polyhaline",396,"Year",0.0106,0.0047,2.2533,0.0248,2
"219","WQB","Section 1","salinity","Polyhaline",287,"Year",0.0132,0.0058,2.2734,0.0237,2
"220","WQB","Section 3","salinity","Polyhaline",286,"Year",0.0109,0.006,1.8249,0.0691,1
