"","Reserve","SiteID","Region","Geomorphology","tidal_range","salinity","Metric","SampleSize","term","df","sumsq","meansq","statistic","pvalue"
"146","TJR","Model Marsh","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",120,"Year:Vegetation_Zone",1,121.6633,121.6633,0.1554,0.6942
"147","TJR","Model Marsh","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",120,"Residuals",116,90839.7372,783.1012,NA,1
"148","WEL","WB","Northeast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",265,"Year",1,91.1045,91.1045,0.2532,0.6153
"149","WEL","WB","Northeast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",265,"Vegetation_Zone",2,4585.8178,2292.9089,6.3714,0.002
"150","WEL","WB","Northeast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",265,"Year:Vegetation_Zone",2,272.8182,136.4091,0.379,0.6849
"151","WEL","WB","Northeast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",265,"Residuals",259,93207.6485,359.8751,NA,1
"152","WQB","Section 2","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",420,"Year",1,2.077,2.077,0.0029,0.9569
"153","WQB","Section 2","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",420,"Vegetation_Zone",2,107661.0889,53830.5445,75.6625,0
"154","WQB","Section 2","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",420,"Year:Vegetation_Zone",2,2235.6064,1117.8032,1.5711,0.209
"155","WQB","Section 2","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",420,"Residuals",414,294542.8769,711.4562,NA,1
"156","WQB","Section 1","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",307,"Year",1,125.5513,125.5513,0.1467,0.702
"157","WQB","Section 1","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",307,"Vegetation_Zone",2,15405.968,7702.984,8.9991,2e-04
"158","WQB","Section 1","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",307,"Year:Vegetation_Zone",2,1023.7499,511.875,0.598,0.5506
"159","WQB","Section 1","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",307,"Residuals",301,257648.1722,855.974,NA,1
"160","WQB","Section 3","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",331,"Year",1,54.9146,54.9146,0.1204,0.7288
"161","WQB","Section 3","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",331,"Vegetation_Zone",2,81641.7774,40820.8887,89.5153,0
"162","WQB","Section 3","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",331,"Year:Vegetation_Zone",2,1670.4669,835.2335,1.8316,0.1618
"163","WQB","Section 3","Northeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",331,"Residuals",325,148206.9707,456.0214,NA,1
"164","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",142,"Year",1,1040.5684,1040.5684,1.5668,0.2128
"165","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",142,"Vegetation_Zone",1,4544.5989,4544.5989,6.8429,0.0099
"166","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",142,"Year:Vegetation_Zone",1,1.6032,1.6032,0.0024,0.9609
"167","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",142,"Residuals",138,91650.4512,664.1337,NA,1
"168","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",122,"Year",1,7637.7765,7637.7765,12.3826,6e-04
"169","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",122,"Vegetation_Zone",1,1154.1859,1154.1859,1.8712,0.1739
"170","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",122,"Year:Vegetation_Zone",1,169.6932,169.6932,0.2751,0.6009
"171","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Live Cover",122,"Residuals",118,72784.0752,616.8142,NA,1
"172","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",346,"Year",1,2449.6699,2449.6699,4.3108,0.0386
"173","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",346,"Vegetation_Zone",2,870.3918,435.1959,0.7658,0.4657
"174","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",346,"Year:Vegetation_Zone",2,505.3246,252.6623,0.4446,0.6414
"175","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",346,"Residuals",340,193210.8908,568.2673,NA,1
"176","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Live Cover",160,"Year",1,6704.6417,6704.6417,34.059,0
"177","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Live Cover",160,"Vegetation_Zone",1,1608.6037,1608.6037,8.1716,0.0048
"178","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Live Cover",160,"Year:Vegetation_Zone",1,32.9157,32.9157,0.1672,0.6832
"179","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Live Cover",160,"Residuals",156,30709.1466,196.8535,NA,1
"180","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Live Cover",419,"Year",1,35394.1883,35394.1883,105.2081,0
"181","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Live Cover",419,"Vegetation_Zone",1,105.9544,105.9544,0.3149,0.575
