"","Reserve","SiteID","Vegetation_Zone","Sample_Size","term","slope","std.error","statistic","pvalue","score"
"28","GND","juro mid","Low",18,"Year",-0.0097,0.0119,-0.8135,0.4279,0
"29","GND","juro mid","Up",18,"Year",-0.0213,0.023,-0.9241,0.3691,0
"30","GND","clmaj","Up",150,"Year",0,0,NA,1,0
"31","GRB","SP","Low",66,"Year",0.0342,0.0081,4.2447,1e-04,2
"32","GRB","SP","Mid",363,"Year",0.0119,0.0048,2.4654,0.0141,2
"33","GRB","SP","Up",62,"Year",0.0128,0.0086,1.4861,0.1425,1
"34","GRB","GBF","Low",66,"Year",-0.0049,0.0098,-0.4986,0.6198,0
"35","GRB","GBF","Mid",297,"Year",0.0133,0.006,2.205,0.0282,2
"36","GRB","GBF","Up",66,"Year",8e-04,0.0064,0.1307,0.8964,0
"37","GRB","BC","Low",109,"Year",0.0082,0.0065,1.2636,0.2091,0
"38","GRB","BC","Mid",154,"Year",0.0161,0.0081,1.99,0.0484,2
"39","GRB","BC","Up",66,"Year",0.0125,0.0058,2.1663,0.034,2
"40","GTM","22","Low",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"41","GTM","0","Low",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"42","GTM","40","Low",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"43","GTM","1","Low",375,"Year",0.005,0.0061,0.8196,0.413,0
"44","GTM","46","Low",388,"Year",0.0079,0.0067,1.1726,0.2417,0
"45","JAC","Central Segment","Low",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"46","JAC","South Segment","Low",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"47","KAC","FR","Mid",416,"Year",-0.0021,0.0018,-1.162,0.2459,0
"48","KAC","FR","Low",112,"Year",0.0039,0.0091,0.4282,0.6694,0
"49","KAC","FR","Up",18,"Year",0,0,NA,1,0
"50","KAC","BS","Low",322,"Year",0.002,0.0038,0.5317,0.5953,0
"51","KAC","BS","Mid",12,"Year",0,0,NA,1,0
"52","KAC","BS","Up",12,"Year",0,0,NA,1,0
"53","KAC","CP","Mid",313,"Year",0.0023,0.0015,1.6063,0.1092,1
"54","KAC","CP","Low",150,"Year",0.0014,0.0018,0.769,0.4431,0
"55","KAC","SC","Low",81,"Year",0.0081,0.0081,0.9994,0.3206,0
"56","KAC","SC","Mid",80,"Year",0.0048,0.0116,0.4156,0.6789,0
"57","MAR","MI-W","Low",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"58","MAR","HF1","Low",548,"Year",0.0431,0.0047,9.1677,0,2
"59","MAR","HF2","Low",600,"Year",0.0278,0.0052,5.3971,0,2
"60","MAR","HF3","Low",548,"Year",0.0539,0.0057,9.4815,0,2
"61","NAR","Nag","Low",65,"Year",0.0325,0.0052,6.3099,0,2
"62","NAR","Nag","Mid",208,"Year",0.0139,0.0057,2.4284,0.016,2
"63","NAR","Nag","Up",39,"Year",0.0073,0.0079,0.9343,0.3562,0
"64","NAR","Coggeshall","Mid",143,"Year",0.0078,0.0058,1.3526,0.1783,1
"65","NAR","Coggeshall","Low",91,"Year",0.0175,0.0056,3.1508,0.0022,2
"66","NAR","Coggeshall","Up",39,"Year",-0.0074,0.0051,-1.4626,0.152,-1
"67","NIW","Segment A","Mid",130,"Year",0,0,NA,1,0
"68","NIW","Segment A","Low",164,"Year",-0.0141,0.005,-2.8302,0.0052,-2
"69","NIW","Segment A","Up",25,"Year",-0.03,0.0161,-1.8654,0.0749,-1
"70","NIW","Segment B","Mid",78,"Year",0.0026,0.0012,2.2094,0.0302,2
"71","NIW","Segment B","Low",260,"Year",-0.0106,0.0046,-2.3049,0.022,-2
"72","NOC","MI","Low",681,"Year",-0.0084,0.0041,-2.0394,0.0418,-2
"73","NOC","MI","Mid",108,"Year",0,0,NA,1,0
"74","NOC","MM","Low",601,"Year",0.0361,0.0037,9.6477,0,2
"75","SOS","DM","Low",19,"Year",0,0,NA,1,0
"76","SOS","DM","Mid",51,"Year",0.0034,0.0037,0.9322,0.3558,0
"77","SOS","MM","Low",60,"Year",0.0017,0.0019,0.8566,0.3952,0
"78","SOS","MM","Mid",60,"Year",7e-04,0.0064,0.1068,0.9153,0
"79","SOS","HC","Mid",92,"Year",-0.0031,0.005,-0.6286,0.5312,0
"80","SOS","HC","Low",30,"Year",5e-04,3e-04,1.4474,0.1589,1
"81","SOS","VM","Mid",40,"Year",0.0028,0.0126,0.2223,0.8253,0
"82","SOS","VM","Low",60,"Year",0.0083,0.0056,1.4906,0.1415,1
"83","SOS","VI","Low",54,"Year",3e-04,3e-04,1.0349,0.3055,0
"84","SOS","VI","Mid",6,"Year",0,0,NA,1,0
"85","SOS","MI","Low",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"86","TJR","McCoy North","Mid",40,"Year",0,0,NA,1,0
"87","TJR","McCoy North","Up",10,"Year",0,0,NA,1,0
"88","TJR","McCoy South","Up",90,"Year",0,0,NA,1,0
"89","TJR","McCoy South","Mid",90,"Year",-0.0035,0.0019,-1.79,0.0769,-1
"90","TJR","McCoy South","Low",60,"Year",0.01,0.0097,1.0314,0.3066,0
"91","TJR","South Beach","Mid",180,"Year",-0.0037,0.0048,-0.7638,0.446,0
"92","TJR","South Beach","Up",30,"Year",0,0,NA,1,0
"93","TJR","V1","Low",40,"Year",-0.0042,0.0092,-0.4618,0.6469,0
"94","TJR","V1","Mid",160,"Year",-0.0031,0.0035,-0.8744,0.3832,0
"95","TJR","V1","Up",70,"Year",0,0,NA,1,0
"96","TJR","V3","Mid",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"97","TJR","V4","Mid",230,"Year",0.0013,0.0031,0.4307,0.6671,0
"98","TJR","V4","Low",10,"Year",-0.0147,0.0076,-1.9278,0.09,-1
"99","TJR","Brazo Creek","Mid",40,"Year",-0.0212,0.0318,-0.6646,0.5103,0
"100","TJR","Brazo Creek","Up",8,"Year",0,0,NA,1,0
"101","TJR","Horse Trail","Mid",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"102","TJR","Model Marsh","Mid",105,"Year",-0.0148,0.006,-2.4775,0.0149,-2
"103","TJR","Model Marsh","Low",15,"Year",-0.0555,0.0291,-1.9042,0.0793,-1
"104","WEL","WB","Low",53,"Year",0.002,0.0065,0.3143,0.7545,0
"105","WEL","WB","Mid",159,"Year",0.0032,0.0048,0.6809,0.4969,0
"106","WEL","WB","Up",53,"Year",-0.0059,0.0056,-1.0432,0.3018,0
"107","WQB","Section 2","Low",216,"Year",0.0035,0.0023,1.5112,0.1322,1
"108","WQB","Section 2","Mid",180,"Year",0.0189,0.0082,2.308,0.0221,2
"109","WQB","Section 2","Up",24,"Year",-0.0178,0.0078,-2.2799,0.0327,-2
"110","WQB","Section 1","Mid",36,"Year",0.0115,0.0187,0.615,0.5427,0
"111","WQB","Section 1","Low",251,"Year",0.011,0.0057,1.9286,0.0549,1
"112","WQB","Section 3","Mid",195,"Year",0.0109,0.0074,1.4759,0.1416,1
"113","WQB","Section 3","Up",45,"Year",0.0244,0.0079,3.0928,0.0035,2
"114","WQB","Section 3","Low",91,"Year",0.0071,0.005,1.4056,0.1633,1
"115","WQB","Section 1","Up",20,"Year",-0.059,0.0126,-4.6902,2e-04,-2
