"","Reserve","SiteID","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue","score"
"25","KAC","BS","Region","West Coast",346,"Year",0.0018,0.0036,0.518,0.6048,0
"26","KAC","CP","Region","West Coast",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"27","KAC","SC","Region","West Coast",161,"Year",0.0065,0.007,0.9353,0.351,0
"28","MAR","MI-W","Region","Gulf Coast",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"29","MAR","HF1","Region","Gulf Coast",548,"Year",0.0431,0.0047,9.1677,0,2
"30","MAR","HF2","Region","Gulf Coast",600,"Year",0.0278,0.0052,5.3971,0,2
"31","MAR","HF3","Region","Gulf Coast",548,"Year",0.0539,0.0057,9.4815,0,2
"32","NAR","Nag","Region","Northeast",312,"Year",0.017,0.0048,3.5205,5e-04,2
"33","NAR","Coggeshall","Region","Northeast",273,"Year",0.0089,0.0045,1.9913,0.0474,2
"34","NIW","Segment A","Region","Southeast",319,"Year",-0.0089,0.0038,-2.319,0.021,-2
"35","NIW","Segment B","Region","Southeast",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"36","NOC","MI","Region","Southeast",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"37","NOC","MM","Region","Southeast",601,"Year",0.0361,0.0037,9.6477,0,2
"38","SOS","DM","Region","West Coast",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"39","SOS","MM","Region","West Coast",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"40","SOS","HC","Region","West Coast",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"41","SOS","VM","Region","West Coast",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"42","SOS","VI","Region","West Coast",60,"Year",2e-04,2e-04,1.0348,0.305,0
"43","SOS","MI","Region","West Coast",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"44","TJR","McCoy North","Region","West Coast",50,"Year",0,0,NA,1,0
"45","TJR","McCoy South","Region","West Coast",240,"Year",0.0012,0.0057,0.2123,0.8321,0
"46","TJR","South Beach","Region","West Coast",210,"Year",-0.0032,0.0042,-0.7578,0.4494,0
"47","TJR","V1","Region","West Coast",270,"Year",-0.0025,0.003,-0.8275,0.4087,0
"48","TJR","V3","Region","West Coast",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"49","TJR","V4","Region","West Coast",240,"Year",7e-04,0.003,0.2225,0.8241,0
"50","TJR","Brazo Creek","Region","West Coast",48,"Year",-0.0176,0.0267,-0.6614,0.5117,0
"51","TJR","Horse Trail","Region","West Coast",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"52","TJR","Model Marsh","Region","West Coast",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"53","WEL","WB","Region","Northeast",265,"Year",0.0012,0.0047,0.2487,0.8038,0
"54","WQB","Section 2","Region","Northeast",420,"Year",0.0104,0.0051,2.0621,0.0398,2
"55","WQB","Section 1","Region","Northeast",307,"Year",0.013,0.0057,2.2599,0.0245,2
"56","WQB","Section 3","Region","Northeast",331,"Year",0.0153,0.0062,2.4849,0.0135,2
"57","ACE","EIN","Geomorphology","Riverine",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"58","ACE","EIS","Geomorphology","Riverine",122,"Year",0.0301,0.0086,3.52,6e-04,2
"59","APA","PC","Geomorphology","Bay Front",346,"Year",0.0045,0.0059,0.7621,0.4465,0
"60","CBM","MB","Geomorphology","Bay Front",160,"Year",0,0.0052,9e-04,0.9992,0
"61","CBM","OPC","Geomorphology","Riverine",419,"Year",0.0087,0.0015,5.6721,0,2
"62","DEL","SJR","Geomorphology","Riverine",120,"Year",0.0101,0.0159,0.6331,0.5279,0
"63","ELK","Upper","Geomorphology","Riverine",60,"Year",0.0096,0.0251,0.3829,0.7032,0
"64","ELK","Lower","Geomorphology","Riverine",100,"Year",0.0091,0.0141,0.6429,0.5218,0
"65","GND","spalt","Geomorphology","Bay Front",162,"Year",0.0583,0.0074,7.8617,0,2
"66","GND","juro low","Geomorphology","Bay Front",210,"Year",0.0819,0.0091,9.0293,0,2
"67","GND","juro high","Geomorphology","Riverine",128,"Year",0.0642,0.0106,6.0762,0,2
"68","GND","juro mid","Geomorphology","Riverine",240,"Year",0.0465,0.0093,5.0213,0,2
"69","GND","clmaj","Geomorphology","Riverine",150,"Year",0,0,NA,1,0
"70","GRB","SP","Geomorphology","Bay Front",491,"Year",0.0151,0.0039,3.8623,1e-04,2
"71","GRB","GBF","Geomorphology","Riverine",429,"Year",0.0086,0.0046,1.8791,0.0609,1
"72","GRB","BC","Geomorphology","Riverine",329,"Year",0.0127,0.0045,2.8018,0.0054,2
"73","GTM","22","Geomorphology","Riverine",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"74","GTM","0","Geomorphology","Back Barrier",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"75","GTM","40","Geomorphology","Riverine",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"76","GTM","1","Geomorphology","Riverine",375,"Year",0.005,0.0061,0.8196,0.413,0
"77","GTM","46","Geomorphology","Riverine",406,"Year",-7e-04,0.0064,-0.103,0.918,0
"78","JAC","Central Segment","Geomorphology","Bay Front",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"79","JAC","South Segment","Geomorphology","Bay Front",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"80","KAC","FR","Geomorphology","Bay Front",546,"Year",-7e-04,0.0027,-0.2714,0.7862,0
"81","KAC","BS","Geomorphology","Back Barrier",346,"Year",0.0018,0.0036,0.518,0.6048,0
"82","KAC","CP","Geomorphology","Bay Front",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"83","KAC","SC","Geomorphology","Bay Front",161,"Year",0.0065,0.007,0.9353,0.351,0
"84","MAR","MI-W","Geomorphology","Bay Front",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"85","MAR","HF1","Geomorphology","Bay Front",548,"Year",0.0431,0.0047,9.1677,0,2
"86","MAR","HF2","Geomorphology","Bay Front",600,"Year",0.0278,0.0052,5.3971,0,2
"87","MAR","HF3","Geomorphology","Bay Front",548,"Year",0.0539,0.0057,9.4815,0,2
"88","NAR","Nag","Geomorphology","Bay Front",312,"Year",0.017,0.0048,3.5205,5e-04,2
"89","NAR","Coggeshall","Geomorphology","Bay Front",273,"Year",0.0089,0.0045,1.9913,0.0474,2
"90","NIW","Segment A","Geomorphology","Riverine",319,"Year",-0.0089,0.0038,-2.319,0.021,-2
"91","NIW","Segment B","Geomorphology","Riverine",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"92","NOC","MI","Geomorphology","Back Barrier",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"93","NOC","MM","Geomorphology","Back Barrier",601,"Year",0.0361,0.0037,9.6477,0,2
"94","SOS","DM","Geomorphology","Riverine",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"95","SOS","MM","Geomorphology","Bay Front",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"96","SOS","HC","Geomorphology","Riverine",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"97","SOS","VM","Geomorphology","Riverine",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"98","SOS","VI","Geomorphology","Riverine",60,"Year",2e-04,2e-04,1.0348,0.305,0
"99","SOS","MI","Geomorphology","Bay Front",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"100","TJR","McCoy North","Geomorphology","Back Barrier",50,"Year",0,0,NA,1,0
"101","TJR","McCoy South","Geomorphology","Back Barrier",240,"Year",0.0012,0.0057,0.2123,0.8321,0
"102","TJR","South Beach","Geomorphology","Back Barrier",210,"Year",-0.0032,0.0042,-0.7578,0.4494,0
"103","TJR","V1","Geomorphology","Back Barrier",270,"Year",-0.0025,0.003,-0.8275,0.4087,0
"104","TJR","V3","Geomorphology","Back Barrier",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"105","TJR","V4","Geomorphology","Back Barrier",240,"Year",7e-04,0.003,0.2225,0.8241,0
"106","TJR","Brazo Creek","Geomorphology","Back Barrier",48,"Year",-0.0176,0.0267,-0.6614,0.5117,0
"107","TJR","Horse Trail","Geomorphology","Back Barrier",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"108","TJR","Model Marsh","Geomorphology","Back Barrier",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"109","WEL","WB","Geomorphology","Back Barrier",265,"Year",0.0012,0.0047,0.2487,0.8038,0
"110","WQB","Section 2","Geomorphology","Back Barrier",420,"Year",0.0104,0.0051,2.0621,0.0398,2
"111","WQB","Section 1","Geomorphology","Back Barrier",307,"Year",0.013,0.0057,2.2599,0.0245,2
"112","WQB","Section 3","Geomorphology","Back Barrier",331,"Year",0.0153,0.0062,2.4849,0.0135,2
"113","ACE","EIN","tidal_range","Microtidal",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"114","ACE","EIS","tidal_range","Microtidal",122,"Year",0.0301,0.0086,3.52,6e-04,2
"115","APA","PC","tidal_range","Microtidal",346,"Year",0.0045,0.0059,0.7621,0.4465,0
"116","CBM","MB","tidal_range","Microtidal",160,"Year",0,0.0052,9e-04,0.9992,0
"117","CBM","OPC","tidal_range","Microtidal",419,"Year",0.0087,0.0015,5.6721,0,2
"118","DEL","SJR","tidal_range","Microtidal",120,"Year",0.0101,0.0159,0.6331,0.5279,0
"119","ELK","Upper","tidal_range","Mesotidal",60,"Year",0.0096,0.0251,0.3829,0.7032,0
"120","ELK","Lower","tidal_range","Mesotidal",100,"Year",0.0091,0.0141,0.6429,0.5218,0
"121","GND","spalt","tidal_range","Microtidal",162,"Year",0.0583,0.0074,7.8617,0,2
"122","GND","juro low","tidal_range","Microtidal",210,"Year",0.0819,0.0091,9.0293,0,2
"123","GND","juro high","tidal_range","Microtidal",128,"Year",0.0642,0.0106,6.0762,0,2
"124","GND","juro mid","tidal_range","Microtidal",240,"Year",0.0465,0.0093,5.0213,0,2
"125","GND","clmaj","tidal_range","Microtidal",150,"Year",0,0,NA,1,0
"126","GRB","SP","tidal_range","Mesotidal",491,"Year",0.0151,0.0039,3.8623,1e-04,2
"127","GRB","GBF","tidal_range","Mesotidal",429,"Year",0.0086,0.0046,1.8791,0.0609,1
"128","GRB","BC","tidal_range","Mesotidal",329,"Year",0.0127,0.0045,2.8018,0.0054,2
"129","GTM","22","tidal_range","Microtidal",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"130","GTM","0","tidal_range","Microtidal",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"131","GTM","40","tidal_range","Microtidal",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"132","GTM","1","tidal_range","Microtidal",375,"Year",0.005,0.0061,0.8196,0.413,0
"133","GTM","46","tidal_range","Microtidal",406,"Year",-7e-04,0.0064,-0.103,0.918,0
"134","JAC","Central Segment","tidal_range","Microtidal",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"135","JAC","South Segment","tidal_range","Microtidal",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"136","KAC","FR","tidal_range","Macrotidal",546,"Year",-7e-04,0.0027,-0.2714,0.7862,0
"137","KAC","BS","tidal_range","Macrotidal",346,"Year",0.0018,0.0036,0.518,0.6048,0
"138","KAC","CP","tidal_range","Macrotidal",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"139","KAC","SC","tidal_range","Macrotidal",161,"Year",0.0065,0.007,0.9353,0.351,0
"140","MAR","MI-W","tidal_range","Microtidal",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"141","MAR","HF1","tidal_range","Microtidal",548,"Year",0.0431,0.0047,9.1677,0,2
"142","MAR","HF2","tidal_range","Microtidal",600,"Year",0.0278,0.0052,5.3971,0,2
"143","MAR","HF3","tidal_range","Microtidal",548,"Year",0.0539,0.0057,9.4815,0,2
"144","NAR","Nag","tidal_range","Microtidal",312,"Year",0.017,0.0048,3.5205,5e-04,2
"145","NAR","Coggeshall","tidal_range","Microtidal",273,"Year",0.0089,0.0045,1.9913,0.0474,2
"146","NIW","Segment A","tidal_range","Microtidal",319,"Year",-0.0089,0.0038,-2.319,0.021,-2
"147","NIW","Segment B","tidal_range","Microtidal",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"148","NOC","MI","tidal_range","Microtidal",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"149","NOC","MM","tidal_range","Microtidal",601,"Year",0.0361,0.0037,9.6477,0,2
"150","SOS","DM","tidal_range","Mesotidal",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"151","SOS","MM","tidal_range","Mesotidal",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"152","SOS","HC","tidal_range","Mesotidal",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"153","SOS","VM","tidal_range","Mesotidal",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"154","SOS","VI","tidal_range","Mesotidal",60,"Year",2e-04,2e-04,1.0348,0.305,0
"155","SOS","MI","tidal_range","Mesotidal",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"156","TJR","McCoy North","tidal_range","Mesotidal",50,"Year",0,0,NA,1,0
"157","TJR","McCoy South","tidal_range","Mesotidal",240,"Year",0.0012,0.0057,0.2123,0.8321,0
"158","TJR","South Beach","tidal_range","Mesotidal",210,"Year",-0.0032,0.0042,-0.7578,0.4494,0
"159","TJR","V1","tidal_range","Mesotidal",270,"Year",-0.0025,0.003,-0.8275,0.4087,0
"160","TJR","V3","tidal_range","Mesotidal",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"161","TJR","V4","tidal_range","Mesotidal",240,"Year",7e-04,0.003,0.2225,0.8241,0
"162","TJR","Brazo Creek","tidal_range","Mesotidal",48,"Year",-0.0176,0.0267,-0.6614,0.5117,0
"163","TJR","Horse Trail","tidal_range","Mesotidal",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"164","TJR","Model Marsh","tidal_range","Mesotidal",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"165","WEL","WB","tidal_range","Mesotidal",265,"Year",0.0012,0.0047,0.2487,0.8038,0
"166","WQB","Section 2","tidal_range","Microtidal",420,"Year",0.0104,0.0051,2.0621,0.0398,2
"167","WQB","Section 1","tidal_range","Microtidal",307,"Year",0.013,0.0057,2.2599,0.0245,2
"168","WQB","Section 3","tidal_range","Microtidal",331,"Year",0.0153,0.0062,2.4849,0.0135,2
"169","ACE","EIN","salinity","Polyhaline",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"170","ACE","EIS","salinity","Polyhaline",122,"Year",0.0301,0.0086,3.52,6e-04,2
"171","APA","PC","salinity","Polyhaline",346,"Year",0.0045,0.0059,0.7621,0.4465,0
"172","CBM","MB","salinity","Mesohaline",160,"Year",0,0.0052,9e-04,0.9992,0
"173","CBM","OPC","salinity","Oligohaline",419,"Year",0.0087,0.0015,5.6721,0,2
"174","DEL","SJR","salinity","Mesohaline",120,"Year",0.0101,0.0159,0.6331,0.5279,0
"175","ELK","Upper","salinity","Polyhaline",60,"Year",0.0096,0.0251,0.3829,0.7032,0
"176","ELK","Lower","salinity","Polyhaline",100,"Year",0.0091,0.0141,0.6429,0.5218,0
"177","GND","spalt","salinity","Polyhaline",162,"Year",0.0583,0.0074,7.8617,0,2
"178","GND","juro low","salinity","Mesohaline",210,"Year",0.0819,0.0091,9.0293,0,2
"179","GND","juro high","salinity","Mesohaline",128,"Year",0.0642,0.0106,6.0762,0,2
"180","GND","juro mid","salinity","Mesohaline",240,"Year",0.0465,0.0093,5.0213,0,2
"181","GND","clmaj","salinity","Oligohaline",150,"Year",0,0,NA,1,0
"182","GRB","SP","salinity","Polyhaline",491,"Year",0.0151,0.0039,3.8623,1e-04,2
"183","GRB","GBF","salinity","Polyhaline",429,"Year",0.0086,0.0046,1.8791,0.0609,1
"184","GRB","BC","salinity","Polyhaline",329,"Year",0.0127,0.0045,2.8018,0.0054,2
"185","GTM","22","salinity","Oligohaline",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"186","GTM","0","salinity","Oligohaline",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"187","GTM","40","salinity","Oligohaline",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"188","GTM","1","salinity","Oligohaline",375,"Year",0.005,0.0061,0.8196,0.413,0
"189","GTM","46","salinity","Oligohaline",406,"Year",-7e-04,0.0064,-0.103,0.918,0
"190","JAC","Central Segment","salinity","Oligohaline",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"191","JAC","South Segment","salinity","Oligohaline",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"192","KAC","FR","salinity","Mesohaline",546,"Year",-7e-04,0.0027,-0.2714,0.7862,0
"193","KAC","BS","salinity","Oligohaline",346,"Year",0.0018,0.0036,0.518,0.6048,0
"194","KAC","CP","salinity","Mesohaline",463,"Year",0.0021,0.0011,1.8276,0.0683,1
"195","KAC","SC","salinity","Mesohaline",161,"Year",0.0065,0.007,0.9353,0.351,0
"196","MAR","MI-W","salinity","Polyhaline",548,"Year",-0.0208,0.0052,-4.0107,1e-04,-2
"197","MAR","HF1","salinity","Polyhaline",548,"Year",0.0431,0.0047,9.1677,0,2
"198","MAR","HF2","salinity","Polyhaline",600,"Year",0.0278,0.0052,5.3971,0,2
"199","MAR","HF3","salinity","Polyhaline",548,"Year",0.0539,0.0057,9.4815,0,2
"200","NAR","Nag","salinity","Polyhaline",312,"Year",0.017,0.0048,3.5205,5e-04,2
"201","NAR","Coggeshall","salinity","Polyhaline",273,"Year",0.0089,0.0045,1.9913,0.0474,2
"202","NIW","Segment A","salinity","Polyhaline",319,"Year",-0.0089,0.0038,-2.319,0.021,-2
"203","NIW","Segment B","salinity","Polyhaline",338,"Year",-0.0075,0.0041,-1.8222,0.0693,-1
"204","NOC","MI","salinity","Polyhaline",789,"Year",-0.0073,0.0038,-1.9252,0.0546,-1
"205","NOC","MM","salinity","Polyhaline",601,"Year",0.0361,0.0037,9.6477,0,2
"206","SOS","DM","salinity","Mesohaline",70,"Year",0.0043,0.0026,1.6562,0.1023,1
"207","SOS","MM","salinity","Polyhaline",120,"Year",0.0012,0.0054,0.2161,0.8293,0
"208","SOS","HC","salinity","Mesohaline",122,"Year",-0.003,0.0039,-0.7587,0.4495,0
"209","SOS","VM","salinity","Polyhaline",100,"Year",0.0061,0.0071,0.8642,0.3896,0
"210","SOS","VI","salinity","Polyhaline",60,"Year",2e-04,2e-04,1.0348,0.305,0
"211","SOS","MI","salinity","Polyhaline",60,"Year",0.0035,0.0021,1.6658,0.1011,1
"212","TJR","McCoy North","salinity","Polyhaline",50,"Year",0,0,NA,1,0
"213","TJR","McCoy South","salinity","Polyhaline",240,"Year",0.0012,0.0057,0.2123,0.8321,0
"214","TJR","South Beach","salinity","Polyhaline",210,"Year",-0.0032,0.0042,-0.7578,0.4494,0
"215","TJR","V1","salinity","Polyhaline",270,"Year",-0.0025,0.003,-0.8275,0.4087,0
"216","TJR","V3","salinity","Polyhaline",240,"Year",-0.001,0.0031,-0.3113,0.7558,0
"217","TJR","V4","salinity","Polyhaline",240,"Year",7e-04,0.003,0.2225,0.8241,0
"218","TJR","Brazo Creek","salinity","Polyhaline",48,"Year",-0.0176,0.0267,-0.6614,0.5117,0
"219","TJR","Horse Trail","salinity","Polyhaline",75,"Year",-2e-04,0.0025,-0.0797,0.9367,0
"220","TJR","Model Marsh","salinity","Polyhaline",120,"Year",-0.0199,0.0097,-2.0442,0.0432,-2
"221","WEL","WB","salinity","Polyhaline",265,"Year",0.0012,0.0047,0.2487,0.8038,0
"222","WQB","Section 2","salinity","Polyhaline",420,"Year",0.0104,0.0051,2.0621,0.0398,2
"223","WQB","Section 1","salinity","Polyhaline",307,"Year",0.013,0.0057,2.2599,0.0245,2
"224","WQB","Section 3","salinity","Polyhaline",331,"Year",0.0153,0.0062,2.4849,0.0135,2
