"","Reserve","SiteID","Region","Geomorphology","tidal_range","salinity","Metric","SampleSize","term","df","sumsq","meansq","statistic","pvalue"
"15","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Year",1,312.966,312.966,0.2525,0.6155
"16","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Residuals",546,676808.66,1239.5763,NA,1
"17","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Year",1,454618.6755,454618.6755,562.9751,0
"18","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Residuals",546,440910.8208,807.529,NA,1
"19","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",600,"Year",1,332062.8465,332062.8465,318.9415,0
"20","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",600,"Residuals",598,622601.9385,1041.1404,NA,1
"21","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Year",1,279266.9464,279266.9464,254.1698,0
"22","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",548,"Residuals",546,599912.986,1098.7417,NA,1
"23","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",601,"Year",1,160372.5182,160372.5182,153.0591,0
"24","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",601,"Residuals",599,627621.0876,1047.7814,NA,1
"25","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",60,"Year",1,132.0349,132.0349,2.7749,0.1011
"26","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",60,"Residuals",58,2759.7017,47.5811,NA,1
"27","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Year",1,1094.9079,1094.9079,1.9033,0.169
"28","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Residuals",238,136913.2449,575.2657,NA,1
"29","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",75,"Year",1,131.0216,131.0216,1.9965,0.1619
"30","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",75,"Residuals",73,4790.703,65.6261,NA,1
"31","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Live Cover",150,"Year",1,787.32,787.32,2.1317,0.1464
"32","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Live Cover",150,"Residuals",148,54662.1533,369.3389,NA,1
"33","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",399,"Year",1,590.7753,590.7753,1.2303,0.268
"34","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",399,"Residuals",397,190640.8386,480.2036,NA,1
"35","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Live Cover",349,"Year",1,0.1212,0.1212,3e-04,0.9852
"36","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Live Cover",349,"Residuals",347,121867.0708,351.2019,NA,1
"37","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",328,"Year",1,4277.5181,4277.5181,13.1734,3e-04
"38","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",328,"Residuals",326,105855.2624,324.7094,NA,1
"39","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",375,"Year",1,485.488,485.488,0.6718,0.4129
"40","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Live Cover",375,"Residuals",373,269553.5137,722.6636,NA,1
"41","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Live Cover",270,"Year",1,8461.0225,8461.0225,28.0982,0
"42","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Live Cover",270,"Residuals",268,80701.0239,301.1232,NA,1
"43","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Live Cover",270,"Year",1,846.4547,846.4547,1.9172,0.1673
"44","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Live Cover",270,"Residuals",268,118324.977,441.5111,NA,1
"45","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Year",1,313.4877,313.4877,0.2529,0.6152
"46","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Residuals",546,676715.817,1239.4063,NA,1
"47","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Year",1,453642.7571,453642.7571,560.7904,0
"48","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Residuals",546,441678.2721,808.9346,NA,1
"49","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",600,"Year",1,332062.8465,332062.8465,318.9415,0
"50","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",600,"Residuals",598,622601.9385,1041.1404,NA,1
"51","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Year",1,279266.9464,279266.9464,254.1698,0
"52","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Live Cover",548,"Residuals",546,599912.986,1098.7417,NA,1
"53","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Live Cover",601,"Year",1,160364.5163,160364.5163,153.0512,0
"54","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Live Cover",601,"Residuals",599,627622.4971,1047.7838,NA,1
"55","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Live Cover",60,"Year",1,132.3656,132.3656,2.7816,0.1007
"56","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Live Cover",60,"Residuals",58,2759.9966,47.5861,NA,1
"57","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Live Cover",240,"Year",1,1094.9599,1094.9599,1.9034,0.169
"58","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Live Cover",240,"Residuals",238,136912.5409,575.2628,NA,1
"59","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Live Cover",75,"Year",1,131.0216,131.0216,1.9965,0.1619
"60","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Live Cover",75,"Residuals",73,4790.703,65.6261,NA,1
"61","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Halophyte Cover",150,"Year",1,0,0,NA,1
"62","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Halophyte Cover",150,"Residuals",148,0,0,NA,1
"63","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",399,"Year",1,590.7753,590.7753,1.2303,0.268
"64","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",399,"Residuals",397,190640.8386,480.2036,NA,1
"65","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Halophyte Cover",349,"Year",1,0.1212,0.1212,3e-04,0.9852
"66","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Halophyte Cover",349,"Residuals",347,121867.0708,351.2019,NA,1
"67","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",328,"Year",1,4277.5181,4277.5181,13.1734,3e-04
"68","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",328,"Residuals",326,105855.2624,324.7094,NA,1
"69","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",375,"Year",1,485.488,485.488,0.6718,0.4129
"70","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Halophyte Cover",375,"Residuals",373,269553.5137,722.6636,NA,1
"71","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Halophyte Cover",270,"Year",1,8461.0225,8461.0225,28.0982,0
"72","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Halophyte Cover",270,"Residuals",268,80701.0239,301.1232,NA,1
"73","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Halophyte Cover",270,"Year",1,846.4547,846.4547,1.9172,0.1673
"74","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Halophyte Cover",270,"Residuals",268,118324.977,441.5111,NA,1
"75","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Year",1,331.0016,331.0016,0.2662,0.6061
"76","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Residuals",546,678914.8141,1243.4337,NA,1
"77","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Year",1,456755.649,456755.649,567.7789,0
"78","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Residuals",546,439235.4021,804.4604,NA,1
"79","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",600,"Year",1,346353.9454,346353.9454,334.2819,0
"80","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",600,"Residuals",598,619595.8396,1036.1134,NA,1
"81","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Year",1,284475.5474,284475.5474,260.6774,0
"82","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Halophyte Cover",548,"Residuals",546,595846.2921,1091.2936,NA,1
"83","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Halophyte Cover",601,"Year",1,166759.7336,166759.7336,157.8903,0
"84","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Halophyte Cover",601,"Residuals",599,632648.6321,1056.1747,NA,1
"85","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Halophyte Cover",60,"Year",1,4052.119,4052.119,26.7669,0
"86","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Halophyte Cover",60,"Residuals",58,8780.3681,151.3857,NA,1
"87","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Halophyte Cover",240,"Year",1,740.3369,740.3369,1.2529,0.2641
"88","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Halophyte Cover",240,"Residuals",238,140635.4938,590.9054,NA,1
"89","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Halophyte Cover",75,"Year",1,127.1257,127.1257,1.9322,0.1687
"90","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Halophyte Cover",75,"Residuals",73,4802.8528,65.7925,NA,1
"91","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Freshwater Cover",150,"Year",1,3152.5208,3152.5208,8.0319,0.0052
"92","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Freshwater Cover",150,"Residuals",148,58089.8125,392.4987,NA,1
"93","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",399,"Year",1,0,0,NA,1
"94","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",399,"Residuals",397,0,0,NA,1
"95","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Freshwater Cover",349,"Year",1,0,0,NA,1
"96","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Freshwater Cover",349,"Residuals",347,0,0,NA,1
"97","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",328,"Year",1,0,0,NA,1
"98","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",328,"Residuals",326,0,0,NA,1
"99","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",375,"Year",1,0,0,NA,1
"100","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Freshwater Cover",375,"Residuals",373,0,0,NA,1
"101","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Freshwater Cover",270,"Year",1,0,0,NA,1
"102","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Freshwater Cover",270,"Residuals",268,0,0,NA,1
"103","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Freshwater Cover",270,"Year",1,0,0,NA,1
"104","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Freshwater Cover",270,"Residuals",268,0,0,NA,1
"105","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Year",1,0,0,NA,1
"106","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Residuals",546,0,0,NA,1
"107","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Year",1,0,0,NA,1
"108","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Residuals",546,0,0,NA,1
"109","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",600,"Year",1,0,0,NA,1
"110","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",600,"Residuals",598,0,0,NA,1
"111","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Year",1,0,0,NA,1
"112","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Freshwater Cover",548,"Residuals",546,0,0,NA,1
"113","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Freshwater Cover",601,"Year",1,0,0,NA,1
"114","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Freshwater Cover",601,"Residuals",599,0,0,NA,1
"115","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Freshwater Cover",60,"Year",1,0,0,NA,1
"116","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Freshwater Cover",60,"Residuals",58,0,0,NA,1
"117","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Freshwater Cover",240,"Year",1,0,0,NA,1
"118","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Freshwater Cover",240,"Residuals",238,0,0,NA,1
"119","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Freshwater Cover",75,"Year",1,0,0,NA,1
"120","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Freshwater Cover",75,"Residuals",73,0,0,NA,1
"121","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","EMI",150,"Year",1,0,0,NA,1
"122","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","EMI",150,"Residuals",148,0,0,NA,1
"123","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","EMI",399,"Year",1,0.0591,0.0591,1.2303,0.268
"124","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","EMI",399,"Residuals",397,19.0641,0.048,NA,1
"125","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","EMI",349,"Year",1,0,0,3e-04,0.9852
"126","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","EMI",349,"Residuals",347,12.1867,0.0351,NA,1
"127","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","EMI",328,"Year",1,0.4278,0.4278,13.1734,3e-04
"128","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","EMI",328,"Residuals",326,10.5855,0.0325,NA,1
"129","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","EMI",375,"Year",1,0.0485,0.0485,0.6717,0.413
"130","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","EMI",375,"Residuals",373,26.9555,0.0723,NA,1
"131","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","EMI",270,"Year",1,0.822,0.822,25.0131,0
"132","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","EMI",270,"Residuals",268,8.8073,0.0329,NA,1
"133","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","EMI",270,"Year",1,0.0482,0.0482,1.0447,0.3076
"134","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","EMI",270,"Residuals",268,12.3771,0.0462,NA,1
"135","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Year",1,1.9608,1.9608,16.0855,1e-04
"136","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Residuals",546,66.558,0.1219,NA,1
"137","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Year",1,6.2063,6.2063,84.047,0
"138","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Residuals",546,40.3184,0.0738,NA,1
"139","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",600,"Year",1,3.1342,3.1342,29.1291,0
"140","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",600,"Residuals",598,64.3426,0.1076,NA,1
"141","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Year",1,9.7126,9.7126,89.8984,0
"142","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","EMI",548,"Residuals",546,58.9895,0.108,NA,1
"143","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","EMI",601,"Year",1,8.7518,8.7518,93.0775,0
"144","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","EMI",601,"Residuals",599,56.3219,0.094,NA,1
"145","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","EMI",60,"Year",1,0.0132,0.0132,2.775,0.1011
"146","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","EMI",60,"Residuals",58,0.276,0.0048,NA,1
"147","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","EMI",240,"Year",1,0.0018,0.0018,0.0969,0.7558
"148","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","EMI",240,"Residuals",238,4.4394,0.0187,NA,1
"149","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","EMI",75,"Year",1,0,0,0.0064,0.9367
"150","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","EMI",75,"Residuals",73,0.0675,9e-04,NA,1
"151","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Richness",150,"Year",1,230.5633,230.5633,38.2079,0
"152","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Richness",150,"Residuals",148,893.0967,6.0344,NA,1
"153","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Richness",399,"Year",1,3.5572,3.5572,11.6524,7e-04
"154","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Richness",399,"Residuals",397,121.1947,0.3053,NA,1
"155","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Richness",349,"Year",1,1.1357,1.1357,6.1646,0.0135
"156","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Richness",349,"Residuals",347,63.9302,0.1842,NA,1
"157","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Richness",328,"Year",1,1.1052,1.1052,25.2,0
"158","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Richness",328,"Residuals",326,14.2973,0.0439,NA,1
"159","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Richness",375,"Year",1,23.2058,23.2058,22.5439,0
"160","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Richness",375,"Residuals",373,383.9515,1.0294,NA,1
"161","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Richness",270,"Year",1,0.3931,0.3931,0.9703,0.3255
"162","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Richness",270,"Residuals",268,108.5736,0.4051,NA,1
"163","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Richness",270,"Year",1,0.0957,0.0957,0.1324,0.7163
"164","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Richness",270,"Residuals",268,193.7006,0.7228,NA,1
"165","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Year",1,53.869,53.869,43.8063,0
"166","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Residuals",546,671.4211,1.2297,NA,1
"167","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Year",1,234.4351,234.4351,238.4407,0
"168","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Residuals",546,536.8277,0.9832,NA,1
"169","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",600,"Year",1,156.225,156.225,131.1989,0
"170","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",600,"Residuals",598,712.0683,1.1907,NA,1
"171","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Year",1,140.3961,140.3961,134.5321,0
"172","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Richness",548,"Residuals",546,569.7991,1.0436,NA,1
"173","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Richness",601,"Year",1,0.0047,0.0047,0.037,0.8475
"174","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Richness",601,"Residuals",599,75.8722,0.1267,NA,1
"175","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Richness",60,"Year",1,23.3017,23.3017,14.4265,4e-04
"176","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Richness",60,"Residuals",58,93.6816,1.6152,NA,1
"177","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Richness",240,"Year",1,1e-04,1e-04,0,0.995
"178","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Richness",240,"Residuals",238,775.1624,3.257,NA,1
"179","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Richness",75,"Year",1,0.1067,0.1067,0.1868,0.6669
"180","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Richness",75,"Residuals",73,41.68,0.571,NA,1
"181","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",150,"Year",1,17.0081,17.0081,57.385,0
"182","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",150,"Residuals",148,43.8652,0.2964,NA,1
"183","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",399,"Year",1,1.7027,1.7027,51.9062,0
"184","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",399,"Residuals",397,13.0226,0.0328,NA,1
"185","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Shannon-Weiner Diversity",349,"Year",1,0.0347,0.0347,1.1311,0.2883
"186","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Shannon-Weiner Diversity",349,"Residuals",347,10.6575,0.0307,NA,1
"187","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",328,"Year",1,0,0,0.0713,0.7897
"188","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",328,"Residuals",326,0.0131,0,NA,1
"189","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",375,"Year",1,5.5168,5.5168,55.4,0
"190","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Shannon-Weiner Diversity",375,"Residuals",373,37.1439,0.0996,NA,1
"191","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Shannon-Weiner Diversity",270,"Year",1,0.2444,0.2444,4.2711,0.0397
"192","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Shannon-Weiner Diversity",270,"Residuals",268,15.3337,0.0572,NA,1
"193","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Shannon-Weiner Diversity",270,"Year",1,0.1443,0.1443,2.6198,0.1067
"194","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Shannon-Weiner Diversity",270,"Residuals",268,14.7663,0.0551,NA,1
"195","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Year",1,5.2209,5.2209,47.2919,0
"196","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Residuals",546,60.2776,0.1104,NA,1
"197","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Year",1,16.6009,16.6009,183.0196,0
"198","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Residuals",546,49.5254,0.0907,NA,1
"199","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",600,"Year",1,18.5123,18.5123,157.8782,0
"200","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",600,"Residuals",598,70.1197,0.1173,NA,1
"201","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Year",1,10.1544,10.1544,94.6038,0
