"","Reserve","SiteID","Metric","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue"
"36","NOC","MI","Abiotic Cover","Region","Southeast",3156,"Year",-0.9646,0.4118,-2.3423,0.0194
"37","NOC","MM","Abiotic Cover","Region","Southeast",2404,"Year",4.8921,0.3954,12.3717,0
"38","SOS","DM","Abiotic Cover","Region","West Coast",280,"Year",0,0,NA,1
"39","SOS","MM","Abiotic Cover","Region","West Coast",480,"Year",-0.1481,0.1187,-1.2476,0.2146
"40","SOS","HC","Abiotic Cover","Region","West Coast",488,"Year",0.0204,0.0113,1.8007,0.0743
"41","SOS","VM","Abiotic Cover","Region","West Coast",400,"Year",0.5124,0.3379,1.5164,0.1326
"42","SOS","VI","Abiotic Cover","Region","West Coast",240,"Year",0.0241,0.0233,1.0348,0.305
"43","SOS","MI","Abiotic Cover","Region","West Coast",240,"Year",0.354,0.2125,1.6658,0.1011
"44","TJR","McCoy North","Abiotic Cover","Region","West Coast",200,"Year",-0.3605,1.972,-0.1828,0.8557
"45","TJR","McCoy South","Abiotic Cover","Region","West Coast",960,"Year",1.59,0.7452,2.1336,0.0339
"46","TJR","South Beach","Abiotic Cover","Region","West Coast",840,"Year",0.3842,0.9055,0.4243,0.6718
"47","TJR","V1","Abiotic Cover","Region","West Coast",1080,"Year",1.3032,0.3628,3.5916,4e-04
"48","TJR","V3","Abiotic Cover","Region","West Coast",960,"Year",-0.7436,0.539,-1.3796,0.169
"49","TJR","V4","Abiotic Cover","Region","West Coast",960,"Year",-0.8342,0.3987,-2.0923,0.0375
"50","TJR","Brazo Creek","Abiotic Cover","Region","West Coast",192,"Year",-2.5517,1.9698,-1.2954,0.2016
"51","TJR","Horse Trail","Abiotic Cover","Region","West Coast",300,"Year",-0.9346,0.6614,-1.413,0.1619
"52","TJR","Model Marsh","Abiotic Cover","Region","West Coast",480,"Year",-2.3896,1.8067,-1.3226,0.1885
"53","WEL","WB","Abiotic Cover","Region","Northeast",1060,"Year",-0.1246,0.2521,-0.4943,0.6215
"54","WQB","Section 2","Abiotic Cover","Region","Northeast",1680,"Year",-0.0243,0.5248,-0.0463,0.9631
"55","WQB","Section 1","Abiotic Cover","Region","Northeast",1228,"Year",0.2457,0.6572,0.3738,0.7088
"56","WQB","Section 3","Abiotic Cover","Region","Northeast",1324,"Year",-0.1486,0.5319,-0.2793,0.7802
"57","ACE","EIN","Live Cover","Region","Southeast",568,"Year",1.0266,0.8342,1.2306,0.2205
"58","ACE","EIS","Live Cover","Region","Southeast",488,"Year",3.0081,0.8554,3.5168,6e-04
"59","APA","PC","Live Cover","Region","Gulf Coast",1384,"Year",-1.4134,0.6792,-2.081,0.0382
"60","CBM","MB","Live Cover","Region","Mid-Atlantic",640,"Year",1.9037,0.3327,5.7224,0
"61","CBM","OPC","Live Cover","Region","Mid-Atlantic",1676,"Year",2.7254,0.2664,10.2315,0
"62","DEL","SJR","Live Cover","Region","Mid-Atlantic",480,"Year",-1.9216,1.0438,-1.8409,0.0682
"63","ELK","Upper","Live Cover","Region","West Coast",240,"Year",-1.6885,1.7574,-0.9608,0.3407
"64","ELK","Lower","Live Cover","Region","West Coast",400,"Year",-2.1327,1.4259,-1.4957,0.138
"65","GND","spalt","Live Cover","Region","Gulf Coast",648,"Year",-6.1831,0.696,-8.8838,0
"66","GND","juro low","Live Cover","Region","Gulf Coast",840,"Year",-8.2882,0.835,-9.9261,0
"67","GND","juro high","Live Cover","Region","Gulf Coast",512,"Year",-6.3744,1.0488,-6.0776,0
"68","GND","juro mid","Live Cover","Region","Gulf Coast",960,"Year",-5.4971,0.8013,-6.8607,0
"69","GND","clmaj","Live Cover","Region","Gulf Coast",600,"Year",1.62,1.1096,1.46,0.1464
"70","GRB","SP","Live Cover","Region","Northeast",1964,"Year",0.2792,0.2902,0.962,0.3365
"71","GRB","GBF","Live Cover","Region","Northeast",1716,"Year",-0.0922,0.3688,-0.2501,0.8026
"72","GRB","BC","Live Cover","Region","Northeast",1316,"Year",-0.9726,0.3674,-2.6475,0.0085
"73","GTM","22","Live Cover","Region","Southeast",1596,"Year",0.5243,0.4727,1.1092,0.268
"74","GTM","0","Live Cover","Region","Southeast",1396,"Year",0.0082,0.4399,0.0186,0.9852
"75","GTM","40","Live Cover","Region","Southeast",1312,"Year",1.5523,0.4277,3.6295,3e-04
"76","GTM","1","Live Cover","Region","Southeast",1500,"Year",-0.4985,0.6082,-0.8196,0.4129
"77","GTM","46","Live Cover","Region","Southeast",1624,"Year",-0.4449,0.6237,-0.7134,0.476
"78","JAC","Central Segment","Live Cover","Region","Mid-Atlantic",1080,"Year",1.7301,0.3264,5.3008,0
"79","JAC","South Segment","Live Cover","Region","Mid-Atlantic",1080,"Year",0.5472,0.3952,1.3846,0.1673
"80","KAC","FR","Live Cover","Region","West Coast",2184,"Year",0.9314,0.3269,2.8496,0.0045
"81","KAC","BS","Live Cover","Region","West Coast",1384,"Year",0.9516,0.5607,1.6973,0.0906
"82","KAC","CP","Live Cover","Region","West Coast",1852,"Year",0.2054,0.5759,0.3567,0.7215
"83","KAC","SC","Live Cover","Region","West Coast",644,"Year",0.2939,0.5523,0.5321,0.5954
"84","MAR","MI-W","Live Cover","Region","Gulf Coast",2192,"Year",-0.2629,0.5228,-0.5029,0.6152
"85","MAR","HF1","Live Cover","Region","Gulf Coast",2192,"Year",-11.6503,0.492,-23.681,0
"86","MAR","HF2","Live Cover","Region","Gulf Coast",2400,"Year",-9.0587,0.5072,-17.8589,0
"87","MAR","HF3","Live Cover","Region","Gulf Coast",2192,"Year",-9.1453,0.5736,-15.9427,0
"88","NAR","Nag","Live Cover","Region","Northeast",1248,"Year",-1.5334,0.2409,-6.3659,0
"89","NAR","Coggeshall","Live Cover","Region","Northeast",1092,"Year",-1.9468,0.3146,-6.1883,0
"90","NIW","Segment A","Live Cover","Region","Southeast",1276,"Year",0.8227,0.4236,1.9421,0.053
"91","NIW","Segment B","Live Cover","Region","Southeast",1352,"Year",0.6177,0.4097,1.5077,0.1326
"92","NOC","MI","Live Cover","Region","Southeast",3156,"Year",0.9645,0.4118,2.3422,0.0194
"93","NOC","MM","Live Cover","Region","Southeast",2404,"Year",-4.892,0.3954,-12.3714,0
"94","SOS","DM","Live Cover","Region","West Coast",280,"Year",-4e-04,3e-04,-1.6613,0.1012
"95","SOS","MM","Live Cover","Region","West Coast",480,"Year",0.1484,0.1187,1.2497,0.2139
"96","SOS","HC","Live Cover","Region","West Coast",488,"Year",-0.0206,0.0113,-1.8215,0.071
"97","SOS","VM","Live Cover","Region","West Coast",400,"Year",-0.5127,0.3379,-1.5174,0.1324
"98","SOS","VI","Live Cover","Region","West Coast",240,"Year",-0.0243,0.0233,-1.0434,0.3011
"99","SOS","MI","Live Cover","Region","West Coast",240,"Year",-0.3545,0.2125,-1.6678,0.1007
"100","TJR","McCoy North","Live Cover","Region","West Coast",200,"Year",0.3606,1.9721,0.1829,0.8557
"101","TJR","McCoy South","Live Cover","Region","West Coast",960,"Year",-1.59,0.7452,-2.1336,0.0339
"102","TJR","South Beach","Live Cover","Region","West Coast",840,"Year",-0.3841,0.9055,-0.4242,0.6719
"103","TJR","V1","Live Cover","Region","West Coast",1080,"Year",-1.3031,0.3628,-3.5914,4e-04
"104","TJR","V3","Live Cover","Region","West Coast",960,"Year",0.7436,0.539,1.3796,0.169
"105","TJR","V4","Live Cover","Region","West Coast",960,"Year",0.834,0.3987,2.0918,0.0375
"106","TJR","Brazo Creek","Live Cover","Region","West Coast",192,"Year",2.5509,1.9699,1.2949,0.2018
"107","TJR","Horse Trail","Live Cover","Region","West Coast",300,"Year",0.9346,0.6614,1.413,0.1619
"108","TJR","Model Marsh","Live Cover","Region","West Coast",480,"Year",2.3895,1.8067,1.3226,0.1885
"109","WEL","WB","Live Cover","Region","Northeast",1060,"Year",0.1245,0.2521,0.4939,0.6218
"110","WQB","Section 2","Live Cover","Region","Northeast",1680,"Year",0.0245,0.5248,0.0467,0.9628
"111","WQB","Section 1","Live Cover","Region","Northeast",1228,"Year",-0.2454,0.6572,-0.3734,0.7091
"112","WQB","Section 3","Live Cover","Region","Northeast",1324,"Year",0.1489,0.5319,0.28,0.7796
"113","ACE","EIN","Halophyte Cover","Region","Southeast",568,"Year",1.0266,0.8342,1.2306,0.2205
"114","ACE","EIS","Halophyte Cover","Region","Southeast",488,"Year",3.0081,0.8554,3.5168,6e-04
"115","APA","PC","Halophyte Cover","Region","Gulf Coast",1384,"Year",-0.4504,0.8327,-0.5409,0.5889
"116","CBM","MB","Halophyte Cover","Region","Mid-Atlantic",640,"Year",1.308,0.3438,3.8043,2e-04
"117","CBM","OPC","Halophyte Cover","Region","Mid-Atlantic",1676,"Year",0,0,NA,1
"118","DEL","SJR","Halophyte Cover","Region","Mid-Atlantic",480,"Year",-0.7739,1.4006,-0.5526,0.5816
"119","ELK","Upper","Halophyte Cover","Region","West Coast",240,"Year",0.4192,0.6581,0.6369,0.5267
"120","ELK","Lower","Halophyte Cover","Region","West Coast",400,"Year",0,0,NA,1
"121","GND","spalt","Halophyte Cover","Region","Gulf Coast",648,"Year",0,0,NA,1
"122","GND","juro low","Halophyte Cover","Region","Gulf Coast",840,"Year",0,0,NA,1
"123","GND","juro high","Halophyte Cover","Region","Gulf Coast",512,"Year",-0.0255,0.0778,-0.3284,0.7432
"124","GND","juro mid","Halophyte Cover","Region","Gulf Coast",960,"Year",0.0975,0.0361,2.7017,0.0074
"125","GND","clmaj","Halophyte Cover","Region","Gulf Coast",600,"Year",0,0,NA,1
"126","GRB","SP","Halophyte Cover","Region","Northeast",1964,"Year",-0.1188,0.4102,-0.2895,0.7723
"127","GRB","GBF","Halophyte Cover","Region","Northeast",1716,"Year",0.0767,0.4622,0.1659,0.8684
"128","GRB","BC","Halophyte Cover","Region","Northeast",1316,"Year",-0.44,0.4444,-0.9902,0.3228
"129","GTM","22","Halophyte Cover","Region","Southeast",1596,"Year",0.5243,0.4727,1.1092,0.268
"130","GTM","0","Halophyte Cover","Region","Southeast",1396,"Year",0.0082,0.4399,0.0186,0.9852
"131","GTM","40","Halophyte Cover","Region","Southeast",1312,"Year",1.5523,0.4277,3.6295,3e-04
"132","GTM","1","Halophyte Cover","Region","Southeast",1500,"Year",-0.4985,0.6082,-0.8196,0.4129
"133","GTM","46","Halophyte Cover","Region","Southeast",1624,"Year",-2.2472,0.3382,-6.6452,0
"134","JAC","Central Segment","Halophyte Cover","Region","Mid-Atlantic",1080,"Year",1.7301,0.3264,5.3008,0
"135","JAC","South Segment","Halophyte Cover","Region","Mid-Atlantic",1080,"Year",0.5472,0.3952,1.3846,0.1673
"136","KAC","FR","Halophyte Cover","Region","West Coast",2184,"Year",0.6127,0.2949,2.0779,0.0382
"137","KAC","BS","Halophyte Cover","Region","West Coast",1384,"Year",1.1423,0.5608,2.037,0.0424
"138","KAC","CP","Halophyte Cover","Region","West Coast",1852,"Year",0.4092,0.5704,0.7174,0.4735
"139","KAC","SC","Halophyte Cover","Region","West Coast",644,"Year",0.8126,0.6725,1.2085,0.2287
"140","MAR","MI-W","Halophyte Cover","Region","Gulf Coast",2192,"Year",-0.2702,0.5236,-0.5159,0.6061
"141","MAR","HF1","Halophyte Cover","Region","Gulf Coast",2192,"Year",-11.6902,0.4906,-23.8281,0
"142","MAR","HF2","Halophyte Cover","Region","Gulf Coast",2400,"Year",-9.2515,0.506,-18.2834,0
"143","MAR","HF3","Halophyte Cover","Region","Gulf Coast",2192,"Year",-9.2302,0.5717,-16.1455,0
"144","NAR","Nag","Halophyte Cover","Region","Northeast",1248,"Year",-1.454,0.2409,-6.0367,0
"145","NAR","Coggeshall","Halophyte Cover","Region","Northeast",1092,"Year",-2.022,0.3119,-6.4826,0
"146","NIW","Segment A","Halophyte Cover","Region","Southeast",1276,"Year",0.9552,0.4251,2.2471,0.0253
"147","NIW","Segment B","Halophyte Cover","Region","Southeast",1352,"Year",0.872,0.4066,2.1444,0.0327
"148","NOC","MI","Halophyte Cover","Region","Southeast",3156,"Year",0.9645,0.4118,2.3422,0.0194
"149","NOC","MM","Halophyte Cover","Region","Southeast",2404,"Year",-4.9886,0.397,-12.5654,0
"150","SOS","DM","Halophyte Cover","Region","West Coast",280,"Year",0.4222,0.3914,1.0785,0.2846
"151","SOS","MM","Halophyte Cover","Region","West Coast",480,"Year",-0.0773,0.9128,-0.0847,0.9326
"152","SOS","HC","Halophyte Cover","Region","West Coast",488,"Year",1.136,0.6919,1.6417,0.1033
"153","SOS","VM","Halophyte Cover","Region","West Coast",400,"Year",-0.2499,0.7319,-0.3414,0.7335
"154","SOS","VI","Halophyte Cover","Region","West Coast",240,"Year",0.9959,0.3741,2.6623,0.01
"155","SOS","MI","Halophyte Cover","Region","West Coast",240,"Year",1.9614,0.3791,5.1737,0
"156","TJR","McCoy North","Halophyte Cover","Region","West Coast",200,"Year",0.3938,2.0001,0.1969,0.8447
"157","TJR","McCoy South","Halophyte Cover","Region","West Coast",960,"Year",-0.7217,0.8852,-0.8153,0.4157
"158","TJR","South Beach","Halophyte Cover","Region","West Coast",840,"Year",-0.6097,0.9414,-0.6477,0.5179
"159","TJR","V1","Halophyte Cover","Region","West Coast",1080,"Year",-1.3006,0.3629,-3.5839,4e-04
"160","TJR","V3","Halophyte Cover","Region","West Coast",960,"Year",0.6115,0.5463,1.1193,0.2641
"161","TJR","V4","Halophyte Cover","Region","West Coast",960,"Year",0.8364,0.3985,2.099,0.0369
"162","TJR","Brazo Creek","Halophyte Cover","Region","West Coast",192,"Year",1.9792,2.1331,0.9278,0.3583
"163","TJR","Horse Trail","Halophyte Cover","Region","West Coast",300,"Year",0.9206,0.6623,1.39,0.1687
"164","TJR","Model Marsh","Halophyte Cover","Region","West Coast",480,"Year",2.3895,1.8067,1.3226,0.1885
"165","WEL","WB","Halophyte Cover","Region","Northeast",1060,"Year",-0.2284,0.3445,-0.6629,0.508
"166","WQB","Section 2","Halophyte Cover","Region","Northeast",1680,"Year",-0.1282,0.5286,-0.2426,0.8084
"167","WQB","Section 1","Halophyte Cover","Region","Northeast",1228,"Year",-1.3683,0.6724,-2.0347,0.0427
"168","WQB","Section 3","Halophyte Cover","Region","Northeast",1324,"Year",-0.2967,0.6009,-0.4937,0.6219
"169","ACE","EIN","Freshwater Cover","Region","Southeast",568,"Year",0,0,NA,1
"170","ACE","EIS","Freshwater Cover","Region","Southeast",488,"Year",0,0,NA,1
"171","APA","PC","Freshwater Cover","Region","Gulf Coast",1384,"Year",-0.7154,0.2498,-2.864,0.0044
"172","CBM","MB","Freshwater Cover","Region","Mid-Atlantic",640,"Year",0,0,NA,1
"173","CBM","OPC","Freshwater Cover","Region","Mid-Atlantic",1676,"Year",2.5235,0.2583,9.7681,0
"174","DEL","SJR","Freshwater Cover","Region","Mid-Atlantic",480,"Year",0,0,NA,1
"175","ELK","Upper","Freshwater Cover","Region","West Coast",240,"Year",0,0,NA,1
"176","ELK","Lower","Freshwater Cover","Region","West Coast",400,"Year",0,0,NA,1
"177","GND","spalt","Freshwater Cover","Region","Gulf Coast",648,"Year",0,0,NA,1
"178","GND","juro low","Freshwater Cover","Region","Gulf Coast",840,"Year",0,0,NA,1
"179","GND","juro high","Freshwater Cover","Region","Gulf Coast",512,"Year",0.0787,0.2518,0.3125,0.7552
"180","GND","juro mid","Freshwater Cover","Region","Gulf Coast",960,"Year",-0.1768,0.4375,-0.4041,0.6865
"181","GND","clmaj","Freshwater Cover","Region","Gulf Coast",600,"Year",-3.2417,1.1438,-2.8341,0.0052
"182","GRB","SP","Freshwater Cover","Region","Northeast",1964,"Year",-0.0035,0.1234,-0.0286,0.9772
"183","GRB","GBF","Freshwater Cover","Region","Northeast",1716,"Year",-0.2107,0.1035,-2.035,0.0425
"184","GRB","BC","Freshwater Cover","Region","Northeast",1316,"Year",-0.305,0.116,-2.6288,0.009
"185","GTM","22","Freshwater Cover","Region","Southeast",1596,"Year",0,0,NA,1
"186","GTM","0","Freshwater Cover","Region","Southeast",1396,"Year",0,0,NA,1
"187","GTM","40","Freshwater Cover","Region","Southeast",1312,"Year",0,0,NA,1
"188","GTM","1","Freshwater Cover","Region","Southeast",1500,"Year",0,0,NA,1
"189","GTM","46","Freshwater Cover","Region","Southeast",1624,"Year",0.9313,0.1695,5.4954,0
"190","JAC","Central Segment","Freshwater Cover","Region","Mid-Atlantic",1080,"Year",0,0,NA,1
"191","JAC","South Segment","Freshwater Cover","Region","Mid-Atlantic",1080,"Year",0,0,NA,1
"192","KAC","FR","Freshwater Cover","Region","West Coast",2184,"Year",0.0855,0.0765,1.1178,0.2641
"193","KAC","BS","Freshwater Cover","Region","West Coast",1384,"Year",0.1906,0.252,0.7563,0.45
"194","KAC","CP","Freshwater Cover","Region","West Coast",1852,"Year",-0.0179,0.0245,-0.7309,0.4652
"195","KAC","SC","Freshwater Cover","Region","West Coast",644,"Year",0,0,NA,1
"196","MAR","MI-W","Freshwater Cover","Region","Gulf Coast",2192,"Year",0,0,NA,1
"197","MAR","HF1","Freshwater Cover","Region","Gulf Coast",2192,"Year",0,0,NA,1
"198","MAR","HF2","Freshwater Cover","Region","Gulf Coast",2400,"Year",0,0,NA,1
"199","MAR","HF3","Freshwater Cover","Region","Gulf Coast",2192,"Year",0,0,NA,1
"200","NAR","Nag","Freshwater Cover","Region","Northeast",1248,"Year",0,0,NA,1
"201","NAR","Coggeshall","Freshwater Cover","Region","Northeast",1092,"Year",0,0,NA,1
"202","NIW","Segment A","Freshwater Cover","Region","Southeast",1276,"Year",0.041,0.0318,1.2896,0.1981
"203","NIW","Segment B","Freshwater Cover","Region","Southeast",1352,"Year",-0.088,0.0479,-1.8368,0.0671
"204","NOC","MI","Freshwater Cover","Region","Southeast",3156,"Year",0,0,NA,1
"205","NOC","MM","Freshwater Cover","Region","Southeast",2404,"Year",0,0,NA,1
"206","SOS","DM","Freshwater Cover","Region","West Coast",280,"Year",-0.089,0.1387,-0.6418,0.5232
"207","SOS","MM","Freshwater Cover","Region","West Coast",480,"Year",0,0,NA,1
"208","SOS","HC","Freshwater Cover","Region","West Coast",488,"Year",0.1518,0.0929,1.6351,0.1047
"209","SOS","VM","Freshwater Cover","Region","West Coast",400,"Year",0.0031,0.015,0.2038,0.8389
"210","SOS","VI","Freshwater Cover","Region","West Coast",240,"Year",0,0,NA,1
"211","SOS","MI","Freshwater Cover","Region","West Coast",240,"Year",0,0,NA,1
"212","TJR","McCoy North","Freshwater Cover","Region","West Coast",200,"Year",0,0,NA,1
"213","TJR","McCoy South","Freshwater Cover","Region","West Coast",960,"Year",0,0,NA,1
"214","TJR","South Beach","Freshwater Cover","Region","West Coast",840,"Year",0,0,NA,1
"215","TJR","V1","Freshwater Cover","Region","West Coast",1080,"Year",0,0,NA,1
"216","TJR","V3","Freshwater Cover","Region","West Coast",960,"Year",0,0,NA,1
"217","TJR","V4","Freshwater Cover","Region","West Coast",960,"Year",0,0,NA,1
"218","TJR","Brazo Creek","Freshwater Cover","Region","West Coast",192,"Year",0,0,NA,1
"219","TJR","Horse Trail","Freshwater Cover","Region","West Coast",300,"Year",0,0,NA,1
"220","TJR","Model Marsh","Freshwater Cover","Region","West Coast",480,"Year",0,0,NA,1
"221","WEL","WB","Freshwater Cover","Region","Northeast",1060,"Year",0.0152,0.0958,0.1581,0.8745
"222","WQB","Section 2","Freshwater Cover","Region","Northeast",1680,"Year",0,0,NA,1
"223","WQB","Section 1","Freshwater Cover","Region","Northeast",1228,"Year",0.3622,0.1528,2.3696,0.0184
"224","WQB","Section 3","Freshwater Cover","Region","Northeast",1324,"Year",-0.0505,0.0244,-2.0735,0.0389
"225","ACE","EIN","EMI","Region","Southeast",568,"Year",0.0109,0.0083,1.3162,0.1903
"226","ACE","EIS","EMI","Region","Southeast",488,"Year",0.0301,0.0086,3.52,6e-04
"227","APA","PC","EMI","Region","Gulf Coast",1384,"Year",0.0045,0.0059,0.7621,0.4465
"228","CBM","MB","EMI","Region","Mid-Atlantic",640,"Year",0,0.0052,9e-04,0.9992
"229","CBM","OPC","EMI","Region","Mid-Atlantic",1676,"Year",0.0087,0.0015,5.6721,0
"230","DEL","SJR","EMI","Region","Mid-Atlantic",480,"Year",0.0101,0.0159,0.6331,0.5279
"231","ELK","Upper","EMI","Region","West Coast",240,"Year",0.0096,0.0251,0.3829,0.7032
"232","ELK","Lower","EMI","Region","West Coast",400,"Year",0.0091,0.0141,0.6429,0.5218
"233","GND","spalt","EMI","Region","Gulf Coast",648,"Year",0.0583,0.0074,7.8617,0
"234","GND","juro low","EMI","Region","Gulf Coast",840,"Year",0.0819,0.0091,9.0293,0
"235","GND","juro high","EMI","Region","Gulf Coast",512,"Year",0.0642,0.0106,6.0762,0
"236","GND","juro mid","EMI","Region","Gulf Coast",960,"Year",0.0465,0.0093,5.0213,0
"237","GND","clmaj","EMI","Region","Gulf Coast",600,"Year",0,0,NA,1
"238","GRB","SP","EMI","Region","Northeast",1964,"Year",0.0151,0.0039,3.8623,1e-04
"239","GRB","GBF","EMI","Region","Northeast",1716,"Year",0.0086,0.0046,1.8791,0.0609
"240","GRB","BC","EMI","Region","Northeast",1316,"Year",0.0127,0.0045,2.8018,0.0054
"241","GTM","22","EMI","Region","Southeast",1596,"Year",-0.0052,0.0047,-1.1092,0.268
"242","GTM","0","EMI","Region","Southeast",1396,"Year",-1e-04,0.0044,-0.0186,0.9852
"243","GTM","40","EMI","Region","Southeast",1312,"Year",-0.0155,0.0043,-3.6295,3e-04
"244","GTM","1","EMI","Region","Southeast",1500,"Year",0.005,0.0061,0.8196,0.413
"245","GTM","46","EMI","Region","Southeast",1624,"Year",-7e-04,0.0064,-0.103,0.918
"246","JAC","Central Segment","EMI","Region","Mid-Atlantic",1080,"Year",-0.0171,0.0034,-5.0013,0
"247","JAC","South Segment","EMI","Region","Mid-Atlantic",1080,"Year",-0.0041,0.004,-1.0221,0.3076
"248","KAC","FR","EMI","Region","West Coast",2184,"Year",-7e-04,0.0027,-0.2714,0.7862
"249","KAC","BS","EMI","Region","West Coast",1384,"Year",0.0018,0.0036,0.518,0.6048
"250","KAC","CP","EMI","Region","West Coast",1852,"Year",0.0021,0.0011,1.8276,0.0683
"251","KAC","SC","EMI","Region","West Coast",644,"Year",0.0065,0.007,0.9353,0.351
"252","MAR","MI-W","EMI","Region","Gulf Coast",2192,"Year",-0.0208,0.0052,-4.0107,1e-04
"253","MAR","HF1","EMI","Region","Gulf Coast",2192,"Year",0.0431,0.0047,9.1677,0
"254","MAR","HF2","EMI","Region","Gulf Coast",2400,"Year",0.0278,0.0052,5.3971,0
"255","MAR","HF3","EMI","Region","Gulf Coast",2192,"Year",0.0539,0.0057,9.4815,0
"256","NAR","Nag","EMI","Region","Northeast",1248,"Year",0.017,0.0048,3.5205,5e-04
"257","NAR","Coggeshall","EMI","Region","Northeast",1092,"Year",0.0089,0.0045,1.9913,0.0474
"258","NIW","Segment A","EMI","Region","Southeast",1276,"Year",-0.0089,0.0038,-2.319,0.021
"259","NIW","Segment B","EMI","Region","Southeast",1352,"Year",-0.0075,0.0041,-1.8222,0.0693
"260","NOC","MI","EMI","Region","Southeast",3156,"Year",-0.0073,0.0038,-1.9252,0.0546
"261","NOC","MM","EMI","Region","Southeast",2404,"Year",0.0361,0.0037,9.6477,0
"262","SOS","DM","EMI","Region","West Coast",280,"Year",0.0043,0.0026,1.6562,0.1023
"263","SOS","MM","EMI","Region","West Coast",480,"Year",0.0012,0.0054,0.2161,0.8293
"264","SOS","HC","EMI","Region","West Coast",488,"Year",-0.003,0.0039,-0.7587,0.4495
"265","SOS","VM","EMI","Region","West Coast",400,"Year",0.0061,0.0071,0.8642,0.3896
"266","SOS","VI","EMI","Region","West Coast",240,"Year",2e-04,2e-04,1.0348,0.305
