"","Reserve","SiteID","Vegetation_Zone","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"68","NIW","Segment A","Up","Abiotic Cover",25,"Year",2.1643,1.5815,1.3685,0.1844
"69","NIW","Segment B","Mid","Abiotic Cover",78,"Year",0.9881,0.7611,1.2983,0.1981
"70","NIW","Segment B","Low","Abiotic Cover",260,"Year",-1.134,0.4643,-2.4425,0.0153
"71","NOC","MI","Low","Abiotic Cover",681,"Year",-0.7701,0.4468,-1.7234,0.0853
"72","NOC","MI","Mid","Abiotic Cover",108,"Year",-2.1897,0.7769,-2.8184,0.0058
"73","NOC","MM","Low","Abiotic Cover",601,"Year",4.8921,0.3954,12.3717,0
"74","SOS","DM","Low","Abiotic Cover",19,"Year",0,0,NA,1
"75","SOS","DM","Mid","Abiotic Cover",51,"Year",0,0,NA,1
"76","SOS","MM","Low","Abiotic Cover",60,"Year",0.1666,0.1945,0.8566,0.3952
"77","SOS","MM","Mid","Abiotic Cover",60,"Year",-0.4628,0.126,-3.6732,5e-04
"78","SOS","HC","Mid","Abiotic Cover",92,"Year",0.0116,0.0109,1.0622,0.291
"79","SOS","HC","Low","Abiotic Cover",30,"Year",0.0475,0.0328,1.4474,0.1589
"80","SOS","VM","Mid","Abiotic Cover",40,"Year",0.0345,0.0424,0.8137,0.4209
"81","SOS","VM","Low","Abiotic Cover",60,"Year",0.831,0.5575,1.4906,0.1415
"82","SOS","VI","Low","Abiotic Cover",54,"Year",0.0267,0.0258,1.0349,0.3055
"83","SOS","VI","Mid","Abiotic Cover",6,"Year",0,0,NA,1
"84","SOS","MI","Low","Abiotic Cover",60,"Year",0.354,0.2125,1.6658,0.1011
"85","TJR","McCoy North","Mid","Abiotic Cover",40,"Year",0.1862,2.1341,0.0872,0.9309
"86","TJR","McCoy North","Up","Abiotic Cover",10,"Year",-2.5473,1.2989,-1.9611,0.0855
"87","TJR","McCoy South","Up","Abiotic Cover",90,"Year",2.5629,0.924,2.7737,0.0068
"88","TJR","McCoy South","Mid","Abiotic Cover",90,"Year",0.8309,0.9598,0.8657,0.389
"89","TJR","McCoy South","Low","Abiotic Cover",60,"Year",1.2694,0.9475,1.3398,0.1855
"90","TJR","South Beach","Mid","Abiotic Cover",180,"Year",0.3715,0.9849,0.3772,0.7065
"91","TJR","South Beach","Up","Abiotic Cover",30,"Year",0.4606,0.5827,0.7904,0.4359
"92","TJR","V1","Low","Abiotic Cover",40,"Year",-0.4227,0.9155,-0.4618,0.6469
"93","TJR","V1","Mid","Abiotic Cover",160,"Year",2.0759,0.5141,4.038,1e-04
"94","TJR","V1","Up","Abiotic Cover",70,"Year",0.5232,0.299,1.7496,0.0847
"95","TJR","V3","Mid","Abiotic Cover",240,"Year",-0.7436,0.539,-1.3796,0.169
"96","TJR","V4","Mid","Abiotic Cover",230,"Year",-0.8067,0.4142,-1.9475,0.0527
"97","TJR","V4","Low","Abiotic Cover",10,"Year",-1.4659,0.7604,-1.9278,0.09
"98","TJR","Brazo Creek","Mid","Abiotic Cover",40,"Year",-1.879,1.5697,-1.197,0.2387
"99","TJR","Brazo Creek","Up","Abiotic Cover",8,"Year",-5.915,8.3623,-0.7073,0.5059
"100","TJR","Horse Trail","Mid","Abiotic Cover",75,"Year",-0.9346,0.6614,-1.413,0.1619
"101","TJR","Model Marsh","Mid","Abiotic Cover",105,"Year",-2.1205,2.0043,-1.058,0.2926
"102","TJR","Model Marsh","Low","Abiotic Cover",15,"Year",-4.2733,3.1809,-1.3435,0.2021
"103","WEL","WB","Low","Abiotic Cover",53,"Year",0.1214,0.6125,0.1983,0.8436
"104","WEL","WB","Mid","Abiotic Cover",159,"Year",-0.3005,0.3539,-0.8489,0.3972
"105","WEL","WB","Up","Abiotic Cover",53,"Year",0.1568,0.1603,0.9785,0.3325
"106","WQB","Section 2","Low","Abiotic Cover",216,"Year",-0.696,0.8099,-0.8593,0.3911
"107","WQB","Section 2","Mid","Abiotic Cover",180,"Year",0.614,0.3769,1.6292,0.105
"108","WQB","Section 2","Up","Abiotic Cover",24,"Year",2.0225,0.8354,2.421,0.0242
"109","WQB","Section 1","Mid","Abiotic Cover",36,"Year",2.2391,0.9425,2.3757,0.0233
"110","WQB","Section 1","Low","Abiotic Cover",251,"Year",0.238,0.7542,0.3156,0.7526
"111","WQB","Section 3","Mid","Abiotic Cover",195,"Year",0.6211,0.5012,1.2392,0.2168
"112","WQB","Section 3","Up","Abiotic Cover",45,"Year",-1.673,0.807,-2.0732,0.0442
"113","WQB","Section 3","Low","Abiotic Cover",91,"Year",-0.2807,1.0852,-0.2587,0.7965
"114","WQB","Section 1","Up","Abiotic Cover",20,"Year",0.3855,3.0541,0.1262,0.901
"115","ACE","EIN","Mid","Live Cover",107,"Year",1.0237,0.9981,1.0257,0.3074
"116","ACE","EIN","Low","Live Cover",35,"Year",1.1173,1.3107,0.8524,0.4001
"117","ACE","EIS","Mid","Live Cover",117,"Year",3.0593,0.8741,3.4998,7e-04
"118","ACE","EIS","Low","Live Cover",5,"Year",0.7788,4.0665,0.1915,0.8603
"119","APA","PC","Low","Live Cover",138,"Year",-1.7188,1.1325,-1.5177,0.1314
"120","APA","PC","Mid","Live Cover",195,"Year",-1.4879,0.9,-1.6532,0.0999
"121","APA","PC","Up","Live Cover",13,"Year",1.7343,1.0473,1.6561,0.1259
"122","CBM","MB","Low","Live Cover",121,"Year",2.0275,0.3042,6.665,0
"123","CBM","MB","Mid","Live Cover",39,"Year",1.7177,0.9563,1.7962,0.0806
"124","CBM","OPC","Low","Live Cover",154,"Year",3.3952,0.499,6.8037,0
"125","CBM","OPC","Mid","Live Cover",265,"Year",2.3273,0.3036,7.6644,0
"126","DEL","SJR","Up","Live Cover",4,"Year",-2.25,1.299,-1.7321,0.2254
"127","DEL","SJR","Low","Live Cover",32,"Year",-2.2793,1.7331,-1.3152,0.1984
"128","DEL","SJR","Mid","Live Cover",84,"Year",-1.7696,1.0698,-1.6543,0.1019
"129","ELK","Upper","Up","Live Cover",6,"Year",-9.005,5.6815,-1.585,0.1882
"130","ELK","Upper","Low","Live Cover",45,"Year",-1.0506,2.1773,-0.4825,0.6319
"131","ELK","Lower","Up","Live Cover",8,"Year",0.001,8e-04,1.2083,0.2724
"132","ELK","Lower","Low","Live Cover",90,"Year",-2.1109,1.535,-1.3752,0.1726
"133","ELK","Upper","Mid","Live Cover",9,"Year",0,0,0.9165,0.3899
"134","GND","spalt","Low","Live Cover",96,"Year",-4.3045,0.9077,-4.7423,0
"135","GND","spalt","Mid","Live Cover",66,"Year",-8.9156,0.9931,-8.9777,0
"136","GND","juro low","Low","Live Cover",36,"Year",-6.3095,1.9692,-3.204,0.0029
"137","GND","juro low","Mid","Live Cover",174,"Year",-8.6975,0.9187,-9.4672,0
"138","GND","juro high","Mid","Live Cover",116,"Year",-7.0516,1.046,-6.7416,0
"139","GND","juro high","Low","Live Cover",12,"Year",0.0071,2.4559,0.0029,0.9977
"140","GND","juro mid","Mid","Live Cover",204,"Year",-5.742,0.7915,-7.2547,0
"141","GND","juro mid","Low","Live Cover",18,"Year",-0.1286,2.9639,-0.0434,0.9659
"142","GND","juro mid","Up","Live Cover",18,"Year",-8.0905,3.0537,-2.6494,0.0175
"143","GND","clmaj","Up","Live Cover",150,"Year",1.62,1.1096,1.46,0.1464
"144","GRB","SP","Low","Live Cover",66,"Year",-2.1152,0.7535,-2.8071,0.0066
"145","GRB","SP","Mid","Live Cover",363,"Year",0.6635,0.3465,1.9147,0.0563
"146","GRB","SP","Up","Live Cover",62,"Year",0.6926,0.5177,1.3377,0.186
"147","GRB","GBF","Low","Live Cover",66,"Year",-0.4001,1.006,-0.3977,0.6921
"148","GRB","GBF","Mid","Live Cover",297,"Year",-0.0645,0.3665,-0.1761,0.8604
"149","GRB","GBF","Up","Live Cover",66,"Year",0.091,0.8126,0.112,0.9112
"150","GRB","BC","Low","Live Cover",109,"Year",-0.503,0.6596,-0.7626,0.4474
"151","GRB","BC","Mid","Live Cover",154,"Year",-1.1677,0.4928,-2.3697,0.0191
"152","GRB","BC","Up","Live Cover",66,"Year",-1.2504,0.6576,-1.9016,0.0617
"153","GTM","22","Low","Live Cover",399,"Year",0.5243,0.4727,1.1092,0.268
"154","GTM","0","Low","Live Cover",349,"Year",0.0082,0.4399,0.0186,0.9852
"155","GTM","40","Low","Live Cover",328,"Year",1.5523,0.4277,3.6295,3e-04
"156","GTM","1","Low","Live Cover",375,"Year",-0.4985,0.6082,-0.8196,0.4129
"157","GTM","46","Low","Live Cover",388,"Year",-0.7897,0.6735,-1.1725,0.2417
"158","JAC","Central Segment","Low","Live Cover",270,"Year",1.7301,0.3264,5.3008,0
"159","JAC","South Segment","Low","Live Cover",270,"Year",0.5472,0.3952,1.3846,0.1673
"160","KAC","FR","Mid","Live Cover",416,"Year",0.7221,0.3425,2.1082,0.0356
"161","KAC","FR","Low","Live Cover",112,"Year",1.5587,0.7572,2.0584,0.0419
"162","KAC","FR","Up","Live Cover",18,"Year",1.8212,1.5151,1.2021,0.2468
"163","KAC","BS","Low","Live Cover",322,"Year",0.9852,0.58,1.6987,0.0904
"164","KAC","BS","Mid","Live Cover",12,"Year",0.5016,0.8413,0.5962,0.5643
"165","KAC","BS","Up","Live Cover",12,"Year",0.3346,0.2312,1.4472,0.1785
"166","KAC","CP","Mid","Live Cover",313,"Year",0.2729,0.7053,0.3869,0.6991
"167","KAC","CP","Low","Live Cover",150,"Year",0.2162,0.9554,0.2263,0.8213
"168","KAC","SC","Low","Live Cover",81,"Year",0.463,0.9632,0.4806,0.6321
"169","KAC","SC","Mid","Live Cover",80,"Year",0.1692,0.4815,0.3515,0.7262
"170","MAR","MI-W","Low","Live Cover",548,"Year",-0.2629,0.5228,-0.5029,0.6152
"171","MAR","HF1","Low","Live Cover",548,"Year",-11.6503,0.492,-23.681,0
"172","MAR","HF2","Low","Live Cover",600,"Year",-9.0587,0.5072,-17.8589,0
"173","MAR","HF3","Low","Live Cover",548,"Year",-9.1453,0.5736,-15.9427,0
"174","NAR","Nag","Low","Live Cover",65,"Year",-3.2656,0.5168,-6.3187,0
"175","NAR","Nag","Mid","Live Cover",208,"Year",-1.1106,0.29,-3.8302,2e-04
"176","NAR","Nag","Up","Live Cover",39,"Year",-0.9013,0.5104,-1.7658,0.0857
"177","NAR","Coggeshall","Mid","Live Cover",143,"Year",-2.176,0.4223,-5.1527,0
"178","NAR","Coggeshall","Low","Live Cover",91,"Year",-1.7569,0.5571,-3.1538,0.0022
"179","NAR","Coggeshall","Up","Live Cover",39,"Year",-1.5499,0.7981,-1.942,0.0598
"180","NIW","Segment A","Mid","Live Cover",130,"Year",0.1512,0.6458,0.2341,0.8153
"181","NIW","Segment A","Low","Live Cover",164,"Year",1.747,0.5364,3.2572,0.0014
"182","NIW","Segment A","Up","Live Cover",25,"Year",-2.6614,1.6851,-1.5794,0.1279
"183","NIW","Segment B","Mid","Live Cover",78,"Year",-1.1035,0.7825,-1.4102,0.1626
"184","NIW","Segment B","Low","Live Cover",260,"Year",1.134,0.4643,2.4426,0.0153
"185","NOC","MI","Low","Live Cover",681,"Year",0.7701,0.4468,1.7234,0.0853
"186","NOC","MI","Mid","Live Cover",108,"Year",2.1895,0.777,2.818,0.0058
"187","NOC","MM","Low","Live Cover",601,"Year",-4.892,0.3954,-12.3714,0
"188","SOS","DM","Low","Live Cover",19,"Year",-2e-04,6e-04,-0.3953,0.6976
"189","SOS","DM","Mid","Live Cover",51,"Year",-6e-04,3e-04,-1.7466,0.087
"190","SOS","MM","Low","Live Cover",60,"Year",-0.1663,0.1945,-0.8553,0.3959
"191","SOS","MM","Mid","Live Cover",60,"Year",0.4631,0.126,3.6739,5e-04
"192","SOS","HC","Mid","Live Cover",92,"Year",-0.0118,0.0109,-1.0797,0.2832
"193","SOS","HC","Low","Live Cover",30,"Year",-0.0479,0.0328,-1.4619,0.1549
"194","SOS","VM","Mid","Live Cover",40,"Year",-0.0351,0.0424,-0.8272,0.4133
"195","SOS","VM","Low","Live Cover",60,"Year",-0.8312,0.5575,-1.4909,0.1414
"196","SOS","VI","Low","Live Cover",54,"Year",-0.0271,0.0258,-1.0494,0.2988
"197","SOS","VI","Mid","Live Cover",6,"Year",0.0013,9e-04,1.4301,0.2259
"198","SOS","MI","Low","Live Cover",60,"Year",-0.3545,0.2125,-1.6678,0.1007
"199","TJR","McCoy North","Mid","Live Cover",40,"Year",-0.186,2.1342,-0.0872,0.931
"200","TJR","McCoy North","Up","Live Cover",10,"Year",2.5473,1.2989,1.9611,0.0855
"201","TJR","McCoy South","Up","Live Cover",90,"Year",-2.5629,0.924,-2.7738,0.0068
"202","TJR","McCoy South","Mid","Live Cover",90,"Year",-0.8309,0.9597,-0.8657,0.389
"203","TJR","McCoy South","Low","Live Cover",60,"Year",-1.2693,0.9474,-1.3397,0.1856
"204","TJR","South Beach","Mid","Live Cover",180,"Year",-0.3714,0.9849,-0.3771,0.7066
"205","TJR","South Beach","Up","Live Cover",30,"Year",-0.4606,0.5827,-0.7904,0.4359
"206","TJR","V1","Low","Live Cover",40,"Year",0.4227,0.9155,0.4618,0.6469
"207","TJR","V1","Mid","Live Cover",160,"Year",-2.0759,0.5141,-4.0381,1e-04
"208","TJR","V1","Up","Live Cover",70,"Year",-0.5229,0.299,-1.7485,0.0849
"209","TJR","V3","Mid","Live Cover",240,"Year",0.7436,0.539,1.3796,0.169
"210","TJR","V4","Mid","Live Cover",230,"Year",0.8065,0.4142,1.9471,0.0528
"211","TJR","V4","Low","Live Cover",10,"Year",1.4655,0.7603,1.9274,0.0901
"212","TJR","Brazo Creek","Mid","Live Cover",40,"Year",1.8785,1.5698,1.1967,0.2388
"213","TJR","Brazo Creek","Up","Live Cover",8,"Year",5.913,8.363,0.707,0.5061
"214","TJR","Horse Trail","Mid","Live Cover",75,"Year",0.9346,0.6614,1.413,0.1619
"215","TJR","Model Marsh","Mid","Live Cover",105,"Year",2.1204,2.0043,1.0579,0.2926
"216","TJR","Model Marsh","Low","Live Cover",15,"Year",4.2733,3.1809,1.3435,0.2021
"217","WEL","WB","Low","Live Cover",53,"Year",-0.1216,0.6125,-0.1986,0.8434
"218","WEL","WB","Mid","Live Cover",159,"Year",0.3003,0.3539,0.8486,0.3974
"219","WEL","WB","Up","Live Cover",53,"Year",-0.1567,0.1603,-0.9778,0.3328
"220","WQB","Section 2","Low","Live Cover",216,"Year",0.6961,0.81,0.8594,0.3911
"221","WQB","Section 2","Mid","Live Cover",180,"Year",-0.6136,0.3769,-1.6282,0.1052
"222","WQB","Section 2","Up","Live Cover",24,"Year",-2.0224,0.8351,-2.4216,0.0241
"223","WQB","Section 1","Mid","Live Cover",36,"Year",-2.2388,0.9425,-2.3754,0.0233
"224","WQB","Section 1","Low","Live Cover",251,"Year",-0.2379,0.7542,-0.3154,0.7527
"225","WQB","Section 3","Mid","Live Cover",195,"Year",-0.6207,0.5012,-1.2384,0.2171
"226","WQB","Section 3","Up","Live Cover",45,"Year",1.6734,0.8068,2.0741,0.0441
"227","WQB","Section 3","Low","Live Cover",91,"Year",0.2809,1.0852,0.2589,0.7963
"228","WQB","Section 1","Up","Live Cover",20,"Year",-0.3855,3.0535,-0.1263,0.9009
"229","ACE","EIN","Mid","Halophyte Cover",107,"Year",1.0237,0.9981,1.0257,0.3074
"230","ACE","EIN","Low","Halophyte Cover",35,"Year",1.1173,1.3107,0.8524,0.4001
"231","ACE","EIS","Mid","Halophyte Cover",117,"Year",3.0593,0.8741,3.4998,7e-04
"232","ACE","EIS","Low","Halophyte Cover",5,"Year",0.7788,4.0665,0.1915,0.8603
"233","APA","PC","Low","Halophyte Cover",138,"Year",-0.1553,1.6544,-0.0939,0.9253
"234","APA","PC","Mid","Halophyte Cover",195,"Year",0.3943,0.5342,0.7381,0.4614
"235","APA","PC","Up","Halophyte Cover",13,"Year",-7.0539,2.9429,-2.3969,0.0354
"236","CBM","MB","Low","Halophyte Cover",121,"Year",1.6075,0.3101,5.1844,0
"237","CBM","MB","Mid","Halophyte Cover",39,"Year",0.4681,1.0327,0.4533,0.653
"238","CBM","OPC","Low","Halophyte Cover",154,"Year",0,0,NA,1
"239","CBM","OPC","Mid","Halophyte Cover",265,"Year",0,0,NA,1
"240","DEL","SJR","Up","Halophyte Cover",4,"Year",0,0,NA,1
"241","DEL","SJR","Low","Halophyte Cover",32,"Year",-2.2793,1.7331,-1.3152,0.1984
"242","DEL","SJR","Mid","Halophyte Cover",84,"Year",-0.2373,1.741,-0.1363,0.8919
"243","ELK","Upper","Up","Halophyte Cover",6,"Year",4.1918,5.4972,0.7625,0.4882
"244","ELK","Upper","Low","Halophyte Cover",45,"Year",0,0,NA,1
"245","ELK","Lower","Up","Halophyte Cover",8,"Year",0,0,NA,1
"246","ELK","Lower","Low","Halophyte Cover",90,"Year",0,0,NA,1
"247","ELK","Upper","Mid","Halophyte Cover",9,"Year",0,0,NA,1
"248","GND","spalt","Low","Halophyte Cover",96,"Year",0,0,NA,1
"249","GND","spalt","Mid","Halophyte Cover",66,"Year",0,0,NA,1
"250","GND","juro low","Low","Halophyte Cover",36,"Year",0,0,NA,1
"251","GND","juro low","Mid","Halophyte Cover",174,"Year",0,0,NA,1
"252","GND","juro high","Mid","Halophyte Cover",116,"Year",-0.0723,0.0799,-0.9047,0.3675
"253","GND","juro high","Low","Halophyte Cover",12,"Year",0.4214,0.2583,1.6317,0.1338
"254","GND","juro mid","Mid","Halophyte Cover",204,"Year",0.0143,0.0148,0.9681,0.3342
"255","GND","juro mid","Low","Halophyte Cover",18,"Year",1.019,0.2978,3.4222,0.0035
"256","GND","juro mid","Up","Halophyte Cover",18,"Year",0.119,0.0784,1.5191,0.1482
"257","GND","clmaj","Up","Halophyte Cover",150,"Year",0,0,NA,1
"258","GRB","SP","Low","Halophyte Cover",66,"Year",-3.2781,0.8178,-4.0084,2e-04
"259","GRB","SP","Mid","Halophyte Cover",363,"Year",0.6124,0.3983,1.5377,0.125
"260","GRB","SP","Up","Halophyte Cover",62,"Year",0.2973,0.1386,2.1445,0.0361
"261","GRB","GBF","Low","Halophyte Cover",66,"Year",-0.2725,0.9926,-0.2746,0.7845
"262","GRB","GBF","Mid","Halophyte Cover",297,"Year",0.1624,0.3816,0.4255,0.6708
"263","GRB","GBF","Up","Halophyte Cover",66,"Year",0.0401,0.1209,0.3321,0.7409
"264","GRB","BC","Low","Halophyte Cover",109,"Year",-0.5565,0.6747,-0.8248,0.4113
"265","GRB","BC","Mid","Halophyte Cover",154,"Year",-0.7391,0.6276,-1.1776,0.2408
"266","GRB","BC","Up","Halophyte Cover",66,"Year",0.4337,0.6887,0.6297,0.5311
"267","GTM","22","Low","Halophyte Cover",399,"Year",0.5243,0.4727,1.1092,0.268
"268","GTM","0","Low","Halophyte Cover",349,"Year",0.0082,0.4399,0.0186,0.9852
"269","GTM","40","Low","Halophyte Cover",328,"Year",1.5523,0.4277,3.6295,3e-04
"270","GTM","1","Low","Halophyte Cover",375,"Year",-0.4985,0.6082,-0.8196,0.4129
"271","GTM","46","Low","Halophyte Cover",388,"Year",-2.0938,0.3664,-5.714,0
"272","JAC","Central Segment","Low","Halophyte Cover",270,"Year",1.7301,0.3264,5.3008,0
"273","JAC","South Segment","Low","Halophyte Cover",270,"Year",0.5472,0.3952,1.3846,0.1673
"274","KAC","FR","Mid","Halophyte Cover",416,"Year",0.5231,0.3078,1.6994,0.09
"275","KAC","FR","Low","Halophyte Cover",112,"Year",1.0043,0.7503,1.3385,0.1835
"276","KAC","FR","Up","Halophyte Cover",18,"Year",0.1165,1.1512,0.1012,0.9206
"277","KAC","BS","Low","Halophyte Cover",322,"Year",1.1552,0.5743,2.0113,0.0451
"278","KAC","BS","Mid","Halophyte Cover",12,"Year",2.0969,2.6519,0.7907,0.4475
"279","KAC","BS","Up","Halophyte Cover",12,"Year",0,0,NA,1
"280","KAC","CP","Mid","Halophyte Cover",313,"Year",0.5512,0.7035,0.7835,0.4339
"281","KAC","CP","Low","Halophyte Cover",150,"Year",0.2162,0.9554,0.2263,0.8213
"282","KAC","SC","Low","Halophyte Cover",81,"Year",0.5388,0.9685,0.5563,0.5795
"283","KAC","SC","Mid","Halophyte Cover",80,"Year",1.1012,0.9437,1.1669,0.2468
"284","MAR","MI-W","Low","Halophyte Cover",548,"Year",-0.2702,0.5236,-0.5159,0.6061
"285","MAR","HF1","Low","Halophyte Cover",548,"Year",-11.6902,0.4906,-23.8281,0
"286","MAR","HF2","Low","Halophyte Cover",600,"Year",-9.2515,0.506,-18.2834,0
"287","MAR","HF3","Low","Halophyte Cover",548,"Year",-9.2302,0.5717,-16.1455,0
"288","NAR","Nag","Low","Halophyte Cover",65,"Year",-3.2656,0.5168,-6.3187,0
"289","NAR","Nag","Mid","Halophyte Cover",208,"Year",-1.1097,0.2899,-3.8272,2e-04
"290","NAR","Nag","Up","Halophyte Cover",39,"Year",-0.2713,0.5683,-0.4775,0.6358
"291","NAR","Coggeshall","Mid","Halophyte Cover",143,"Year",-2.176,0.4223,-5.1527,0
"292","NAR","Coggeshall","Low","Halophyte Cover",91,"Year",-1.7569,0.5571,-3.1538,0.0022
