"","Reserve","SiteID","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"35","ELK","Lower","Abiotic Cover",100,"(Intercept)",-4231.513,2997.3569,-1.4117,0.1613
"36","ELK","Lower","Abiotic Cover",100,"Year",2.1109,1.4852,1.4213,0.1585
"37","ELK","Lower","Abiotic Cover",100,"Vegetation_ZoneMid",-13755.239,18862.7557,-0.7292,0.4677
"38","ELK","Lower","Abiotic Cover",100,"Vegetation_ZoneUp",4231.513,10724.0708,0.3946,0.694
"39","ELK","Lower","Abiotic Cover",100,"Year:Vegetation_ZoneMid",6.8111,9.345,0.7289,0.4679
"40","ELK","Lower","Abiotic Cover",100,"Year:Vegetation_ZoneUp",-2.1109,5.3139,-0.3972,0.6921
"41","GND","spalt","Abiotic Cover",162,"(Intercept)",-8628.9807,1764.3478,-4.8907,0
"42","GND","spalt","Abiotic Cover",162,"Year",4.3045,0.8745,4.9221,0
"43","GND","spalt","Abiotic Cover",162,"Vegetation_ZoneMid",-9305.9761,2764.2018,-3.3666,0.001
"44","GND","spalt","Abiotic Cover",162,"Year:Vegetation_ZoneMid",4.6111,1.3701,3.3655,0.001
"45","GND","juro low","Abiotic Cover",210,"(Intercept)",-12669.6032,4058.2048,-3.122,0.0021
"46","GND","juro low","Abiotic Cover",210,"Year",6.3095,2.0115,3.1367,0.002
"47","GND","juro low","Abiotic Cover",210,"Vegetation_ZoneMid",-4823.0282,4458.2969,-1.0818,0.2806
"48","GND","juro low","Abiotic Cover",210,"Year:Vegetation_ZoneMid",2.388,2.2098,1.0806,0.2811
"49","GND","juro high","Abiotic Cover",128,"(Intercept)",94.5357,6397.8109,0.0148,0.9882
"50","GND","juro high","Abiotic Cover",128,"Year",-0.0071,3.1712,-0.0023,0.9982
"51","GND","juro high","Abiotic Cover",128,"Vegetation_ZoneMid",-14264.1535,6725.6444,-2.1209,0.0359
"52","GND","juro high","Abiotic Cover",128,"Year:Vegetation_ZoneMid",7.0588,3.3337,2.1174,0.0362
"53","GND","juro mid","Abiotic Cover",240,"(Intercept)",-174.9206,5476.041,-0.0319,0.9745
"54","GND","juro mid","Abiotic Cover",240,"Year",0.1286,2.7143,0.0474,0.9623
"55","GND","juro mid","Abiotic Cover",240,"Vegetation_ZoneMid",-11354.4071,5712.5247,-1.9876,0.048
"56","GND","juro mid","Abiotic Cover",240,"Vegetation_ZoneUp",-16094.754,7744.2914,-2.0783,0.0388
"57","GND","juro mid","Abiotic Cover",240,"Year:Vegetation_ZoneMid",5.6134,2.8315,1.9825,0.0486
"58","GND","juro mid","Abiotic Cover",240,"Year:Vegetation_ZoneUp",7.9619,3.8386,2.0742,0.0392
"59","GRB","SP","Abiotic Cover",491,"(Intercept)",-4228.5845,1555.722,-2.7181,0.0068
"60","GRB","SP","Abiotic Cover",491,"Year",2.1152,0.7715,2.7417,0.0063
"61","GRB","SP","Abiotic Cover",491,"Vegetation_ZoneMid",5591.7493,1691.2481,3.3063,0.001
"62","GRB","SP","Abiotic Cover",491,"Vegetation_ZoneUp",5655.7446,2285.2041,2.4749,0.0137
"63","GRB","SP","Abiotic Cover",491,"Year:Vegetation_ZoneMid",-2.7787,0.8387,-3.313,0.001
"64","GRB","SP","Abiotic Cover",491,"Year:Vegetation_ZoneUp",-2.8075,1.1332,-2.4776,0.0136
"65","GRB","GBF","Abiotic Cover",429,"(Intercept)",-752.2919,1656.1748,-0.4542,0.6499
"66","GRB","GBF","Abiotic Cover",429,"Year",0.4002,0.8213,0.4872,0.6263
"67","GRB","GBF","Abiotic Cover",429,"Vegetation_ZoneMid",643.286,1830.9702,0.3513,0.7255
"68","GRB","GBF","Abiotic Cover",429,"Vegetation_ZoneUp",985.8051,2342.1849,0.4209,0.674
"69","GRB","GBF","Abiotic Cover",429,"Year:Vegetation_ZoneMid",-0.3356,0.908,-0.3696,0.7119
"70","GRB","GBF","Abiotic Cover",429,"Year:Vegetation_ZoneUp",-0.491,1.1615,-0.4227,0.6727
"71","GRB","BC","Abiotic Cover",329,"(Intercept)",-971.7342,1211.7714,-0.8019,0.4232
"72","GRB","BC","Abiotic Cover",329,"Year",0.5031,0.6009,0.8372,0.4031
"73","GRB","BC","Abiotic Cover",329,"Vegetation_ZoneMid",-1353.8637,1577.9991,-0.858,0.3915
"74","GRB","BC","Abiotic Cover",329,"Vegetation_ZoneUp",-1497.293,1962.7369,-0.7629,0.4461
"75","GRB","BC","Abiotic Cover",329,"Year:Vegetation_ZoneMid",0.6647,0.7825,0.8494,0.3963
"76","GRB","BC","Abiotic Cover",329,"Year:Vegetation_ZoneUp",0.7473,0.9733,0.7678,0.4432
"77","GTM","46","Abiotic Cover",406,"(Intercept)",-1548.8898,1336.0038,-1.1593,0.247
"78","GTM","46","Abiotic Cover",406,"Year",0.7898,0.6628,1.1916,0.2341
"79","GTM","46","Abiotic Cover",406,"Vegetation_ZoneMid",-21.4152,18.722,-1.1439,0.2534
"80","GTM","46","Abiotic Cover",406,"Vegetation_ZoneUp",-10.7485,8.8553,-1.2138,0.2255
"81","KAC","FR","Abiotic Cover",546,"(Intercept)",3175.7253,1365.4007,2.3259,0.0204
"82","KAC","FR","Abiotic Cover",546,"Year",-1.5585,0.6778,-2.2993,0.0219
"83","KAC","FR","Abiotic Cover",546,"Vegetation_ZoneMid",-1663.5322,1539.345,-1.0807,0.2803
"84","KAC","FR","Abiotic Cover",546,"Vegetation_ZoneUp",510.565,3686.8015,0.1385,0.8899
"85","KAC","FR","Abiotic Cover",546,"Year:Vegetation_ZoneMid",0.8365,0.7642,1.0946,0.2742
"86","KAC","FR","Abiotic Cover",546,"Year:Vegetation_ZoneUp",-0.2636,1.8303,-0.144,0.8856
"87","KAC","BS","Abiotic Cover",346,"(Intercept)",2027.6367,1134.7682,1.7868,0.0749
"88","KAC","BS","Abiotic Cover",346,"Year",-0.9854,0.5634,-1.7488,0.0812
"89","KAC","BS","Abiotic Cover",346,"Vegetation_ZoneMid",-1014.4532,5970.4182,-0.1699,0.8652
"90","KAC","BS","Abiotic Cover",346,"Vegetation_ZoneUp",-1351.8211,5970.4182,-0.2264,0.821
"91","KAC","BS","Abiotic Cover",346,"Year:Vegetation_ZoneMid",0.4845,2.9645,0.1634,0.8703
"92","KAC","BS","Abiotic Cover",346,"Year:Vegetation_ZoneUp",0.6504,2.9645,0.2194,0.8265
"93","KAC","CP","Abiotic Cover",463,"(Intercept)",489.4163,2017.2798,0.2426,0.8084
"94","KAC","CP","Abiotic Cover",463,"Year",-0.2161,1.0012,-0.2159,0.8292
"95","KAC","CP","Abiotic Cover",463,"Vegetation_ZoneMid",98.7704,2450.8266,0.0403,0.9679
"96","KAC","CP","Abiotic Cover",463,"Year:Vegetation_ZoneMid",-0.0568,1.2164,-0.0467,0.9628
"97","KAC","SC","Abiotic Cover",161,"(Intercept)",953.4373,1531.937,0.6224,0.5346
"98","KAC","SC","Abiotic Cover",161,"Year",-0.4629,0.7601,-0.6089,0.5434
"99","KAC","SC","Abiotic Cover",161,"Vegetation_ZoneMid",-604.2383,2186.9276,-0.2763,0.7827
"100","KAC","SC","Abiotic Cover",161,"Year:Vegetation_ZoneMid",0.2937,1.0852,0.2707,0.787
"101","NAR","Nag","Abiotic Cover",312,"(Intercept)",-6563.7889,1018.0719,-6.4473,0
"102","NAR","Nag","Abiotic Cover",312,"Year",3.2656,0.505,6.4667,0
"103","NAR","Nag","Abiotic Cover",312,"Vegetation_ZoneMid",4338.2862,1166.3479,3.7195,2e-04
"104","NAR","Nag","Abiotic Cover",312,"Vegetation_ZoneUp",4755.8871,1662.5045,2.8607,0.0045
"105","NAR","Nag","Abiotic Cover",312,"Year:Vegetation_ZoneMid",-2.155,0.5785,-3.7249,2e-04
"106","NAR","Nag","Abiotic Cover",312,"Year:Vegetation_ZoneUp",-2.3654,0.8247,-2.8683,0.0044
"107","NAR","Coggeshall","Abiotic Cover",273,"(Intercept)",-3518.5348,1084.2853,-3.245,0.0013
"108","NAR","Coggeshall","Abiotic Cover",273,"Year",1.7568,0.5378,3.2665,0.0012
"109","NAR","Coggeshall","Abiotic Cover",273,"Vegetation_ZoneMid",-851.0006,1387.0224,-0.6135,0.54
"110","NAR","Coggeshall","Abiotic Cover",273,"Vegetation_ZoneUp",405.772,1979.625,0.205,0.8377
"111","NAR","Coggeshall","Abiotic Cover",273,"Year:Vegetation_ZoneMid",0.4191,0.688,0.6091,0.543
"112","NAR","Coggeshall","Abiotic Cover",273,"Year:Vegetation_ZoneUp",-0.2067,0.982,-0.2105,0.8334
"113","NIW","Segment A","Abiotic Cover",319,"(Intercept)",3563.8249,1112.8182,3.2025,0.0015
"114","NIW","Segment A","Abiotic Cover",319,"Year",-1.747,0.5527,-3.1606,0.0017
"115","NIW","Segment A","Abiotic Cover",319,"Vegetation_ZoneMid",-3211.7746,1676.8442,-1.9154,0.0564
"116","NIW","Segment A","Abiotic Cover",319,"Vegetation_ZoneUp",-7885.6882,3310.1259,-2.3823,0.0178
"117","NIW","Segment A","Abiotic Cover",319,"Year:Vegetation_ZoneMid",1.5849,0.8329,1.903,0.058
"118","NIW","Segment A","Abiotic Cover",319,"Year:Vegetation_ZoneUp",3.9113,1.6436,2.3797,0.0179
"119","NIW","Segment B","Abiotic Cover",338,"(Intercept)",2326.8885,913.9072,2.5461,0.0113
"120","NIW","Segment B","Abiotic Cover",338,"Year",-1.134,0.4539,-2.4983,0.013
"121","NIW","Segment B","Abiotic Cover",338,"Vegetation_ZoneMid",-4288.037,1902.4495,-2.254,0.0248
"122","NIW","Segment B","Abiotic Cover",338,"Year:Vegetation_ZoneMid",2.1221,0.9449,2.2458,0.0254
"123","NOC","MI","Abiotic Cover",789,"(Intercept)",1589.5665,867.6318,1.8321,0.0673
"124","NOC","MI","Abiotic Cover",789,"Year",-0.7701,0.4307,-1.7879,0.0742
"125","NOC","MI","Abiotic Cover",789,"Vegetation_ZoneMid",2835.2314,2353.147,1.2049,0.2286
"126","NOC","MI","Abiotic Cover",789,"Year:Vegetation_ZoneMid",-1.4196,1.1682,-1.2152,0.2246
"127","SOS","DM","Abiotic Cover",70,"(Intercept)",0,0,NA,1
"128","SOS","DM","Abiotic Cover",70,"Year",0,0,NA,1
"129","SOS","DM","Abiotic Cover",70,"Vegetation_ZoneMid",0,0,NA,1
"130","SOS","DM","Abiotic Cover",70,"Year:Vegetation_ZoneMid",0,0,NA,1
"131","SOS","MM","Abiotic Cover",120,"(Intercept)",-334.4383,330.362,-1.0123,0.3135
"132","SOS","MM","Abiotic Cover",120,"Year",0.1666,0.1639,1.0167,0.3114
"133","SOS","MM","Abiotic Cover",120,"Vegetation_ZoneMid",1268.4688,467.2024,2.715,0.0076
"134","SOS","MM","Abiotic Cover",120,"Year:Vegetation_ZoneMid",-0.6294,0.2317,-2.7162,0.0076
"135","SOS","HC","Abiotic Cover",122,"(Intercept)",-95.7019,48.1715,-1.9867,0.0493
"136","SOS","HC","Abiotic Cover",122,"Year",0.0475,0.0239,1.9896,0.049
"137","SOS","HC","Abiotic Cover",122,"Vegetation_ZoneMid",72.4145,54.6532,1.325,0.1877
"138","SOS","HC","Abiotic Cover",122,"Year:Vegetation_ZoneMid",-0.036,0.0271,-1.3267,0.1872
"139","SOS","VM","Abiotic Cover",100,"(Intercept)",-1672.2151,874.9062,-1.9113,0.0589
"140","SOS","VM","Abiotic Cover",100,"Year",0.831,0.4339,1.9153,0.0584
"141","SOS","VM","Abiotic Cover",100,"Vegetation_ZoneMid",1603.0271,1383.3482,1.1588,0.2494
"142","SOS","VM","Abiotic Cover",100,"Year:Vegetation_ZoneMid",-0.7966,0.686,-1.1611,0.2485
"143","SOS","VI","Abiotic Cover",60,"(Intercept)",-53.7916,50.187,-1.0718,0.2884
"144","SOS","VI","Abiotic Cover",60,"Year",0.0267,0.0249,1.074,0.2874
"145","SOS","VI","Abiotic Cover",60,"Vegetation_ZoneMid",53.7916,158.7052,0.3389,0.7359
"146","SOS","VI","Abiotic Cover",60,"Year:Vegetation_ZoneMid",-0.0267,0.0787,-0.3396,0.7354
"147","TJR","McCoy North","Abiotic Cover",50,"(Intercept)",-333.2574,3949.3345,-0.0844,0.9331
"148","TJR","McCoy North","Abiotic Cover",50,"Year",0.1862,1.9585,0.0951,0.9247
"149","TJR","McCoy North","Abiotic Cover",50,"Vegetation_ZoneUp",5559.8429,8830.9804,0.6296,0.5321
"150","TJR","McCoy North","Abiotic Cover",50,"Year:Vegetation_ZoneUp",-2.7335,4.3794,-0.6242,0.5356
"151","TJR","McCoy South","Abiotic Cover",240,"(Intercept)",-2505.3846,2230.7197,-1.1231,0.2625
"152","TJR","McCoy South","Abiotic Cover",240,"Year",1.2694,1.1062,1.1475,0.2523
"153","TJR","McCoy South","Abiotic Cover",240,"Vegetation_ZoneMid",843.6606,2879.8467,0.293,0.7698
"154","TJR","McCoy South","Abiotic Cover",240,"Vegetation_ZoneUp",-2600.265,2879.8467,-0.9029,0.3675
"155","TJR","McCoy South","Abiotic Cover",240,"Year:Vegetation_ZoneMid",-0.4385,1.4281,-0.3071,0.7591
"156","TJR","McCoy South","Abiotic Cover",240,"Year:Vegetation_ZoneUp",1.2935,1.4281,0.9057,0.366
"157","TJR","South Beach","Abiotic Cover",210,"(Intercept)",-704.2724,1854.6066,-0.3797,0.7045
"158","TJR","South Beach","Abiotic Cover",210,"Year",0.3715,0.9197,0.4039,0.6867
"159","TJR","South Beach","Abiotic Cover",210,"Vegetation_ZoneUp",-217.4731,4906.8279,-0.0443,0.9647
"160","TJR","South Beach","Abiotic Cover",210,"Year:Vegetation_ZoneUp",0.0891,2.4333,0.0366,0.9708
"161","TJR","V1","Abiotic Cover",270,"(Intercept)",876.7545,1796.3904,0.4881,0.6259
"162","TJR","V1","Abiotic Cover",270,"Year",-0.4227,0.8908,-0.4745,0.6355
"163","TJR","V1","Abiotic Cover",270,"Vegetation_ZoneMid",-5048.2809,2008.4256,-2.5136,0.0125
"164","TJR","V1","Abiotic Cover",270,"Vegetation_ZoneUp",-1924.2889,2251.8946,-0.8545,0.3936
"165","TJR","V1","Abiotic Cover",270,"Year:Vegetation_ZoneMid",2.4986,0.996,2.5086,0.0127
"166","TJR","V1","Abiotic Cover",270,"Year:Vegetation_ZoneUp",0.9459,1.1167,0.847,0.3978
"167","TJR","V4","Abiotic Cover",240,"(Intercept)",2963.8648,3947.5499,0.7508,0.4535
"168","TJR","V4","Abiotic Cover",240,"Year",-1.4659,1.9576,-0.7488,0.4547
"169","TJR","V4","Abiotic Cover",240,"Vegetation_ZoneMid",-1324.1674,4032.4532,-0.3284,0.7429
"170","TJR","V4","Abiotic Cover",240,"Year:Vegetation_ZoneMid",0.6592,1.9997,0.3297,0.742
"171","TJR","Brazo Creek","Abiotic Cover",48,"(Intercept)",3797.969,4054.717,0.9367,0.354
"172","TJR","Brazo Creek","Abiotic Cover",48,"Year",-1.879,2.0088,-0.9354,0.3547
"173","TJR","Brazo Creek","Abiotic Cover",48,"Vegetation_ZoneUp",8162.616,9931.9876,0.8219,0.4156
"174","TJR","Brazo Creek","Abiotic Cover",48,"Year:Vegetation_ZoneUp",-4.036,4.9205,-0.8202,0.4165
"175","TJR","Model Marsh","Abiotic Cover",120,"(Intercept)",8667.72,10315.3683,0.8403,0.4025
"176","TJR","Model Marsh","Abiotic Cover",120,"Year",-4.2733,5.1091,-0.8364,0.4046
"177","TJR","Model Marsh","Abiotic Cover",120,"Vegetation_ZoneMid",-4357.2361,11027.5926,-0.3951,0.6935
"178","TJR","Model Marsh","Abiotic Cover",120,"Year:Vegetation_ZoneMid",2.1529,5.4619,0.3942,0.6942
"179","WEL","WB","Abiotic Cover",265,"(Intercept)",-232.5637,1114.7444,-0.2086,0.8349
"180","WEL","WB","Abiotic Cover",265,"Year",0.1214,0.5539,0.2193,0.8266
"181","WEL","WB","Abiotic Cover",265,"Vegetation_ZoneMid",850.0032,1287.1959,0.6604,0.5096
"182","WEL","WB","Abiotic Cover",265,"Vegetation_ZoneUp",-81.0226,1576.4866,-0.0514,0.9591
"183","WEL","WB","Abiotic Cover",265,"Year:Vegetation_ZoneMid",-0.4219,0.6395,-0.6597,0.51
"184","WEL","WB","Abiotic Cover",265,"Year:Vegetation_ZoneUp",0.0354,0.7833,0.0452,0.964
"185","WQB","Section 2","Abiotic Cover",420,"(Intercept)",1457.9093,1265.2757,1.1522,0.2499
"186","WQB","Section 2","Abiotic Cover",420,"Year",-0.696,0.6279,-1.1085,0.2683
"187","WQB","Section 2","Abiotic Cover",420,"Vegetation_ZoneMid",-2672.0325,1874.2918,-1.4256,0.1547
"188","WQB","Section 2","Abiotic Cover",420,"Vegetation_ZoneUp",-5510.1032,4063.5513,-1.356,0.1758
"189","WQB","Section 2","Abiotic Cover",420,"Year:Vegetation_ZoneMid",1.31,0.9301,1.4085,0.1597
"190","WQB","Section 2","Abiotic Cover",420,"Year:Vegetation_ZoneUp",2.7185,2.0161,1.3484,0.1783
"191","WQB","Section 1","Abiotic Cover",307,"(Intercept)",-431.6979,1459.1853,-0.2958,0.7675
"192","WQB","Section 1","Abiotic Cover",307,"Year",0.238,0.7243,0.3286,0.7426
"193","WQB","Section 1","Abiotic Cover",307,"Vegetation_ZoneMid",-4053.0641,3692.0757,-1.0978,0.2732
"194","WQB","Section 1","Abiotic Cover",307,"Vegetation_ZoneUp",-310.1734,5970.5929,-0.052,0.9586
"195","WQB","Section 1","Abiotic Cover",307,"Year:Vegetation_ZoneMid",2.0011,1.8322,1.0922,0.2756
"196","WQB","Section 1","Abiotic Cover",307,"Year:Vegetation_ZoneUp",0.1474,2.9616,0.0498,0.9603
"197","WQB","Section 3","Abiotic Cover",331,"(Intercept)",629.6352,1710.8657,0.368,0.7131
"198","WQB","Section 3","Abiotic Cover",331,"Year",-0.2807,0.8491,-0.3306,0.7412
"199","WQB","Section 3","Abiotic Cover",331,"Vegetation_ZoneMid",-1852.0071,2045.7967,-0.9053,0.366
"200","WQB","Section 3","Abiotic Cover",331,"Vegetation_ZoneUp",2769.4284,2798.091,0.9898,0.323
"201","WQB","Section 3","Abiotic Cover",331,"Year:Vegetation_ZoneMid",0.9018,1.0154,0.8882,0.3751
"202","WQB","Section 3","Abiotic Cover",331,"Year:Vegetation_ZoneUp",-1.3923,1.3886,-1.0026,0.3168
"203","ACE","EIN","Live Cover",142,"(Intercept)",-2199.3261,3334.8455,-0.6595,0.5107
"204","ACE","EIN","Live Cover",142,"Year",1.1173,1.6547,0.6753,0.5006
"205","ACE","EIN","Live Cover",142,"Vegetation_ZoneMid",175.5285,3839.7619,0.0457,0.9636
"206","ACE","EIN","Live Cover",142,"Year:Vegetation_ZoneMid",-0.0936,1.9052,-0.0491,0.9609
"207","ACE","EIS","Live Cover",122,"(Intercept)",-1550.1454,8582.4866,-0.1806,0.857
"208","ACE","EIS","Live Cover",122,"Year",0.7788,4.2593,0.1829,0.8552
"209","ACE","EIS","Live Cover",122,"Vegetation_ZoneMid",-4579.7404,8761.0436,-0.5227,0.6021
"210","ACE","EIS","Live Cover",122,"Year:Vegetation_ZoneMid",2.2805,4.3479,0.5245,0.6009
"211","APA","PC","Live Cover",346,"(Intercept)",3546.7686,2190.3695,1.6193,0.1063
"212","APA","PC","Live Cover",346,"Year",-1.7188,1.0859,-1.5828,0.1144
"213","APA","PC","Live Cover",346,"Vegetation_ZoneMid",-462.7695,2850.7481,-0.1623,0.8711
"214","APA","PC","Live Cover",346,"Vegetation_ZoneUp",-6961.0709,7398.2034,-0.9409,0.3474
"215","APA","PC","Live Cover",346,"Year:Vegetation_ZoneMid",0.231,1.4133,0.1634,0.8703
"216","APA","PC","Live Cover",346,"Year:Vegetation_ZoneUp",3.4532,3.6675,0.9416,0.3471
"217","CBM","MB","Live Cover",160,"(Intercept)",-4047.6248,757.9368,-5.3403,0
"218","CBM","MB","Live Cover",160,"Year",2.0275,0.3763,5.3875,0
"219","CBM","MB","Live Cover",160,"Vegetation_ZoneMid",631.277,1525.7152,0.4138,0.6796
"220","CBM","MB","Live Cover",160,"Year:Vegetation_ZoneMid",-0.3098,0.7577,-0.4089,0.6832
"221","CBM","OPC","Live Cover",419,"(Intercept)",-6785.2191,877.2102,-7.735,0
"222","CBM","OPC","Live Cover",419,"Year",3.3952,0.436,7.7873,0
"223","CBM","OPC","Live Cover",419,"Vegetation_ZoneMid",2147.5999,1106.4189,1.941,0.0529
"224","CBM","OPC","Live Cover",419,"Year:Vegetation_ZoneMid",-1.0679,0.5499,-1.942,0.0528
"225","DEL","SJR","Live Cover",120,"(Intercept)",4666.4875,3463.7263,1.3472,0.1806
"226","DEL","SJR","Live Cover",120,"Year",-2.2793,1.719,-1.3259,0.1875
"227","DEL","SJR","Live Cover",120,"Vegetation_ZoneMid",-1017.7077,4070.3609,-0.25,0.803
"228","DEL","SJR","Live Cover",120,"Vegetation_ZoneUp",-126.4875,10391.1789,-0.0122,0.9903
"229","DEL","SJR","Live Cover",120,"Year:Vegetation_ZoneMid",0.5096,2.02,0.2523,0.8013
"230","DEL","SJR","Live Cover",120,"Year:Vegetation_ZoneUp",0.0293,5.1569,0.0057,0.9955
"231","ELK","Upper","Live Cover",60,"(Intercept)",2203.7017,4083.0397,0.5397,0.5916
"232","ELK","Upper","Live Cover",60,"Year",-1.0506,2.0233,-0.5193,0.6057
"233","ELK","Upper","Live Cover",60,"Vegetation_ZoneMid",-2103.7017,10001.3638,-0.2103,0.8342
"234","ELK","Upper","Live Cover",60,"Vegetation_ZoneUp",16054.3833,11904.004,1.3487,0.1831
"235","ELK","Upper","Live Cover",60,"Year:Vegetation_ZoneMid",1.0506,4.9561,0.212,0.8329
"236","ELK","Upper","Live Cover",60,"Year:Vegetation_ZoneUp",-7.9544,5.8989,-1.3484,0.1831
"237","ELK","Lower","Live Cover",100,"(Intercept)",4331.513,2997.3431,1.4451,0.1518
"238","ELK","Lower","Live Cover",100,"Year",-2.1109,1.4852,-1.4213,0.1585
"239","ELK","Lower","Live Cover",100,"Vegetation_ZoneMid",13751.197,18862.6689,0.729,0.4678
"240","ELK","Lower","Live Cover",100,"Vegetation_ZoneUp",-4233.4879,10724.0214,-0.3948,0.6939
"241","ELK","Lower","Live Cover",100,"Year:Vegetation_ZoneMid",-6.8091,9.3449,-0.7286,0.468
"242","ELK","Lower","Live Cover",100,"Year:Vegetation_ZoneUp",2.1119,5.3138,0.3974,0.692
"243","GND","spalt","Live Cover",162,"(Intercept)",8728.9807,1764.3478,4.9474,0
"244","GND","spalt","Live Cover",162,"Year",-4.3045,0.8745,-4.9221,0
"245","GND","spalt","Live Cover",162,"Vegetation_ZoneMid",9305.9761,2764.2018,3.3666,0.001
"246","GND","spalt","Live Cover",162,"Year:Vegetation_ZoneMid",-4.6111,1.3701,-3.3655,0.001
"247","GND","juro low","Live Cover",210,"(Intercept)",12769.6032,4058.2048,3.1466,0.0019
"248","GND","juro low","Live Cover",210,"Year",-6.3095,2.0115,-3.1367,0.002
"249","GND","juro low","Live Cover",210,"Vegetation_ZoneMid",4823.0282,4458.2969,1.0818,0.2806
"250","GND","juro low","Live Cover",210,"Year:Vegetation_ZoneMid",-2.388,2.2098,-1.0806,0.2811
"251","GND","juro high","Live Cover",128,"(Intercept)",5.4643,6397.8109,9e-04,0.9993
"252","GND","juro high","Live Cover",128,"Year",0.0071,3.1712,0.0023,0.9982
"253","GND","juro high","Live Cover",128,"Vegetation_ZoneMid",14264.1535,6725.6444,2.1209,0.0359
"254","GND","juro high","Live Cover",128,"Year:Vegetation_ZoneMid",-7.0588,3.3337,-2.1174,0.0362
"255","GND","juro mid","Live Cover",240,"(Intercept)",274.9206,5476.041,0.0502,0.96
"256","GND","juro mid","Live Cover",240,"Year",-0.1286,2.7143,-0.0474,0.9623
"257","GND","juro mid","Live Cover",240,"Vegetation_ZoneMid",11354.4071,5712.5247,1.9876,0.048
"258","GND","juro mid","Live Cover",240,"Vegetation_ZoneUp",16094.754,7744.2914,2.0783,0.0388
